ax,ay,az,gx,gy,gz
0.2678,0.5717,-9.9866,-0.0898,0.4262,-4.1829
-0.2748,0.6274,-10.0361,-0.8403,0.7003,-2.1208
-0.4503,0.7619,-10.1970,-1.4339,-3.9112,1.8607
-0.4856,0.7088,-9.7510,-1.7123,-1.6999,3.2342
-0.5688,0.7165,-9.5159,0.7480,2.4675,10.9880
-0.4031,0.6677,-9.2610,3.8343,7.5818,17.4028
-0.5907,0.6857,-9.5716,1.9012,3.3367,24.4228
0.0838,0.7102,-10.0583,-8.5619,-6.4870,25.5722
0.7902,0.5211,-9.2924,-19.5531,-10.8593,23.2900
1.0568,0.2787,-7.4720,-9.5117,-7.4569,24.4471
0.9987,0.4301,-7.3124,5.9057,0.1347,25.8348
1.3502,0.2223,-6.1886,10.7335,-4.2627,12.5624
2.0087,-0.7709,-4.4072,26.9847,-0.8703,1.5916
2.6482,-1.7539,-3.2547,55.4099,0.6059,-10.9082
3.4875,-2.6694,-3.6059,95.9706,16.6194,-26.7558
2.9945,-3.5495,-3.7225,114.8066,29.9453,-41.5331
2.4411,-4.5509,-3.7949,137.8116,19.6950,-51.1639
1.1691,-5.2087,-6.1923,162.8127,5.2903,-53.3943
1.4122,-4.8739,-9.0825,151.8549,10.5173,-63.6386
1.5521,-5.8040,-10.7195,152.7634,23.8084,-53.2579
-0.3631,-6.2634,-12.2468,167.3288,6.2105,-50.9821
-1.3643,-7.0657,-18.1219,136.5398,-19.2102,-52.7741
-1.9443,-7.8979,-19.7247,86.0611,-35.6048,-42.5707
-2.0194,-7.4567,-22.1605,27.5374,-26.0275,-38.5531
-2.6947,-7.0593,-22.7349,-31.0684,-22.4697,-22.4135
-3.6752,-6.6620,-22.6378,-126.8813,-38.1240,28.6007
-0.4980,-6.0285,-18.7121,-135.5005,-44.0154,12.6935
-0.9339,-5.7073,-18.5879,-145.7579,-26.3815,-37.4274
-1.7903,-5.4671,-17.2361,-191.1441,-45.2018,-30.9010
-1.3876,-4.4322,-12.0475,-237.3575,-69.6757,-24.8059
-2.1264,-3.3259,-8.3723,-189.1937,-57.9604,10.4103
0.2652,-2.3757,-5.5124,-105.2065,-23.5425,-5.2919
-1.2181,-1.7816,-5.2533,-30.2734,-19.6264,8.7335
-0.5029,-1.4040,-5.6834,-29.6670,-46.7288,23.1651
0.6893,-1.1961,-4.3820,-52.6491,-52.9606,43.2376
1.3625,-0.9606,-0.5534,-26.9793,-28.5497,49.6647
1.3047,-1.3655,1.8488,-7.5352,-17.3618,35.8264
1.1175,-1.5871,1.3898,24.1413,-17.2936,22.9444
1.5501,-1.6983,-0.0837,43.8680,-16.2128,12.2975
0.7166,-2.0970,-0.6729,56.0583,-0.2724,6.7125
-0.3844,-2.5149,-0.7114,69.5911,11.5072,6.9349
-1.5572,-2.8455,-0.9687,85.4283,-1.6344,13.4720
-0.9520,-3.0231,-2.2439,101.7609,-16.8102,12.9962
-0.9359,-3.3329,-3.4371,109.9032,-4.0505,18.3704
-2.3962,-3.0614,-5.7733,107.0315,-5.3379,21.6889
-5.4611,-2.2215,-7.7171,55.6907,-7.9153,20.4382
-5.7268,-3.5730,-5.9807,16.5492,-32.3751,5.0203
-3.6051,-6.3641,0.1936,137.7031,-15.1327,51.9077
7.1457,-4.8841,-6.4696,216.9295,-38.8294,-26.7558
9.9364,-3.9553,-9.0805,196.7794,-49.7753,-108.1689
-0.4503,-7.2625,-10.5948,224.6719,-117.9846,-129.0136
-2.2433,-8.4026,-22.0173,147.7652,-116.4637,-50.6093
-3.3861,-8.0465,-26.6688,89.0102,-106.0802,-25.6932
-3.7428,-7.0145,-29.0440,0.1767,69.9725,37.1162
-1.5046,-6.6125,-22.9813,-54.1778,180.1464,63.1609
1.4318,-5.4700,-20.9090,-53.0870,192.4987,57.2547
2.5685,-4.6984,-18.9722,-68.4585,140.5561,17.6038
3.1850,-4.3338,-16.6052,-102.2657,90.8489,-15.8327
3.0384,-4.4682,-13.1248,-132.0706,53.7904,-37.3977
2.1704,-4.6024,-8.8643,-140.1363,59.4448,-18.0762
1.9460,-3.4830,-5.7168,-128.5094,65.0243,2.7617
1.3064,-2.2884,-2.8797,-126.2014,27.0353,-21.2324
0.0318,-1.5682,-0.3244,-81.4914,-18.3423,-85.2345
0.2508,-1.5409,-3.5349,-49.4559,-77.3230,-130.8467
-1.0797,-1.6597,-3.1814,-47.1199,-51.1826,-160.6281
-5.0468,-2.6637,-1.7930,-21.0703,-22.8267,-143.0164
-5.9135,-3.2764,-4.3152,-12.3492,-48.1708,-102.6699
-6.7539,-3.8861,-7.0707,-20.7649,-53.0285,-61.2857
-6.7627,-3.7628,-8.7260,-42.0263,-19.4307,-40.8575
-9.0282,-3.9672,-7.6961,-29.1591,1.2712,-24.4263
-10.0305,-3.3859,-7.8511,-17.3379,15.6618,20.0446
-10.0806,-2.7771,-7.9330,-3.4883,44.1054,56.1155
-9.8153,-2.2236,-7.9425,7.0379,67.8563,86.4417
-7.8367,-2.1878,-7.5400,23.1961,66.3059,125.8199
-4.9460,-2.1390,-8.5267,16.0958,62.9916,146.2507
-1.7816,-2.2637,-7.8877,11.8377,55.2664,161.9244
2.5952,-2.9731,-7.3280,22.3663,46.5026,151.5544
4.6825,-3.3476,-9.4652,38.8627,26.1144,128.8412
6.9076,-3.3756,-11.7276,33.8357,8.8139,90.4689
7.5596,-3.5164,-11.2619,19.3176,7.1987,34.5284
6.5742,-3.8462,-10.6444,24.9210,-21.4723,12.8183
