ax,ay,az,gx,gy,gz
-1.1413,-8.2602,-4.9808,7.0202,-3.0485,9.2912
-1.6538,-8.3184,-5.0764,6.1192,-3.9698,5.4742
-2.2755,-8.3761,-4.9070,7.1094,-3.3670,13.6073
-1.7276,-8.2982,-5.0528,4.3845,-4.2651,13.9773
-1.8179,-8.2557,-5.0647,3.3003,-5.2125,13.3659
-2.0354,-8.1869,-5.0637,4.6812,-9.8043,15.2300
-2.7933,-8.3007,-5.3313,0.6787,-14.3287,22.5467
-2.4062,-8.4152,-5.1438,-3.7377,-18.4471,27.6075
-1.9295,-8.4175,-4.7869,-4.6099,-17.4726,24.8584
-2.1144,-8.4155,-4.5584,-1.2479,-15.6518,21.9944
-4.3923,-8.6165,-4.2052,-1.5539,-12.0613,26.5870
-5.2381,-8.7656,-3.1744,4.6886,-38.4924,66.6424
-2.4972,-8.5713,-1.1592,16.8665,-62.2013,76.6371
-1.1733,-8.3096,0.1728,32.9653,-49.8443,54.8615
-2.2601,-8.8971,2.9705,57.5366,-27.5206,25.8399
-3.3236,-9.6091,3.7005,88.0921,3.3208,7.7174
-3.8188,-9.3219,3.9218,109.8174,10.5766,1.0547
-3.2205,-9.2768,3.8052,111.6757,-2.4683,2.5341
-3.0574,-8.9851,4.2516,101.0774,-11.6627,8.8549
-1.2665,-8.6500,4.6568,122.1492,-6.4700,-2.2860
-0.4473,-9.1305,3.9450,147.7719,18.6931,-35.7166
-1.9597,-9.9498,1.9732,178.1135,41.6446,-49.1868
-2.4491,-11.0135,-2.8484,191.4505,57.3518,-63.6504
-4.1538,-11.6067,-7.9220,147.3598,69.0807,-66.4549
-4.5842,-12.0646,-9.3962,107.4361,69.1112,-38.4466
-1.7818,-12.6502,-10.9653,51.1312,53.3601,-25.1529
-0.0414,-13.2780,-10.2094,23.0803,50.5069,-29.8104
0.4320,-13.9801,-11.5079,-24.7073,31.1216,-42.9171
-1.2208,-14.0550,-11.8113,-89.8733,17.8027,-42.8636
-2.0341,-13.5747,-9.2292,-134.0520,-1.6583,-18.4808
-0.0611,-12.0927,-7.5419,-149.7757,-10.8347,-20.0748
-0.5728,-10.9382,-6.5565,-173.2283,-26.3294,-30.4452
0.5405,-10.0985,-6.3949,-187.9547,-46.1505,-43.5911
-0.9443,-9.0642,-3.6998,-197.1017,-46.7454,-39.2963
-2.3188,-7.6499,-1.2069,-172.2913,-43.4417,-23.0464
-1.5864,-6.5541,0.8656,-137.2995,-30.3680,-24.5468
-1.9980,-5.9020,2.7995,-50.6716,-30.6875,-17.3885
-0.0900,-6.3341,-1.1307,-13.1688,-48.6432,-29.2921
-1.4084,-7.7307,-1.4352,-5.6649,-47.4422,-39.9291
-3.3824,-9.2574,-0.8274,0.3976,-58.4286,-37.2070
-5.6431,-10.5996,-0.6230,19.1210,-59.2595,-14.5864
-5.7733,-11.7331,-4.0773,18.3098,-51.6242,7.2271
-6.2861,-12.2215,-5.6275,-12.9495,-29.1138,17.3815
-9.5474,-12.1709,-3.5674,-33.2267,-7.5129,51.5576
-12.5970,-11.4765,-3.0704,-28.5239,18.8261,125.7645
-10.8021,-10.3358,-1.1582,-40.3508,33.5630,190.9054
-5.3565,-8.8186,4.7433,-11.2118,65.2633,213.4524
-2.4608,-7.6415,9.2237,74.8154,106.6634,184.1954
2.3711,-10.1527,3.9237,189.5470,96.1614,123.4521
7.7140,-11.9183,-3.9568,202.9541,63.9122,58.4418
8.5489,-13.3325,-5.1905,140.5570,34.6852,7.5814
12.2438,-13.4054,-5.8889,100.5567,-21.3678,-51.3050
9.2592,-13.6101,-6.1523,71.6596,-24.9147,-220.8197
-2.8665,-12.6111,-8.2973,15.9065,-77.9993,-216.2789
-5.7491,-11.4989,-8.5917,-30.7649,-156.3578,-152.9784
-4.0347,-11.0593,-6.7696,-56.6264,-148.3803,-124.7151
-8.8763,-9.7289,-5.9322,-48.5821,-72.0374,-98.6756
-12.8342,-9.0728,-6.3482,-50.6077,-41.0715,-50.8875
-11.6543,-8.6158,-5.0067,-53.8160,-8.7724,17.2291
-7.8769,-8.1141,-2.9026,-42.7433,20.4323,42.9831
-6.5554,-7.8626,-1.5063,-25.3560,50.3026,37.4670
-6.9373,-8.3965,-0.8470,-5.6249,64.8007,45.0926
-6.6657,-9.5252,-2.0600,0.1185,57.5878,66.5033
-5.4223,-10.0348,-2.1681,-0.0409,62.7260,75.1487
-6.7199,-10.2203,-1.0614,4.9956,76.9933,90.3900
-5.0894,-10.0059,-1.3327,14.4176,83.2601,115.5052
-3.1152,-9.6527,-0.0374,24.8258,95.1948,119.8504
-2.1366,-9.3047,-0.0205,44.2247,81.1876,118.3339
0.0738,-8.6878,0.4616,58.9398,74.3499,125.2329
1.8207,-8.7363,0.6852,84.9414,79.1316,87.8952
2.8903,-9.0524,0.1892,110.4604,77.6202,58.2451
3.1517,-9.4577,-1.0974,99.3715,45.8294,44.4246
5.5119,-9.9388,-1.9781,94.6222,23.9077,32.8142
8.7101,-10.9370,-1.8935,76.2949,-9.8084,-28.7894
11.6827,-12.1324,-3.1391,66.1366,-44.3818,-116.1853
11.5832,-13.4696,-4.0094,47.3851,-78.0741,-210.6826
0.5708,-13.8518,-3.9119,24.2030,-84.3990,-228.6831
-9.1560,-12.5170,-4.3947,6.8867,-102.6367,-144.8059
-8.5253,-11.3578,-5.5953,-7.0841,-117.4799,-72.6140
-5.8827,-10.6199,-4.7446,-21.7468,-101.4690,-66.3124
-8.2775,-9.6809,-3.9710,-21.0480,-64.9627,-57.6515
