ax,ay,az,gx,gy,gz
0.3340,-1.7853,-9.6573,0.8748,0.1838,0.3941
0.4345,-1.8319,-9.4873,1.6931,0.1402,0.7961
0.5494,-1.7871,-9.6386,1.2600,2.0195,-1.4885
0.2925,-1.7490,-9.6297,0.4976,-0.7732,-0.7116
0.5822,-1.8059,-9.5022,0.5314,-3.3173,0.9884
0.8012,-1.8459,-9.4227,1.9779,-0.6206,-1.7492
0.3639,-1.7840,-9.5754,2.5956,2.3490,-3.4285
0.3167,-1.7968,-9.7054,1.8720,0.0323,-0.3876
0.6235,-1.8480,-9.6591,2.0055,-0.2573,-0.2736
0.6217,-1.9116,-9.5917,1.6794,0.4705,-1.9563
0.5518,-1.8908,-9.5764,2.5611,-0.1672,-1.4456
0.5759,-1.8710,-9.6366,1.8161,-2.3176,-1.0739
0.6200,-1.9150,-9.4416,3.5428,-0.5600,-1.6425
0.3437,-1.8633,-9.3207,6.7587,2.1202,0.6180
0.3058,-1.8687,-8.9989,11.4944,0.1942,2.9926
0.7575,-1.8939,-8.9919,16.4554,-0.0243,3.4317
0.5828,-1.8175,-9.5078,20.1996,1.4062,3.1849
1.0204,-2.0551,-10.0358,25.3984,-2.9560,2.2437
0.9813,-2.3282,-10.8365,28.3520,-7.7684,-2.5141
0.9485,-2.5954,-12.6190,26.7454,-12.8022,-8.2427
0.2381,-3.0504,-13.5760,11.9445,-13.4985,-10.6906
-0.1800,-3.2573,-14.3429,-5.4088,-13.9441,-9.0935
-0.7008,-3.2792,-14.4089,-24.5364,-12.5198,0.4351
-0.1300,-3.3541,-13.1961,-46.6037,-15.1142,4.5215
0.4285,-3.2658,-10.5754,-49.2726,-16.3150,7.9176
1.5065,-3.0059,-8.3801,-44.0544,-5.4972,-4.3028
1.1344,-2.3262,-6.7344,-29.7975,6.7730,-14.2228
-0.2700,-1.4910,-6.1660,-20.5422,0.4438,-7.6329
0.4823,-1.2365,-6.0955,-16.7754,-3.8447,-1.3862
1.1620,-1.2505,-5.1713,-4.2339,4.1008,-9.0162
0.7063,-1.2647,-5.1522,13.1899,8.4003,-14.2016
-0.9100,-1.0398,-6.7611,16.3292,-1.6905,-4.4212
-0.2248,-1.3076,-8.0468,10.5397,-11.4375,8.4056
0.7193,-1.7398,-7.7745,5.2014,-4.8631,3.6888
1.2880,-1.9003,-8.5191,9.1045,1.0825,-0.0004
2.1453,-1.6500,-9.3053,7.3279,5.8084,-7.3268
3.2586,-1.3660,-10.7188,1.0574,6.3401,-13.8666
4.6842,-1.4922,-10.5695,-8.4341,9.5863,-20.5570
7.8650,-2.0582,-10.4784,-13.6858,11.5522,-37.7179
9.0038,-2.8337,-8.7997,-20.6645,11.6180,-76.7892
7.6819,-2.9435,-8.4458,-14.0423,13.6251,-130.6054
-0.4080,-2.4858,-7.7374,1.7006,5.8676,-145.2324
-5.3356,-1.7908,-10.0604,-0.0436,-21.5383,-97.3137
-4.7807,-1.7678,-10.3968,-17.0067,-33.2014,-52.8323
-4.7530,-1.8134,-9.1706,-16.2537,-25.1555,-28.0951
-4.5690,-1.8373,-8.8729,-12.2873,-18.2030,-10.3286
-3.8994,-1.7316,-9.3048,-7.8852,-14.5094,1.6296
-2.6244,-1.6607,-9.1943,-9.2104,-14.2199,11.8247
-1.9846,-1.5288,-8.6576,-6.6188,-6.7710,16.3448
-1.3295,-1.4042,-8.0493,-3.7331,-4.9030,20.6722
-0.1900,-1.4238,-7.4125,-2.5428,-7.5737,21.8461
0.7764,-1.7544,-6.0411,1.3870,-0.2490,19.9107
0.3627,-1.8801,-3.9768,10.1157,8.1447,24.4092
0.9069,-1.5584,-3.6857,10.4698,16.9637,32.3526
1.6133,-1.6350,-1.9620,-4.1411,7.4489,25.4820
1.9549,-1.4177,0.2597,21.5299,-2.1533,9.7667
-0.0790,-0.8875,-0.9541,71.4474,-3.5293,1.8701
0.5583,-2.0538,-9.5888,100.4129,3.2148,-5.1495
-1.4098,-3.0308,-14.1972,82.4765,-1.0141,-1.0724
0.9076,-4.0333,-16.2469,74.3283,-13.8659,6.6612
-1.5647,-5.0258,-17.0164,37.3258,1.1251,16.6085
-0.9059,-4.6081,-18.0285,30.4003,2.5378,12.1368
-0.0445,-3.9895,-16.0972,42.2700,1.3297,-3.1719
-0.8428,-3.0057,-12.9429,24.6545,12.6083,-4.7532
-0.1173,-2.8938,-11.7368,2.4301,17.4331,-2.3056
-0.3502,-2.9530,-10.8449,3.3235,13.4100,-4.2400
-0.6504,-3.1033,-11.5043,-1.7582,11.0927,-10.0673
-1.9109,-3.2957,-10.5852,-5.8032,1.9097,-7.0332
-2.8533,-3.5538,-10.9658,-7.2440,-0.3954,-1.3583
-3.8103,-3.7285,-10.4373,-14.5189,-5.1480,10.7623
-4.6809,-4.0084,-9.4057,-12.3557,2.2335,23.7616
-5.4769,-4.0362,-9.0414,-7.2380,12.1250,37.4056
-5.8800,-3.8599,-8.6745,-8.9108,12.6467,57.5018
-5.0521,-3.9108,-7.5345,-7.4690,13.2757,71.7358
-3.4721,-3.7668,-6.7639,-1.3318,14.8326,81.9512
-1.2211,-3.2543,-6.3218,4.8613,11.4480,84.4985
2.0143,-2.7161,-7.0046,19.8434,3.8213,77.7568
4.6703,-2.6662,-7.1005,36.1729,10.5229,65.0011
6.2371,-3.6087,-8.2423,57.7170,20.7338,44.3731
7.0594,-4.4967,-11.5407,35.9848,-7.1936,24.1534
6.1158,-4.7693,-11.4180,18.9504,-12.4470,11.5562
4.6137,-4.2669,-10.2166,8.7166,-10.5754,1.4019
2.8692,-3.8307,-9.0874,13.3692,-8.8613,-6.2630
