ax,ay,az,gx,gy,gz
-1.7082,-1.5764,-10.1853,4.1259,9.6148,-6.2452
-1.7872,-1.4260,-10.0547,-1.4810,7.9810,1.9899
-1.0002,-1.3374,-9.5647,-4.2177,6.6987,2.6955
-0.5546,-1.3194,-9.1623,-2.0191,6.9051,0.7003
-0.7057,-1.2460,-9.1462,-0.1327,8.9260,-3.0861
-1.2586,-1.2139,-9.1427,1.1236,6.8218,1.3502
-0.9426,-1.2213,-8.8906,3.3515,0.7162,3.5790
-0.4106,-1.3366,-8.5627,7.3569,2.7123,2.8642
-0.7983,-1.6534,-8.1239,15.6522,14.6336,5.5722
-1.4712,-1.6670,-8.5083,21.8609,10.6102,10.7381
-1.2520,-1.4823,-8.8514,9.0738,10.2737,50.0944
-0.3868,-1.4549,-7.4089,11.4461,13.8489,32.5834
-0.2125,-1.7552,-6.6448,25.7931,10.2979,21.9913
-0.1778,-2.1369,-5.6002,40.9005,7.3256,14.3207
-0.0717,-2.6576,-4.6688,56.7742,9.8941,20.4990
0.4402,-3.2941,-4.2376,70.6767,8.1764,15.1600
-0.6730,-4.0459,-3.2881,83.4578,11.7921,12.5298
-3.4096,-5.0222,-2.4896,92.3366,8.2573,36.8142
0.4750,-6.4681,-5.0303,93.9726,-7.6059,45.9287
-1.2326,-6.5824,-5.2690,102.5896,26.8393,-2.7081
-1.3415,-6.7230,-7.4675,150.4842,24.1913,-5.8753
0.0905,-6.7501,-11.2468,148.8040,12.8536,-1.7827
-0.5816,-7.5821,-13.1308,136.0391,6.0665,-16.5077
0.0471,-9.6564,-17.8743,123.9214,7.8336,-18.9947
0.6747,-9.9545,-19.7472,60.4722,29.4421,-21.2487
-0.2714,-9.9780,-18.4033,27.8086,42.3811,-17.4250
-0.3741,-9.4312,-18.0098,-12.2468,25.1067,-16.8730
-0.6397,-8.9774,-17.2337,-55.7491,-1.5761,-8.8560
-0.0999,-8.8314,-15.3804,-85.4917,-9.8326,-9.0801
0.5788,-9.0614,-13.8535,-108.5373,-16.5738,-7.3991
1.1485,-9.2509,-13.0587,-128.1173,-20.4784,-18.2366
1.1014,-9.0411,-12.3736,-145.1805,-18.4915,-32.1584
-0.6347,-8.3986,-9.9975,-146.9963,-6.6161,-52.5759
-1.3312,-7.3073,-6.5192,-144.1783,-7.1595,-14.8850
-0.5566,-6.2247,-3.8444,-139.5588,-17.1119,13.9783
2.0655,-4.9209,-1.3422,-123.2641,-18.7115,10.4159
3.2067,-3.7999,0.4631,-96.3810,-0.6343,-12.0333
1.8887,-3.0888,0.9163,-38.5211,21.0572,-43.9362
0.2376,-2.6992,-1.1625,4.2680,16.2428,-51.4036
-0.6326,-2.7517,-4.3467,20.1131,-1.5625,-41.6040
-0.7281,-3.2998,-5.3889,9.9800,-13.1990,-28.1373
-0.0573,-3.4747,-6.6277,6.4117,-16.8175,-22.8633
-0.2111,-3.3570,-7.7055,-2.2153,-14.4639,-21.9450
-0.7189,-3.1661,-8.3332,-7.6288,-13.5696,-15.4682
-1.0679,-2.8827,-9.3753,-18.3388,-12.4972,-8.3392
-1.2932,-2.8420,-9.9110,-22.2630,-14.0515,2.4212
-1.6941,-2.8373,-10.6083,-22.4335,-18.2947,12.4347
-2.3175,-2.7202,-11.2660,-25.1988,-20.3623,25.0171
-3.4732,-2.5727,-11.0408,-35.5716,-12.2075,40.3497
-3.1378,-2.3930,-9.9311,-34.5147,-2.7249,53.8684
-3.7909,-2.5203,-9.1986,-27.0976,5.4737,64.6422
-3.9298,-2.7756,-9.0857,-23.6406,14.4257,81.8684
-3.5932,-2.8829,-8.3320,-19.5677,24.1834,98.6694
-3.2374,-3.0293,-6.9141,-14.1116,29.6674,110.8335
-2.2746,-2.9983,-6.0041,-1.3195,32.5238,117.8230
-1.1826,-2.9196,-5.5815,5.4984,32.1852,114.2819
-0.3563,-2.9258,-5.1022,16.0507,31.9240,102.2095
-0.0131,-3.0839,-5.0008,30.7441,30.2185,95.6779
0.6566,-3.1871,-5.6607,39.5408,24.8193,88.4429
1.7010,-3.3204,-5.7734,44.3053,13.9043,81.8130
2.8341,-3.6414,-5.2736,48.1820,-4.0103,69.4388
3.1984,-4.0112,-5.2246,59.8821,-14.0465,53.0933
3.1648,-4.2044,-6.1992,68.6258,-19.5992,38.2864
3.0188,-4.2698,-6.7830,74.0015,-21.2607,26.0307
2.7965,-4.5234,-7.8220,78.5007,-24.5349,16.6023
2.7599,-4.7569,-8.6043,77.3826,-28.7881,8.7625
3.2554,-5.0630,-8.9876,77.5278,-27.9093,-5.4839
3.2076,-5.2021,-9.8029,75.6890,-24.6093,-21.6472
2.1743,-5.4707,-9.5682,70.0260,-24.9400,-25.3388
3.3826,-5.6467,-9.6362,70.9339,-32.2789,-38.9040
3.3158,-6.0452,-9.2138,71.4637,-37.1378,-56.0607
2.6323,-6.2585,-9.9159,69.9043,-33.1282,-63.9409
2.1125,-6.4183,-10.0368,53.5205,-30.3949,-70.7431
1.5081,-6.5943,-10.5402,44.7256,-29.0122,-72.1009
1.0226,-6.7248,-10.1641,39.2032,-29.8952,-79.8063
-0.0004,-6.8920,-9.8589,34.1398,-32.3538,-82.8301
-0.6783,-6.9211,-9.5214,29.8491,-39.8229,-81.4621
-1.2074,-6.9874,-9.2516,19.5016,-43.2584,-80.9600
-2.6310,-7.0397,-8.7870,14.8787,-38.8510,-83.5420
-3.3847,-6.9164,-8.9767,15.7789,-28.2042,-78.0785
-4.1889,-6.8962,-8.8592,16.9379,-19.3739,-60.9422
-3.6991,-6.7960,-9.5673,16.8511,-22.0140,-55.4726
