ax,ay,az,gx,gy,gz
-0.3650,1.3671,-10.1395,15.4140,12.5220,0.9565
-0.0137,1.4625,-11.3245,18.2679,2.7734,-3.6585
-0.2398,1.2440,-11.7469,10.2995,-4.4772,-8.1922
-0.4393,0.9842,-11.9323,-3.0708,-12.2513,-4.6434
-0.0922,0.8491,-10.9774,-19.8971,-14.2487,-1.3347
-0.2192,0.6945,-9.4362,-22.7144,-13.3154,-4.7387
-0.4253,0.6128,-8.1286,-20.3372,-8.8557,-2.0470
-0.3691,0.5169,-7.0089,-12.0997,-7.6291,-3.9263
-0.5887,0.2627,-5.9266,-1.5727,-12.7468,-2.7353
-0.8115,-0.0921,-4.3779,8.7695,-11.7484,-2.5985
-0.4968,-0.5473,-2.6725,22.2414,-1.6571,1.3756
-0.0200,-1.2241,-1.0460,52.4267,5.0977,0.6809
0.4809,-1.7411,-0.2547,71.8973,6.8581,1.1210
0.1126,-2.7364,0.8987,94.3961,4.4817,0.3267
0.3089,-4.0516,2.0750,125.4758,-0.3835,-6.6909
0.9114,-5.8975,0.9641,201.0638,2.7384,-30.5992
0.1945,-7.0440,-2.2096,239.9061,15.3183,-43.2309
-1.0013,-7.8892,-4.9189,254.8973,42.7464,-38.2257
-0.5694,-9.0957,-9.2386,282.2733,35.7890,-39.9011
-0.0604,-10.7457,-20.4346,259.7425,12.7476,-58.2698
-2.3418,-12.6009,-27.0159,172.1720,27.2247,-43.9566
-1.3073,-13.5263,-29.9688,70.7773,17.6009,-30.0006
-0.7863,-13.5805,-29.7951,-12.5572,55.0346,-9.9488
1.3949,-12.5676,-28.6772,-81.8357,102.7200,-7.6604
2.8736,-11.2079,-25.6015,-149.3569,110.8193,-15.4745
3.2891,-10.1396,-20.6952,-184.3151,68.9858,-25.3694
3.6993,-8.6483,-16.7837,-200.2477,-3.2102,-36.4717
3.6724,-7.3000,-13.1152,-209.1159,-73.5781,-51.8054
3.2900,-6.0115,-9.7768,-210.2842,-116.8763,-66.1675
2.1350,-4.9139,-6.6043,-204.6797,-160.9102,-74.4530
0.8024,-4.0132,-3.6823,-178.2569,-191.7073,-83.3975
-1.0504,-3.1448,-1.9520,-141.7805,-189.7151,-84.4275
-7.7639,-3.5600,-0.7016,-94.1809,-126.7121,-62.4568
-12.9247,-4.1978,-1.1291,-46.0331,-72.5199,2.8475
-16.0270,-4.8607,-4.1519,-15.4115,-18.5036,101.7471
-15.3134,-5.1764,-5.4871,-44.9540,49.7308,201.9595
-12.2950,-6.2269,-3.6095,-50.0492,84.5092,288.8698
-2.4524,-6.7890,-0.9404,-25.3548,128.3564,316.1166
4.9908,-7.2575,-0.8265,8.8323,139.6912,304.5351
13.8450,-6.4585,-4.2793,25.2588,106.0151,236.3258
18.0769,-5.4750,-4.8808,26.6527,67.7486,152.5816
19.3342,-4.1529,-4.6649,33.3188,16.8658,57.5984
16.9155,-3.0189,-4.6050,36.9405,-42.0295,-29.8444
14.2271,-2.8414,-3.7627,54.2713,-98.2121,-101.2633
11.4689,-3.3384,-4.8540,71.6618,-138.0578,-155.2215
9.0402,-3.6659,-6.4264,74.7880,-147.2947,-208.1753
6.4458,-3.9546,-7.6686,64.7362,-164.4994,-264.0170
3.1717,-4.5767,-7.9151,53.6137,-175.9812,-305.9187
-2.0095,-5.7376,-8.3647,40.0000,-163.4798,-349.0598
-12.3352,-6.9228,-8.4053,46.3847,-126.0096,-317.1228
-17.7345,-6.8699,-10.6431,43.3194,-88.8045,-247.3051
-20.6811,-6.6241,-12.8532,22.1638,-39.1026,-153.6062
-21.3204,-6.1777,-13.6115,-12.5540,14.1386,-50.3631
-21.8859,-6.5590,-11.6340,-37.7056,61.7915,31.1358
-23.1829,-7.5407,-10.3516,-48.1767,119.8652,140.6938
-18.4373,-7.7900,-10.3830,-59.5082,163.8773,235.2002
-12.8176,-8.9266,-8.0183,-75.6496,198.6699,299.0612
-6.4812,-10.6352,-5.8931,-69.4277,176.9405,352.2462
4.0563,-10.4390,-5.3011,-53.5491,149.5811,344.3679
13.7325,-8.3871,-5.0396,-35.0505,126.5143,254.7036
18.4701,-6.3432,-4.9010,-22.2109,107.9795,161.8327
17.6840,-4.8355,-4.1802,-11.9179,69.5839,61.1529
15.0083,-3.8062,-3.4929,0.4806,15.8258,-13.7626
13.3012,-3.0625,-3.4845,14.0120,-62.8007,-74.8021
10.7605,-3.1066,-3.8615,25.5074,-106.0552,-123.0711
8.3318,-3.1846,-4.5331,34.6333,-120.0624,-165.0366
5.9853,-3.0226,-5.3795,47.2840,-142.0734,-208.9195
1.8676,-3.2117,-6.5029,46.7962,-153.0229,-251.5844
-4.1219,-4.2782,-6.3333,43.5674,-128.4240,-265.4835
-9.3778,-4.6881,-7.1360,57.2031,-72.7374,-221.9114
-9.2648,-4.1510,-8.4812,55.7584,-22.7628,-179.0330
-7.3901,-3.7183,-9.3305,49.8309,-8.3156,-174.6588
-7.6901,-4.4452,-9.1526,46.0815,-4.0845,-189.3560
-15.0824,-6.1896,-12.0469,41.4285,20.6538,-129.8325
-16.8855,-6.7539,-12.9623,17.9975,47.2296,-34.3288
-17.4243,-7.2695,-13.3034,-4.7706,61.2178,46.9146
-18.3100,-7.6159,-15.1421,-35.8731,141.3009,121.2196
-17.4667,-8.1196,-13.4215,-76.0238,222.7731,244.5637
-12.6100,-8.6716,-8.8527,-84.9606,244.0628,298.8671
-5.8828,-9.8364,-6.6746,-93.9114,199.1744,347.6591
2.0612,-10.3171,-3.6498,-92.4993,126.9853,357.5896
11.5182,-10.0243,-1.7979,-55.6060,84.1005,327.4010
17.3354,-8.8532,-5.3256,-26.3013,63.3282,232.5687
17.1288,-7.2029,-7.0808,-25.4733,39.5527,137.7679
