ax,ay,az,gx,gy,gz
-0.2081,1.4016,-10.0730,-1.8742,-8.6140,0.2158
-0.1472,1.4013,-10.0906,-1.5924,-9.4718,0.6409
-0.1028,1.3061,-10.2706,-4.9786,-11.7519,0.3464
-0.4424,1.3287,-10.2874,-11.3415,-9.8352,0.8614
-0.3960,1.5394,-10.1529,-15.0112,-5.1950,3.9324
-0.5533,1.5628,-9.9697,-15.9234,-5.0767,5.6180
-0.1895,1.6844,-9.5338,-15.5277,-9.5395,9.5340
0.1023,1.7530,-9.3862,-14.1480,-10.4301,6.9617
-0.2715,1.6564,-8.9731,-11.1123,-8.0027,4.5051
-0.4346,1.5430,-8.6531,-7.3334,-9.9029,5.7194
-0.4534,1.4288,-8.3328,-2.5844,-7.0343,5.4017
-0.6165,1.2018,-6.9288,3.4778,-0.1186,3.3365
-1.2029,0.9904,-7.0099,10.2732,-0.8231,9.0477
-1.1885,0.5605,-6.6329,18.1613,-1.1455,10.7722
-0.8081,0.1676,-5.4831,24.7981,8.5045,9.1824
-0.8268,-0.5160,-3.8153,35.5312,19.5092,15.3778
-0.1859,-1.0301,-3.2757,50.6759,28.7349,24.5865
0.2334,-1.4795,-2.5567,59.4835,41.5518,17.3764
1.4289,-1.9350,-1.7577,72.9349,32.9112,11.0936
1.2706,-1.8454,-2.8604,90.9735,31.8757,14.4523
1.6370,-2.0517,-4.9762,104.8945,16.2483,9.1715
1.3707,-1.7823,-8.7254,106.0923,8.9766,1.6332
0.0430,-1.4417,-12.5224,96.1162,20.9615,-3.3050
-0.0818,-1.0180,-18.0096,62.3483,30.3243,-21.5389
2.4532,-0.5123,-22.8238,91.8190,31.4365,5.0087
1.2575,-0.9220,-24.8286,96.2113,13.7554,-34.8373
1.0353,-1.8428,-24.9693,53.1979,-8.4529,-51.4501
1.3561,-2.4109,-23.6277,-4.5050,-30.9874,-50.8529
1.0774,-3.2017,-21.7050,-42.8061,-18.2474,-58.6655
0.1223,-3.7383,-19.8941,-84.3038,-11.3238,-23.7566
1.6094,-3.6780,-18.0901,-124.5023,-6.8410,-9.9090
0.8324,-3.3515,-14.6233,-201.2740,-11.6324,-14.5990
-0.4362,-2.5329,-8.1927,-204.8459,26.9232,-16.5072
-0.2927,-1.6193,-3.1991,-180.4725,32.1906,-3.5684
1.0236,-0.7890,0.5858,-119.9865,37.7004,2.5492
1.7462,-0.3261,1.3426,-51.7489,2.6761,8.4394
3.6531,-0.1362,-0.3474,-4.1563,-56.4843,-5.8232
5.0947,0.1008,-1.4204,52.0811,-75.7244,-96.7211
0.2079,-0.4187,-3.6627,96.6692,-110.1015,-149.7896
-6.0184,-0.9337,-7.1251,110.5747,-101.5678,-105.9128
-12.9880,-2.0492,-12.9633,67.0474,-49.7866,-20.6388
-15.5825,-2.1790,-15.3439,-30.7740,-8.1096,120.5570
-13.8284,-2.0375,-14.1041,-100.6746,18.5044,229.3375
-9.3730,-1.2061,-10.6428,-119.5096,89.5338,238.4802
-4.3931,-1.4257,-5.6004,-119.0801,111.7684,262.8968
3.4262,-2.0144,-3.2511,-51.2196,80.1533,244.1199
10.6003,-2.9806,-3.5410,13.1663,21.0427,191.1713
14.4518,-3.2497,-5.6965,51.8084,1.2324,112.6140
13.8376,-2.0947,-7.4474,12.6442,-17.9033,-3.3181
12.2562,-0.9090,-6.1328,-11.7476,-45.0738,-74.9033
11.7278,-0.0598,-5.2841,9.1465,-71.3107,-120.9619
10.1777,-0.0244,-5.3815,39.5034,-67.1248,-151.0894
8.7829,0.0761,-6.8812,70.2535,-38.4424,-178.0392
5.6749,-0.2960,-7.7026,93.5735,-10.2974,-222.5227
-0.3277,-0.9771,-8.9026,111.4504,-20.1728,-210.7607
-4.9147,-1.1790,-11.9129,114.0114,-22.1632,-175.6079
-7.4861,-1.6886,-13.5169,93.4929,6.1268,-158.1227
-11.3302,-1.8223,-14.3511,56.4575,29.8167,-148.4681
-13.1536,-1.6535,-15.3544,35.8630,29.2957,-97.5054
-12.8447,-1.7219,-15.8717,8.7865,26.2223,-50.5905
-11.2580,-1.5819,-15.8730,-39.9622,37.3067,-15.6967
-11.7014,-1.6703,-14.0552,-40.0128,88.3325,38.5648
-12.6242,-2.2616,-12.1304,-52.5930,77.2349,113.8512
-13.8731,-3.0126,-11.6988,-58.4414,88.5405,191.5181
-9.1199,-3.3662,-11.4262,-72.1484,78.5399,256.5184
-4.2694,-3.9334,-9.9289,-90.3309,82.9483,287.6075
1.5362,-4.9169,-6.2902,-89.0937,76.3149,308.1120
8.4018,-5.4869,-4.3497,-51.0477,30.1368,283.7323
13.9891,-5.5062,-5.7964,-11.2953,-2.7779,207.6912
15.6734,-4.7877,-7.3690,14.0892,-10.5637,129.9769
12.4737,-3.3665,-7.5250,61.9961,-33.5131,7.8052
9.7742,-2.4207,-9.8347,84.8087,-65.4886,-65.4619
6.2941,-1.8312,-9.8575,45.4156,-69.5709,-61.1907
4.6731,-0.7437,-8.0714,9.7213,-35.9175,-39.2603
2.8727,-0.4089,-7.4904,35.8545,15.2373,-0.5251
2.1304,-0.3161,-9.0487,43.4286,43.5150,1.5684
