ax,ay,az,gx,gy,gz
-0.3333,0.5492,-9.5671,-3.1288,3.9157,0.8807
0.1286,0.5867,-9.5724,-0.7007,2.5102,0.9476
0.1020,0.5555,-9.6437,0.3075,3.2154,1.3114
0.1433,0.5834,-9.6864,0.7930,2.3158,0.9925
0.0589,0.5600,-9.6689,1.1969,0.9042,0.1913
0.0196,0.5766,-9.6244,1.4840,2.0706,-0.7176
0.0558,0.5976,-9.8171,2.5677,3.0826,-1.2057
0.0558,0.5253,-9.9024,2.6195,3.1060,-0.6412
-0.0422,0.4648,-9.9305,2.1765,3.8318,-0.4588
-0.0696,0.4292,-9.9274,1.7474,3.1512,0.4989
0.0808,0.4266,-9.8454,0.9023,2.9225,0.9643
0.0686,0.4025,-9.9309,0.6925,1.8200,1.9503
0.0119,0.4188,-10.0831,-0.6976,-0.3046,2.5111
0.0441,0.4830,-9.8469,-3.3581,2.4326,2.4393
-0.4214,0.5949,-9.7702,-1.5085,17.5148,4.9817
-0.3444,0.8815,-10.4398,-3.0485,21.7878,13.4113
0.1011,1.0647,-11.6601,-11.0793,22.6028,16.8497
0.4052,1.0367,-12.4827,-28.1413,21.1147,22.6854
1.4771,1.0400,-13.5938,-44.4976,26.2548,23.4901
2.5260,0.7532,-13.3299,-67.9069,34.3692,23.3466
5.7701,0.7082,-12.0291,-96.0191,32.1608,10.3923
8.4814,0.6989,-9.0046,-102.0626,23.6954,-21.2731
9.2260,0.7298,-7.0981,-87.9031,17.2926,-64.7246
9.1304,0.8113,-5.7777,-67.2224,6.2311,-103.2560
8.0233,0.9388,-4.6904,-45.2957,-11.8261,-142.1899
3.9924,0.6956,-3.7103,-18.9957,-21.5397,-156.1639
0.4868,0.5412,-3.8448,7.9064,-30.3780,-152.7886
-0.8331,0.5288,-4.4890,24.1739,-31.6187,-145.9243
-0.9145,0.3711,-4.0134,39.7083,-39.1932,-145.8484
-1.6731,0.0202,-3.3314,60.7254,-35.5898,-144.0058
-1.9864,-0.3384,-3.7084,83.2916,-24.5463,-143.8627
-3.2349,-0.9392,-4.7085,95.0943,-12.3971,-135.2498
-3.8728,-1.6365,-5.4608,106.8713,-7.7316,-120.7379
-5.0199,-2.0637,-6.2183,117.9637,-10.5116,-93.7213
-4.2805,-2.2856,-7.1190,126.5077,-7.7822,-75.6380
-4.0871,-2.7283,-8.4082,130.2866,5.6952,-68.4850
-5.1484,-3.3655,-9.1775,132.2117,20.2038,-52.5731
-5.0145,-3.8121,-10.5585,130.4488,22.3098,-30.3522
-5.1342,-4.3009,-12.1337,120.6012,25.5923,-13.4184
-5.0751,-4.5992,-12.2130,101.8470,33.7263,1.3275
-5.1035,-4.4758,-12.2359,95.5650,40.3767,18.0688
-5.5125,-4.7524,-12.9971,87.0384,42.9807,38.7652
-4.8972,-5.2687,-12.9456,61.8131,46.1241,59.1808
-4.8397,-4.9295,-12.5620,51.8185,62.2531,85.4696
-3.3789,-5.1374,-13.3631,37.8527,64.5401,106.8459
-2.2934,-5.3326,-13.6012,16.3639,64.7757,121.8842
-1.0950,-5.4131,-13.0534,-5.2098,58.0415,131.4925
1.6265,-5.2838,-13.8439,-28.2083,69.8188,124.1463
3.1848,-5.2409,-13.3142,-45.8309,80.9534,113.3838
4.6808,-4.9530,-12.6914,-60.2607,68.3139,91.2309
5.0311,-4.6454,-12.5703,-69.7955,49.9660,69.5614
5.1474,-4.3991,-12.0928,-83.9576,33.9832,50.4024
4.5338,-3.9813,-10.7445,-92.3743,26.5279,30.5564
4.1975,-3.2272,-8.6664,-91.4663,16.9865,13.5981
3.8187,-2.2731,-6.6495,-75.2152,0.8830,2.8888
3.1378,-1.7263,-5.3831,-54.5031,-4.9765,-10.9821
2.6047,-1.0794,-5.4900,-28.5599,-7.2658,-17.9341
3.1418,-0.8768,-5.5009,-9.5550,-14.3724,-26.1374
3.9663,-0.9431,-6.5138,8.0380,-12.1002,-39.8540
4.4904,-1.0127,-7.3692,14.0686,-9.1308,-62.7609
4.3185,-1.1874,-7.8017,19.2499,-6.3899,-80.3470
2.7892,-1.4960,-8.6423,25.5684,-5.8472,-98.2184
-0.7555,-1.7226,-9.6568,19.9058,-11.9535,-85.8991
-1.2237,-1.8185,-9.8847,17.9477,-13.9616,-79.9436
-2.7326,-1.9949,-10.4278,16.1149,-1.0625,-75.7196
-3.8285,-1.9528,-10.6352,10.8759,5.1657,-57.3904
-3.1668,-1.8553,-10.5910,5.3352,0.5208,-34.3763
-2.2983,-1.7993,-10.4668,1.4026,5.3320,-24.2078
-2.4081,-1.6732,-10.4404,-2.9018,5.2654,-14.9776
-1.2473,-1.6029,-10.0178,-6.0053,-4.9609,1.0442
-0.0593,-1.4481,-9.6105,-7.6617,-6.2059,1.8135
0.2924,-1.2626,-9.4341,-5.4546,-5.4368,-0.6622
0.2710,-1.1139,-9.5022,-3.1435,-10.9894,3.1576
0.4123,-1.1181,-9.8030,-2.9404,-12.3978,4.0452
