ax,ay,az,gx,gy,gz
-1.3387,2.3007,-9.9858,-5.6840,2.6205,25.7062
-1.0869,2.4045,-9.8226,-3.2769,1.0676,38.6008
-0.3614,2.7109,-10.5846,-0.5911,4.8752,35.1332
-0.8018,2.6628,-11.4497,-10.9023,11.2794,43.4054
-0.2480,2.6177,-10.7162,-16.1009,18.9274,35.4012
0.8109,2.3895,-10.2111,-11.6786,11.8971,40.9831
1.0795,2.3851,-10.0563,-11.8999,18.2460,17.1146
0.5640,2.2796,-9.7987,-18.5631,6.5683,8.8399
0.1802,2.1368,-8.7771,-21.8465,3.7763,8.4135
0.7104,2.0252,-7.8749,-15.0183,-0.4956,5.0828
0.7139,1.8425,-7.3805,-10.2784,-1.7739,1.9452
0.5165,1.8072,-6.9274,-6.3272,-9.4055,-1.1999
0.4004,1.7097,-6.0469,1.3563,-10.3768,-5.8231
0.1295,1.3856,-4.9589,8.9655,-6.7170,2.7479
0.0678,0.9512,-3.8661,23.0780,-0.6246,3.4607
0.5937,0.5882,-3.1979,36.8277,3.8226,-2.3249
0.6012,0.0086,-2.6612,51.6132,2.6839,-6.2707
-0.0499,-0.6600,-1.7762,67.2324,0.3342,2.1062
0.5468,-1.2660,-0.2398,88.2409,5.0470,-4.5077
0.2108,-2.0316,0.4349,125.0498,5.0256,-3.1773
0.8494,-2.4918,-0.4233,150.1061,12.6458,-14.0701
-0.8589,-3.7209,-0.4997,179.2530,14.8348,-15.7067
-1.5270,-5.0398,-2.1985,219.6372,12.1233,-0.4681
-0.1274,-6.2590,-5.1220,238.6980,25.6275,7.1546
0.8070,-7.6547,-7.1122,253.2365,40.9476,12.9693
1.6917,-9.5470,-9.3275,265.3012,41.1004,14.1028
2.7929,-11.4353,-13.9549,260.6605,25.5665,-2.0946
1.0267,-12.6505,-18.3059,230.5328,31.7351,1.8290
1.9030,-12.9237,-22.3509,180.4015,51.0065,29.0582
4.4762,-11.7789,-25.0294,120.1615,65.8816,18.0598
4.4137,-10.6837,-26.8991,59.8613,54.1824,4.6218
4.6482,-8.7467,-27.2771,-16.4791,51.2555,-8.4380
4.0932,-7.9702,-23.9898,-79.9400,43.3052,-7.1436
4.9903,-7.4625,-21.2094,-138.6557,46.0004,-22.9398
6.7448,-6.9550,-17.3830,-171.2062,-9.5740,-47.8121
5.7976,-6.3352,-13.2470,-185.5907,-70.1674,-75.0313
5.0231,-5.4230,-9.6736,-186.4249,-122.8108,-83.5433
3.4528,-4.2590,-5.7219,-180.2239,-138.3620,-100.7125
1.8771,-3.1533,-2.5762,-152.8894,-118.7973,-113.6553
-0.6805,-2.6211,-1.3275,-124.5641,-96.2189,-121.9662
-3.1763,-2.5938,-0.3696,-89.1852,-94.6111,-108.4981
-4.5295,-2.4734,-1.6021,-51.6742,-88.5343,-89.2727
-6.7767,-2.4889,-4.0836,-32.0285,-68.8779,-64.5954
-8.7283,-2.8697,-4.9154,-23.7481,-38.5499,-26.8747
-9.5193,-3.4909,-5.4740,-12.6560,-3.8494,9.5871
-10.4564,-4.0233,-5.8230,1.0720,36.9322,59.5412
-9.6190,-4.5723,-6.9502,19.3472,109.6790,122.8718
-7.6318,-5.0328,-6.6351,9.2538,162.7747,171.9259
-4.5389,-5.2592,-5.3831,7.7666,180.7398,215.0467
2.0427,-4.7701,-5.3431,19.2291,146.5408,241.1393
10.2112,-4.1693,-4.7250,26.1502,83.6204,197.7827
14.5592,-3.9907,-6.4384,35.6477,11.7588,125.6129
15.0329,-4.5305,-8.4082,42.6299,-52.9968,48.3010
13.0804,-4.9412,-11.8660,42.9634,-102.1965,-12.9334
7.0679,-4.2085,-16.0599,-5.7111,-116.7990,-53.3982
2.4453,-2.9517,-15.4004,-39.9142,-92.2205,-55.1684
-0.2613,-1.6419,-15.4808,-55.9677,-71.9041,-52.1637
-2.2315,-0.3946,-16.4753,-82.1647,-33.2211,-25.0051
-1.1079,0.4619,-14.6234,-110.3324,-9.1893,-7.5818
0.4947,0.5692,-12.3334,-119.3062,9.7717,-7.8566
1.3686,0.7186,-9.7222,-122.1602,32.4471,-16.7327
1.4339,1.1497,-8.1098,-114.4869,42.2280,-19.0000
2.2610,1.3962,-6.3589,-128.1243,44.6024,-21.1665
1.2646,1.0735,-2.4897,-112.2237,37.7076,-23.9673
0.2544,0.8011,-1.6042,-63.7912,-31.8401,-13.1118
0.6621,0.5400,-1.0762,-32.1291,-93.7785,-13.7659
0.4065,0.4361,-2.0907,-17.0444,-114.3347,-17.3137
0.0052,0.2679,-3.0966,-28.3231,-140.8902,-15.5221
-0.6444,-0.3291,-1.8112,-12.0739,-87.2229,-14.1771
-0.5427,-1.0191,-2.0460,20.5652,-46.7343,-10.2279
-0.7442,-0.9767,-3.2834,40.2956,6.6765,-11.2276
-1.4468,-0.6227,-4.3290,49.3684,42.5112,-5.3453
-2.5188,-0.8593,-3.9411,58.4575,52.5124,4.8768
-2.1068,-0.9304,-4.3803,69.9978,52.1505,17.5422
-0.9113,-1.1287,-4.2295,84.9579,47.7918,22.4131
-0.1619,-1.5389,-4.1061,104.7348,43.4864,12.3811
-0.2757,-2.5148,-3.9734,124.3209,35.6198,5.2706
-0.7014,-3.4275,-4.3932,149.1839,20.0562,10.4916
-0.4933,-4.2545,-5.5342,165.6938,14.3693,21.0829
0.7824,-5.5720,-5.0978,188.9955,10.8422,29.7647
2.2467,-6.3152,-8.6701,215.5898,-1.5197,20.9540
1.0918,-6.5302,-13.7971,200.2504,-2.1392,15.2567
1.0126,-6.8837,-15.8918,166.2873,-11.8690,13.7485
1.1050,-7.3644,-17.8836,132.9643,-26.0244,12.1368
