ax,ay,az,gx,gy,gz
3.0853,1.0395,-9.4412,-6.6898,-3.3092,5.9368
5.1915,1.2083,-9.3465,-12.4438,-14.5683,-17.1031
6.1737,1.1083,-8.6865,-8.4954,-20.1441,-53.1607
5.5012,0.8178,-8.4613,5.5514,-23.6692,-96.4210
2.8189,0.4515,-9.6453,10.4661,-28.2328,-126.7417
-0.4642,0.1300,-10.6466,2.5168,-52.8928,-129.4491
-2.9692,0.0540,-11.0565,-10.3401,-68.1418,-120.4530
-4.8131,-0.0253,-9.8855,-18.1110,-52.4609,-85.3048
-5.7571,-0.0597,-9.1343,-11.7197,-40.1945,-56.7366
-7.0433,-0.2463,-9.1783,-3.9925,-29.0338,-40.6491
-9.5404,-0.5827,-9.3255,-4.2055,-20.5469,-9.4652
-10.8566,-0.8261,-9.4763,0.0932,-27.1170,61.9496
-10.7148,-1.0526,-9.0954,2.4358,-5.8333,90.1117
-12.9260,-1.3761,-9.0245,3.6207,41.4534,138.3651
-10.1925,-1.7238,-9.5870,8.3070,57.9922,191.1985
-6.6008,-2.0034,-10.4995,-0.1125,78.2709,211.7145
-2.3277,-2.5641,-9.2288,-13.2408,101.5127,224.0501
2.7669,-2.6288,-8.7981,-19.6445,108.2315,216.9041
9.9548,-2.2223,-8.4423,-35.8905,88.1450,173.5988
14.3621,-1.3401,-7.2490,-42.0174,73.6199,82.7358
12.0931,0.4919,-8.6068,-34.7191,52.5408,-25.6168
10.4066,2.0565,-8.8388,-13.5230,9.7611,-77.0320
7.6493,2.4658,-9.1443,1.5279,-4.4787,-106.3406
5.0539,2.5250,-9.9603,11.8998,-11.9147,-126.2209
-0.7967,2.5658,-11.4116,4.0988,18.8027,-104.2482
-1.9806,2.8644,-10.9172,-15.7378,-1.2605,-64.1053
-0.8870,2.9659,-9.6428,-22.0711,-23.4472,-52.1371
-1.3624,2.7268,-8.2136,-18.3531,-16.1745,-44.5511
-2.6149,2.4444,-5.5184,12.2083,-5.8206,-16.2441
-2.6666,2.2023,-4.0887,34.8209,-5.0306,5.5559
-1.8919,1.6219,-3.7418,45.6306,-22.0812,13.5134
-3.1454,0.5093,-2.2321,60.5950,-29.6241,32.9908
-2.4512,-0.4550,-1.1445,81.2166,-45.9862,41.7943
-1.0973,-1.4236,-1.8470,96.3340,-57.3435,34.9709
-0.4779,-2.4804,-2.3715,107.0274,-55.8774,25.0486
-0.4101,-3.1170,-3.1536,115.4548,-57.3593,11.3224
-1.0200,-3.3472,-4.3235,123.5285,-51.2474,4.6807
-1.3520,-3.4417,-6.6878,134.8334,-32.5044,1.1530
-2.0978,-3.1220,-9.0059,135.2009,5.6791,3.8798
-1.2362,-2.6980,-10.0003,142.3016,31.0716,3.9111
3.2790,-3.5148,-14.7125,213.3642,97.9060,4.8087
0.0992,-3.6669,-13.1526,177.4058,87.6613,8.8327
0.5802,-3.4018,-15.1253,141.3079,67.1052,6.8090
1.3364,-4.4460,-16.5038,122.0559,65.0377,8.4906
2.0406,-5.2303,-19.0867,103.3952,71.5909,2.9639
3.9403,-5.5943,-21.9095,55.5505,59.6152,-2.3962
4.6327,-5.9552,-21.0012,6.3358,59.4443,5.3337
6.4902,-6.4763,-18.3462,-39.6728,40.3255,0.2748
9.7505,-6.3667,-14.6849,-69.4433,-4.3296,-32.3374
9.6359,-5.3952,-11.6951,-87.2315,-34.3624,-67.0617
8.6422,-4.5649,-8.3329,-87.1440,-49.7260,-91.9630
7.0597,-3.6957,-6.2229,-71.5145,-82.3500,-127.7918
4.7040,-3.3182,-5.4669,-51.3447,-103.3388,-164.2175
0.8449,-3.1766,-5.5695,-32.1924,-110.6363,-187.7725
-2.6789,-2.9186,-5.9100,-12.4755,-90.9907,-180.2857
-4.5737,-2.4816,-6.6794,-0.9635,-65.6827,-160.0261
-6.3188,-2.5844,-6.5879,6.1458,-38.8802,-129.0366
-7.9727,-3.1555,-6.7878,15.9289,-27.8786,-88.7623
-8.0948,-3.6161,-8.4953,18.8943,-22.3211,-58.5759
-8.5180,-4.3844,-9.3678,6.4182,-12.2282,-20.9392
-9.3751,-5.1107,-9.6689,1.2013,-1.9323,25.3097
-10.0302,-5.6764,-9.7570,-4.3306,23.2804,72.6250
-9.7952,-5.9360,-9.4664,8.1358,77.5253,125.5066
-9.2724,-5.9615,-9.4027,5.3408,110.6994,168.5066
-8.3094,-6.1215,-8.7347,5.3667,131.9491,204.0344
-5.7075,-6.2457,-7.3999,-25.2224,121.9434,231.0255
-2.3987,-6.3354,-7.5575,-33.7687,112.0615,251.3325
1.0818,-6.4259,-6.9575,-41.0889,99.0679,260.2554
6.3999,-6.7615,-5.8860,-17.9119,78.7668,250.4027
11.6251,-6.8634,-6.4595,1.6782,60.8687,206.6105
14.6780,-6.4429,-8.2351,15.5001,50.1648,122.8875
13.6682,-5.2555,-9.5351,10.7577,56.9064,50.7149
9.9585,-4.1146,-8.9056,-3.5629,52.9716,16.7719
7.5287,-3.0584,-7.8742,-9.6402,45.0838,0.0211
6.4005,-2.3240,-7.6598,-4.2188,12.6104,-8.7513
5.4819,-2.1154,-7.9029,3.7547,-16.9166,-19.4068
3.7045,-2.2139,-8.2792,12.5751,-6.7060,-28.7886
2.2942,-2.2935,-9.1032,15.7053,5.2805,-29.0653
1.3326,-2.3856,-9.6990,10.1228,12.3258,-23.6541
1.0652,-2.4367,-9.6623,4.4876,14.7918,-15.9375
1.3103,-2.5435,-9.3596,1.5290,16.4474,-10.2118
1.8660,-2.6177,-9.3141,0.6046,13.0178,-8.5659
