ax,ay,az,gx,gy,gz
-0.2536,-1.8988,-9.8384,-3.3381,-3.6224,-12.9245
0.2180,-1.9289,-9.4815,-4.7038,-5.4626,-26.0829
0.6736,-1.8746,-9.2732,-2.1282,-13.5706,-43.7942
1.0825,-2.0490,-8.1185,5.7667,-9.8423,-64.3708
-3.4171,-1.9685,-8.9960,21.5945,4.9177,-63.1590
-5.1354,-2.0518,-9.8206,11.5388,-8.7239,-22.5520
-4.1795,-2.4710,-9.7539,3.3230,-16.3856,1.6552
-3.5600,-2.9317,-9.3067,5.7440,0.0382,7.6201
-5.1144,-3.0228,-9.6590,10.8799,20.4819,18.9709
-6.8653,-2.8401,-10.6520,0.4476,24.1906,52.2322
-6.5506,-3.0671,-10.2115,-10.1940,22.8845,80.7239
-5.9759,-3.0824,-9.4974,-9.6655,34.2927,103.8197
-6.1592,-2.8869,-9.3199,-10.0031,45.7441,135.1368
-5.7481,-2.9819,-9.0850,-10.5168,41.5758,173.6028
-2.2794,-3.3713,-8.9340,-9.9203,41.6454,192.3219
0.3080,-3.5867,-7.7818,-2.9394,50.9456,179.7076
1.3462,-3.7128,-7.6691,13.6206,52.3279,167.9448
3.5660,-4.2557,-8.9497,20.8840,41.7509,148.3442
4.9621,-4.8780,-8.8916,21.2873,38.0904,123.7284
5.8807,-5.0536,-9.3296,21.9957,34.8637,98.6765
6.9608,-5.2733,-9.2906,18.8636,26.7940,73.6619
8.7448,-5.6056,-9.7303,15.4678,20.5485,35.3434
9.0599,-5.6773,-9.5740,5.4342,16.9677,-5.4025
8.4736,-5.4523,-9.3417,-3.6579,-6.7533,-36.5352
8.5630,-5.3599,-9.4222,-15.4944,-32.3764,-91.1125
6.7688,-5.1156,-9.3851,-23.5337,-41.1385,-137.4425
3.9082,-4.4479,-10.1368,-23.4027,-52.9701,-167.9730
-0.9298,-3.5425,-10.8220,-36.9223,-60.4595,-176.9175
-4.2523,-2.6492,-9.9910,-47.0642,-53.7454,-151.2258
-5.2689,-1.9480,-10.2079,-51.9847,-38.9354,-124.2707
-6.5464,-1.3463,-10.1962,-49.3483,-19.4289,-86.0651
-6.1442,-1.0319,-9.2983,-47.0349,-4.7974,-56.2805
-4.7739,-0.5957,-8.4194,-27.6537,0.5607,-33.0917
-2.9954,-0.5287,-8.3205,-18.9727,-0.3420,-15.8150
-1.8181,-0.5798,-7.8114,-10.2924,-1.6285,-13.7457
-1.9923,-0.6953,-7.5829,4.4149,-2.4775,-10.4777
-1.6524,-0.7499,-8.1749,11.5734,-4.1641,-4.0776
-1.7361,-0.8667,-8.2462,14.8852,-0.8311,3.7796
-1.8271,-1.0889,-8.2198,17.5517,1.0430,15.9255
-0.5637,-1.4597,-8.2814,21.2680,0.2713,20.7161
-0.5739,-1.7081,-8.5277,22.4095,8.6468,24.3081
-0.7653,-1.7868,-8.4932,20.3348,11.1363,32.3124
-0.9538,-2.0918,-7.7879,21.7431,8.1649,34.7386
-0.5303,-2.1642,-7.8127,28.8364,9.1322,38.0642
0.3326,-2.1815,-8.3960,30.7736,8.4212,28.0496
-0.1971,-2.2546,-8.8068,28.8048,6.1152,21.3675
-0.3877,-2.4365,-8.5034,28.1479,-0.1972,22.1649
0.3173,-2.5895,-8.5556,28.9402,-4.6055,13.2096
-0.0505,-2.5611,-8.6253,34.1446,-8.0033,7.3283
-0.0816,-2.6074,-8.9009,37.3112,-11.6312,3.8080
-0.4686,-2.5249,-9.3649,36.5481,-10.5458,6.2428
-0.0923,-2.7054,-9.5582,30.8495,-15.8039,2.4911
0.0775,-2.9155,-9.0271,34.9886,-8.9607,-0.4348
0.4045,-2.8809,-8.9830,44.9808,-2.3603,-6.7831
-0.2925,-2.9306,-9.3227,47.9028,-1.7572,-8.8454
-0.4401,-3.2500,-9.1495,47.8432,-9.8625,-5.9569
-0.0666,-3.5356,-9.3918,49.8847,-11.7387,-7.4630
-0.3041,-3.6665,-9.3932,52.5094,-11.3051,-8.6944
-0.6493,-3.8454,-9.7885,53.2587,-10.5847,-7.0770
-0.6051,-4.0981,-10.0581,50.4378,-9.8344,-4.0732
-0.2850,-4.3456,-9.9781,47.9667,-7.7657,-5.0275
-0.4112,-4.5738,-9.7532,45.3819,-3.6971,-6.7982
0.1322,-4.8691,-9.7098,44.2691,-3.8064,-8.8092
0.2908,-5.0587,-9.8021,41.3818,-1.9954,-14.6250
0.3769,-5.2119,-9.8849,38.6735,-2.6657,-17.7820
0.2931,-5.0308,-10.1829,32.2010,-1.9630,-21.9885
0.1070,-5.0366,-9.8837,29.3306,2.0257,-23.7465
0.4104,-5.4826,-10.0874,26.4604,8.5440,-28.8293
0.0154,-5.9021,-10.5142,15.9195,1.9071,-33.0434
0.2760,-6.1123,-10.0616,7.5949,-0.5650,-37.5441
-0.0151,-5.9308,-9.9910,6.5164,3.5091,-40.1778
-0.1972,-5.7520,-10.1157,3.6428,4.2029,-40.6356
-0.3820,-5.6405,-10.0759,-2.3476,0.1799,-38.5418
-0.8561,-5.4059,-10.2589,-8.1873,-3.5704,-35.9807
-0.7767,-5.4826,-10.4874,-14.8942,-9.6145,-32.8964
-0.2582,-5.7638,-10.2094,-21.2296,-7.9311,-30.9105
0.9019,-5.9996,-9.6032,-17.2175,3.4443,-39.8987
0.1043,-5.7909,-9.6530,-14.5253,8.1812,-40.5667
