ax,ay,az,gx,gy,gz
-1.3094,-6.1297,-8.0806,5.1827,-4.7682,1.7096
-1.4268,-6.0501,-7.9897,1.2154,-6.2978,3.6798
-1.2631,-6.0156,-7.5069,0.4799,-7.8758,5.6018
-0.8609,-5.9701,-7.1650,4.3177,-7.8293,3.3740
-0.8824,-5.9376,-7.2710,10.2281,-9.9604,-0.9264
-1.1214,-5.8959,-7.8087,11.9476,-13.3793,-2.1317
-1.4759,-6.0089,-8.3714,5.0872,-16.5099,-1.0518
-1.6429,-6.1865,-7.9988,0.7560,-15.1423,3.4241
-1.5162,-6.1735,-7.5797,1.8987,-15.2725,4.8256
-1.2613,-6.1194,-7.1420,4.1236,-12.6269,1.6743
-1.4191,-6.3226,-6.2418,13.2698,-12.5858,-0.3383
-1.6376,-6.5649,-5.4024,25.3807,-14.4239,-2.1084
-1.9262,-6.9407,-3.5700,46.0049,-12.6264,2.0764
-2.1880,-7.3842,-2.0687,70.6909,-4.9147,8.2513
-2.2748,-7.9669,-0.7596,106.1390,-1.6355,8.2636
-2.3699,-8.4092,-2.5324,109.2006,3.6733,4.5174
-1.6442,-8.4785,-3.0937,86.9424,-0.0309,10.0655
-1.5571,-8.4225,-1.1790,75.0515,0.5184,21.9670
-0.2546,-8.3023,0.3205,82.7539,4.5724,23.5414
0.0735,-8.4360,-0.9270,95.4705,15.2473,10.8491
0.0542,-8.6505,-1.6452,103.4384,19.3682,-2.1669
-0.5730,-8.9405,-2.8444,112.1301,13.1262,-13.2466
-0.2175,-9.0731,-4.4137,121.3206,0.4007,-32.9968
-2.1708,-9.8780,-5.8132,117.0114,4.3148,-26.2299
-1.5419,-10.3337,-7.6898,102.8632,13.2060,-22.6102
-1.1562,-10.8435,-9.2721,86.3597,24.8782,-28.5037
-1.4292,-10.8648,-10.2935,62.7654,35.2967,-34.3047
-2.4513,-11.0663,-10.2331,38.7943,29.8745,-31.5130
-1.6996,-11.1897,-10.3042,12.8189,15.1570,-20.8768
-0.6715,-11.0544,-10.3065,-14.8814,3.7376,-18.1200
-0.2076,-10.6173,-9.3566,-37.5358,-2.4077,-21.4064
-0.6253,-10.3339,-8.2726,-60.3320,-9.4891,-28.8677
-1.1575,-10.0079,-7.6339,-66.3256,-18.1231,-23.6176
-0.1647,-9.8437,-8.2298,-79.3316,-22.5700,-18.0303
-0.2798,-10.2047,-7.0636,-92.2196,-21.9791,-22.3402
-1.3081,-9.9623,-6.8128,-88.8337,-14.4102,-19.1237
-2.7489,-9.3183,-7.0040,-89.0881,-7.2260,-10.5945
-4.4286,-8.6962,-6.7084,-90.8331,3.2191,2.9990
-6.3706,-8.8953,-5.7264,-84.4044,17.7434,30.1560
-6.2731,-8.5711,-6.4335,-76.5359,33.4694,55.5445
-6.1017,-8.1309,-5.5334,-83.6892,72.1804,68.1331
-6.8980,-7.2526,-2.8355,-71.9101,89.6061,98.0513
-4.2728,-7.9348,-0.8486,-57.2764,86.7192,115.0131
-0.2747,-8.8372,-0.2165,-26.3337,84.4325,115.2712
3.4311,-9.3519,-2.7745,-17.0567,73.9551,81.2763
3.9345,-9.5711,-2.3112,-18.9290,72.5680,55.1901
2.8035,-9.2549,-1.3632,-10.9072,60.3833,32.5457
2.3161,-8.6853,-2.0263,1.1778,34.5455,17.0028
2.0703,-8.0841,-3.4283,3.2888,13.9387,5.8872
1.6584,-7.5510,-4.0207,-7.4198,-2.4371,-2.2867
0.9297,-7.0651,-3.0692,-3.2510,-18.5626,-8.4051
0.9568,-7.0389,-3.1344,7.5538,-29.6993,-7.8470
1.4487,-7.3138,-3.4975,12.1901,-40.2840,-13.9893
1.9845,-7.9562,-4.2182,14.6248,-48.0360,-23.8091
2.4801,-8.5835,-4.3408,14.3292,-52.3848,-34.3335
2.8616,-8.9398,-3.5136,15.7710,-63.0084,-43.3259
3.2238,-9.4590,-3.2449,22.5826,-80.6384,-55.0384
3.0164,-8.9423,-3.7749,22.0053,-94.7340,-73.2702
0.2886,-7.8636,-4.3027,15.9592,-104.4729,-79.7237
-2.6409,-7.3480,-4.4522,16.7146,-98.1903,-77.9080
-5.3452,-6.6155,-6.0878,24.2225,-80.1379,-68.4610
-6.6258,-6.6439,-7.7270,26.8726,-52.9349,-64.7864
-7.5186,-6.7820,-9.4223,17.1793,-28.6660,-53.9675
-7.7989,-6.6612,-9.4110,7.0003,-16.1436,-29.5583
-5.8674,-6.8206,-7.7151,4.2989,-8.2108,-0.7532
-3.6034,-7.2759,-6.9741,7.9446,0.5091,2.6156
-2.9591,-7.9296,-6.3939,8.2572,6.4654,-2.8719
-3.6766,-8.2214,-6.3302,5.6420,6.6436,5.3973
-3.9967,-8.1445,-5.9476,0.3445,0.1395,20.2361
-3.0752,-8.0188,-5.3084,-1.4261,-3.7550,28.4584
-2.5097,-7.9025,-4.6477,0.2296,2.4085,22.8788
-3.4517,-7.7697,-3.6904,9.5288,8.4855,17.2449
-4.7342,-7.7256,-3.5343,17.7386,0.8723,22.4212
-6.1781,-7.7368,-3.8900,18.8135,9.1388,45.0911
-5.6605,-7.8883,-2.8126,17.1759,15.9262,61.0234
-4.8898,-8.1473,-2.0411,23.2680,25.2440,69.9337
-4.5486,-8.2821,-1.7917,35.3439,37.2967,74.8277
-3.9950,-8.2435,-2.4042,45.1643,44.3683,79.9782
-3.3771,-8.3751,-3.1608,51.5584,55.4430,77.6020
-3.1658,-8.5082,-3.9056,57.4744,59.6809,77.7946
-1.9406,-8.9530,-4.9685,59.5333,55.3821,75.2580
-0.3323,-9.4441,-6.0887,52.4708,40.1001,64.6390
0.0541,-9.7000,-6.1598,36.5949,35.1997,63.5750
0.7323,-9.7643,-6.0210,36.3474,32.8284,59.6533
