ax,ay,az,gx,gy,gz
-1.4621,-6.6219,-7.1343,1.3568,-3.2249,-1.1464
-1.4529,-6.6205,-7.1147,0.4940,-2.9441,-0.9548
-1.4320,-6.5912,-6.8907,0.5722,-1.1887,-1.0050
-1.3747,-6.5881,-6.8766,1.1090,-2.0496,-0.9829
-1.4355,-6.6244,-6.9631,1.8706,-1.2121,-0.5526
-1.5000,-6.6446,-6.9918,2.0893,-1.6796,-0.3392
-1.4651,-6.6497,-6.9398,1.8813,-0.8120,-0.1700
-1.3706,-6.7008,-6.8039,3.2315,-0.5089,-0.3977
-1.4425,-6.7556,-6.9141,4.2324,0.9604,-0.4040
-1.5719,-6.7832,-6.8225,4.0827,1.5451,0.9000
-1.4246,-6.8202,-6.5843,4.7397,0.8504,2.3883
-1.1873,-6.9357,-6.2504,7.6564,-0.3954,2.6433
-1.0814,-7.0537,-5.9677,12.1887,-1.3125,1.8175
-1.0883,-7.1929,-6.0483,16.2259,-3.5320,1.2782
-1.0593,-7.3318,-6.1322,19.2232,-6.1010,1.1479
-1.0391,-7.5744,-6.2895,20.3736,-7.7553,0.3374
-1.1463,-7.7401,-6.2541,19.8619,-10.7739,-2.3032
-1.3100,-7.6706,-6.4302,18.1410,-10.8369,-3.4382
-1.5163,-7.6976,-6.0565,17.0770,-12.3372,-3.0047
-1.3305,-7.7603,-5.6860,17.7916,-13.4399,-4.7288
-1.1960,-7.8227,-5.5529,19.9304,-12.4878,-7.7751
-1.1655,-7.7351,-5.6931,17.9575,-9.7908,-11.3897
-1.6058,-7.6657,-5.3310,17.1304,-8.8442,-12.0692
-1.5418,-7.5805,-5.1495,18.2343,-10.8699,-11.8338
-1.5913,-7.5091,-5.0081,22.8462,-14.5420,-12.0773
-1.7233,-7.4173,-5.1305,27.1679,-15.2023,-13.0593
-1.7845,-7.4730,-5.2195,30.2362,-13.3155,-13.5343
-1.7023,-7.5787,-5.4048,28.5910,-7.2119,-12.0374
-1.7762,-7.7043,-5.4007,29.2008,-1.8752,-12.2847
-1.6067,-7.6679,-5.4798,26.8303,8.0456,-10.9501
-1.1186,-7.7110,-5.0214,26.6036,16.5870,-11.0092
-1.2154,-7.7108,-4.5566,30.0117,15.0121,-10.0211
-1.2251,-7.7627,-4.8500,32.0421,11.3508,-9.9652
-1.1397,-7.8812,-5.1051,33.0185,11.3271,-9.1842
-0.9184,-7.9544,-5.4457,28.6443,10.5168,-12.1611
-1.1444,-8.0584,-5.0049,27.6204,9.0986,-14.1463
-0.8886,-8.1574,-5.1033,30.1212,4.8253,-14.9362
-0.7810,-8.3351,-5.1943,30.1047,4.5580,-16.7257
-0.8333,-8.3741,-5.2132,27.4850,3.8195,-17.4798
-1.0011,-8.4012,-4.9441,26.1476,2.3455,-14.4502
-0.8200,-8.4724,-4.5201,26.3741,-3.4674,-13.2026
-0.7134,-8.5037,-4.3571,29.5832,-5.8645,-9.8402
-0.2935,-8.6544,-4.1021,32.0823,-3.1093,-9.9775
-0.0140,-8.7663,-4.1995,33.7089,-0.2428,-13.1932
-0.3264,-8.8136,-4.4370,37.3065,4.0588,-13.2082
-0.3326,-8.7662,-4.7938,36.7148,9.5215,-13.2142
-0.5108,-8.7416,-4.7600,34.3720,18.1016,-15.8298
-0.9390,-8.6252,-5.1413,33.2291,22.8642,-18.1349
-1.3226,-8.6278,-5.6906,30.7091,20.8394,-18.1670
-1.2822,-8.5857,-6.1368,20.0545,23.9957,-17.1682
-1.4419,-8.6525,-5.7842,10.9682,26.4738,-11.6288
-1.3556,-8.6992,-5.5891,7.1000,25.9425,-3.3975
-1.0648,-8.7178,-5.6066,4.4229,25.9418,-1.8927
-0.7992,-8.7771,-5.5386,0.2388,25.2251,-0.7038
-0.8233,-8.9707,-5.4597,-6.3152,21.1466,2.2138
-0.4899,-9.0679,-4.9154,-7.7428,12.0636,3.5011
-0.0201,-9.1469,-4.6528,-8.0158,5.0778,2.5803
0.0169,-9.1726,-4.3552,-7.3658,2.4668,1.7081
-0.1124,-9.0733,-4.2829,-8.0765,2.9031,0.9396
-0.2186,-8.9992,-4.1043,-7.5164,5.2262,0.9289
-0.3271,-8.9957,-3.9410,-6.8720,4.3804,0.7560
-0.3674,-8.9481,-4.0259,-7.3743,3.4959,1.4459
-0.3345,-8.9235,-3.9530,-8.5014,4.2820,1.6361
-0.5980,-8.8330,-3.7569,-7.5590,4.5104,1.4168
-0.6481,-8.7941,-3.8489,-6.7204,3.8848,0.8658
-1.0196,-8.8132,-3.9086,-5.8809,3.8888,1.9111
-1.1097,-8.8583,-3.9438,-6.3056,5.5763,5.1087
-1.0995,-8.8675,-4.0299,-6.0109,9.5774,8.2777
-1.1300,-8.9000,-4.0267,-5.0929,11.9702,11.5617
-1.1940,-8.8294,-4.0888,-4.8962,13.9338,13.7113
-1.3405,-8.7235,-4.0270,-5.7030,15.9374,17.2641
-1.2173,-8.7217,-3.9304,-4.8018,19.0949,20.1950
-1.1999,-8.6835,-3.8690,-3.0101,23.1751,22.2041
-1.2507,-8.6482,-3.8387,-2.8030,25.0515,24.0151
-1.1700,-8.6456,-3.8008,-2.2149,25.5030,25.7472
-1.2849,-8.7484,-3.9787,-2.4866,25.7248,28.3330
-1.2758,-8.8267,-3.8911,-3.3534,25.3073,31.9329
-0.8400,-8.8550,-3.7034,-1.8438,29.3138,30.4571
-0.7934,-8.7654,-3.6230,0.4428,31.0766,28.7740
-0.9477,-8.6894,-3.6573,1.3947,28.8276,28.8208
-0.8391,-8.8983,-3.6738,3.3751,23.9287,30.6518
-0.7440,-8.9901,-3.8965,2.8987,24.4662,30.4953
-0.9166,-8.9402,-3.6538,3.6785,26.9982,30.3487
-1.2042,-8.7215,-3.4678,6.2226,27.3734,30.0375
-1.4224,-8.5451,-3.6705,7.9092,27.5649,29.8715
-1.6850,-8.5009,-3.5523,9.2125,28.6526,31.9128
