ax,ay,az,gx,gy,gz
-2.9035,-7.1565,-6.0391,2.3628,-4.2631,2.4149
-3.3721,-7.4095,-6.3331,6.8371,-5.4646,-4.8063
-4.0110,-7.8502,-6.5395,10.8091,-9.9467,-1.8631
-3.7004,-8.1495,-6.3478,9.8184,-17.0407,6.5995
-3.1215,-8.1792,-5.9488,6.6425,-22.3922,12.4534
-1.7185,-7.6119,-4.1937,7.8234,-30.7173,13.3917
-1.0363,-7.2075,-2.3572,13.1403,-29.0141,13.2593
-0.0877,-6.9285,-0.5603,27.6895,-38.9577,5.5779
1.0793,-6.9932,-0.0211,35.7122,-41.8183,-14.5905
1.4110,-7.5549,0.6372,49.3992,-29.5113,-31.5928
1.9436,-8.1991,0.5764,61.5887,-32.8333,-48.5576
2.7001,-8.7292,0.7193,76.6386,-28.6338,-71.8717
2.3325,-9.4040,-0.1690,88.5696,-35.5610,-93.5818
1.2902,-9.7417,-1.7125,84.9293,-43.4171,-110.9446
0.2444,-9.9048,-1.9405,72.1853,-51.8536,-110.4771
-1.3935,-10.1081,-1.9995,70.5286,-86.6106,-109.6167
-4.0075,-10.6730,-4.0199,46.6459,-118.9850,-101.0134
-6.1223,-11.4712,-2.5099,22.4758,-106.2404,-94.9350
-8.2864,-11.8810,-3.7677,12.2688,-85.2798,-80.5886
-9.5394,-12.5772,-5.7319,-27.4496,-67.9202,-70.1598
-10.9571,-13.3296,-7.6488,-104.1988,-49.6331,-59.8145
-13.1781,-13.9834,-7.9447,-199.6441,-47.7939,-7.5654
-14.1857,-13.6845,-3.2272,-178.9508,-27.1262,47.7008
-11.6849,-12.8510,-3.9263,-83.5975,29.8623,80.6069
-10.2087,-11.8797,-5.9823,-65.9729,48.8283,104.1946
-9.0997,-11.1964,-6.5756,-77.2103,44.1518,138.7843
-6.3274,-10.5182,-6.1922,-70.7231,65.0509,147.9530
-4.7661,-9.6750,-6.7427,-70.7129,111.3416,152.8655
-2.0357,-8.6796,-6.2615,-73.1113,113.0274,138.8882
-0.3759,-7.7822,-5.0587,-74.2342,122.5914,106.6472
0.6851,-7.3559,-4.3928,-63.8490,94.5751,73.9673
0.9084,-7.1662,-4.6206,-60.3069,60.6679,51.9447
-0.1928,-6.9207,-5.0339,-55.9472,29.4746,46.5541
-0.9681,-6.7250,-5.0947,-59.9446,22.6266,50.6049
-0.1268,-6.6933,-2.3929,-33.8861,-24.1426,41.0054
-0.5701,-6.9688,-1.6436,-10.0305,-22.5205,26.1009
-0.6543,-7.3867,-1.3685,8.9868,-13.5298,19.6649
-0.1576,-8.0919,-0.3945,22.9179,-4.0940,12.0463
0.7835,-8.7153,-0.0128,50.3778,-30.5596,-2.6179
0.5297,-9.1334,-0.0568,70.5341,-47.7072,-20.0432
-0.0034,-9.3026,-0.4230,79.0598,-41.5906,-27.4402
-0.0715,-9.4967,-0.1913,87.8470,-50.1153,-31.3527
0.4892,-9.5480,0.4369,109.3405,-82.5892,-38.2622
0.8910,-9.4301,-0.6646,132.7707,-127.9219,-45.6899
-0.5830,-9.9307,-2.1632,134.5066,-152.8293,-73.0489
-1.7947,-10.1818,-3.0419,123.0166,-169.4412,-83.0496
-2.9511,-9.6564,-1.9047,51.1347,-177.1045,-99.3780
-6.3907,-9.7960,-2.6768,30.7948,-159.7962,-107.1815
-9.3700,-10.2059,-3.4393,-0.6903,-125.7241,-93.1322
-11.2470,-10.2999,-4.0827,-24.0919,-72.0424,-67.1005
-11.6740,-10.4526,-3.7106,-41.6220,-10.2634,-19.5683
-11.9448,-10.5536,-2.4272,-43.0756,30.2496,8.8274
-11.6750,-10.6169,-1.7379,-30.7567,38.1504,37.7435
-11.4467,-10.6334,-1.7402,-22.5255,39.2288,65.7287
-11.0619,-10.5276,-1.2628,-8.5449,56.5592,92.6269
-9.7965,-10.1340,-2.1621,-1.1698,69.3976,111.0425
-8.0742,-9.7065,-1.0014,-4.1782,81.4602,113.9442
-6.9423,-9.1128,0.2299,26.0671,90.6010,109.7882
-6.2556,-8.6231,0.1031,49.9028,132.0025,106.8280
-4.6079,-8.5377,-0.6130,74.6863,165.7563,105.0601
-2.9265,-8.8264,-1.2177,79.7426,177.4584,98.9617
-0.9868,-9.1661,-0.1271,80.9114,155.3085,82.3736
0.5054,-9.2321,0.1887,88.4152,120.1950,55.5002
0.8283,-9.4427,-1.4203,71.3806,79.4599,27.2741
0.6686,-9.5698,-2.1325,43.6974,55.3281,16.7177
0.6829,-9.6232,-1.3930,11.2715,36.9175,15.3835
0.6453,-9.4745,-0.9662,-12.7574,13.1545,15.7799
0.4085,-9.2539,-0.3987,-26.8281,-15.0564,15.4318
0.2019,-8.8809,0.0316,-34.3654,-37.9561,10.5306
0.5058,-8.4097,1.2143,-28.1340,-57.8996,-0.3127
0.7276,-8.1618,1.8952,-8.5004,-65.1605,-18.6624
1.2048,-8.2216,2.1488,3.3156,-72.0957,-33.8873
0.9682,-8.7410,1.8521,5.4460,-85.2235,-68.5214
-0.0624,-9.1206,1.3566,-2.2202,-94.1980,-87.4860
-1.0257,-9.6548,1.9172,-6.9986,-95.9144,-87.6138
-1.2361,-9.7579,1.7340,5.4726,-95.1221,-92.9752
-4.5989,-9.2687,-0.9409,3.1010,-61.7630,-106.2777
