ax,ay,az,gx,gy,gz
-2.0952,-4.6876,-8.6745,2.1198,-5.7389,-3.5767
-2.2350,-4.7271,-8.7043,1.7670,-5.5882,-1.5003
-2.3771,-4.7111,-8.9842,-3.1783,-5.0225,0.1267
-2.3386,-4.6644,-8.8304,-4.9773,-2.4371,1.4484
-2.3405,-4.6401,-8.6021,-5.5246,-1.3662,1.1735
-2.3269,-4.6131,-8.7764,-8.2712,-2.0360,1.4013
-2.1082,-4.5419,-8.8054,-10.2491,0.0156,0.2696
-2.0040,-4.4242,-8.7679,-11.2890,-0.0110,-1.5294
-1.9509,-4.2679,-9.5137,-16.7605,-4.0256,-1.5708
-1.9644,-4.1020,-9.7327,-24.2482,-6.8875,-1.7559
-1.6528,-3.9985,-9.4539,-29.0820,-11.2715,-3.0940
-1.6210,-3.9861,-9.3689,-35.3465,-17.1885,-6.3238
-1.8188,-3.9409,-8.0816,-34.3408,-26.4129,-10.3064
-2.0098,-3.8220,-6.8116,-27.5342,-31.4741,-14.2935
-2.7370,-3.8669,-5.1133,-15.6798,-30.2003,-14.2783
-3.2252,-3.8300,-3.5011,4.5895,-25.8159,-12.5863
-4.0880,-4.2879,-1.0616,37.9431,-19.2244,-8.7520
-4.1344,-5.1415,-0.0275,82.8250,-15.6323,0.4024
-3.6948,-6.1180,-0.7658,112.1472,-13.5709,5.4779
-3.3095,-7.1289,-2.4801,117.7026,2.9284,6.3593
-2.6173,-7.8481,-3.1392,121.6833,24.2871,7.9745
-1.9472,-8.0363,-4.0757,127.5662,41.5101,8.2799
-1.6546,-7.9296,-5.4021,128.8533,51.6505,6.6313
-0.7544,-7.7316,-8.5606,119.7135,61.0380,0.7489
-1.1800,-7.7133,-9.4197,101.0723,59.5046,-0.1585
-0.7039,-7.8299,-9.6636,94.6667,52.4459,2.9365
-0.9669,-8.1356,-11.0976,76.1861,45.0854,14.0306
1.2193,-7.9000,-11.5558,78.7798,34.1486,-29.0559
-0.3284,-8.0195,-12.2741,73.9111,46.2347,-39.5822
-3.2062,-8.4617,-13.2169,63.8394,14.5014,-24.6775
-2.3140,-9.2083,-16.0067,35.9341,-12.2445,-16.1761
-1.0283,-9.9692,-18.9465,-12.4699,-13.3187,-15.8703
0.2065,-10.1596,-21.1218,-92.0850,-19.3518,-38.2134
-2.6073,-10.3016,-18.0167,-156.2589,-31.1091,-35.8079
-2.9776,-9.3727,-14.3319,-178.9690,-42.0251,-17.3172
-2.1424,-8.3634,-12.0013,-192.7677,-53.4071,-12.4889
-2.3259,-7.7601,-8.4144,-194.5491,-60.8441,-5.3414
-2.7648,-6.9207,-6.0190,-178.9466,-68.6502,4.1197
-1.7235,-5.6675,-2.9423,-150.4845,-65.9819,6.5354
-2.2485,-4.7280,0.1376,-103.2076,-46.0379,1.4273
-2.8234,-4.1957,0.6773,-53.3759,-33.2555,-0.0993
-3.6313,-4.3153,0.9986,-25.4561,-23.1539,8.1021
-3.5753,-4.5300,1.7229,7.8226,-15.6785,12.7984
-3.3974,-5.1571,1.6625,37.6700,-5.3282,19.4719
-3.8222,-5.7755,0.9325,68.7654,4.8171,25.4990
-3.3429,-6.2348,-0.0380,93.1079,11.9728,31.4797
-2.5356,-6.7547,-1.6114,105.9123,15.3257,32.1734
-2.1221,-7.3275,-2.5832,110.9228,18.4722,28.2346
-2.0844,-7.8723,-2.6615,118.6907,18.3332,28.5219
-1.3346,-8.5444,-2.1567,140.6636,9.0475,25.3066
-0.8173,-9.0942,-3.1690,164.1160,7.8396,12.1837
-0.6201,-9.4023,-5.0557,174.6697,6.6425,-2.1417
-1.3052,-9.6718,-5.6825,179.4168,9.1165,-9.9490
-1.9755,-9.7935,-6.4996,180.8420,4.3266,-12.2125
-2.4439,-9.9543,-7.9629,185.1602,-6.3038,-10.4577
-2.6763,-10.0384,-9.9714,170.3143,-20.3118,-3.5638
-3.5699,-10.1410,-11.0732,143.2069,-19.7319,12.4979
-2.9198,-10.1214,-12.2867,117.4587,-20.3441,22.3448
-2.5631,-10.1049,-11.9367,88.9638,-22.3578,21.7529
-2.0985,-9.8966,-11.9502,66.4147,-4.4454,15.8696
-2.1845,-9.5544,-12.1285,45.9784,17.1384,7.6280
-2.0602,-9.2800,-12.0697,19.8921,40.0145,1.8621
-2.0684,-9.2514,-11.2194,-6.9671,57.7569,-6.0800
-2.3080,-9.2920,-10.8263,-21.6581,57.3562,-10.0830
-2.5646,-9.2505,-10.7333,-38.5041,40.0004,-7.1659
-2.0328,-9.2599,-10.5090,-58.2306,24.3280,-7.9861
-2.3399,-9.4163,-9.7656,-77.7123,9.2411,-8.3547
-2.2085,-9.5939,-8.9137,-90.5637,-5.9500,-10.3558
-2.5251,-9.7279,-8.4192,-101.5357,-7.4003,-14.4396
-3.1178,-9.6371,-7.6374,-113.2351,2.0961,-12.0604
-3.6793,-9.4512,-6.4533,-118.3116,5.4530,-4.6651
-3.6894,-9.2792,-5.5125,-117.8447,2.8690,2.6607
-3.0913,-8.8910,-4.8557,-115.5516,8.2473,4.0583
-2.9109,-8.4512,-4.2400,-113.8805,10.5559,2.3384
-3.3088,-8.0198,-3.0787,-104.9546,17.6280,3.2978
-3.3057,-7.3986,-2.3631,-91.7934,23.5187,4.6911
-2.9760,-6.6385,-2.0264,-77.2842,21.7742,4.7397
-2.6547,-5.9788,-1.8695,-62.3229,19.4785,3.1574
-2.3107,-5.4339,-2.0980,-48.9941,14.7717,1.0948
-2.3698,-5.1393,-2.2063,-34.4182,8.3891,-1.8754
-2.3731,-5.1316,-2.6470,-17.7867,6.9876,-2.0457
-2.4292,-5.2294,-3.5859,-5.3949,4.1961,-0.7647
-2.4371,-5.2914,-4.7058,1.6852,-0.1179,3.1590
-1.9619,-5.4514,-5.3531,5.0502,-5.2483,3.7929
-1.6605,-5.5555,-5.9766,7.7799,-5.8145,1.9799
-1.9180,-5.6545,-6.5763,9.6247,-7.8521,-0.8067
-2.1501,-5.7025,-7.1549,8.9257,-8.4100,-0.7775
-2.1705,-5.7188,-7.5897,6.5402,-7.5782,-0.6394
