ax,ay,az,gx,gy,gz
-0.7247,1.0149,-10.3056,6.9086,12.1234,-12.1733
-1.0501,0.9622,-10.7624,6.1169,19.0525,-6.6910
-0.1508,0.8605,-10.6790,4.6640,25.8557,-2.6130
0.4317,0.7509,-10.6315,1.4727,26.2023,1.7492
1.2197,1.1712,-10.4195,0.6244,28.6584,3.4427
2.0403,1.6612,-10.4389,0.1183,29.3406,0.2811
3.7989,1.5420,-10.5157,-0.2517,22.5733,-1.1876
5.3775,1.2065,-9.9354,-11.2731,14.4015,-33.8466
4.4006,0.7848,-9.9754,-2.4239,13.2574,-61.1293
2.6893,0.3837,-9.9942,-3.4549,13.8981,-68.0650
2.2418,0.2240,-8.9787,-2.4742,14.1951,-54.2183
2.3174,0.3392,-8.3960,4.9547,10.0564,-48.2031
2.4511,0.6184,-8.6512,8.9221,3.7312,-59.2971
2.0635,0.4356,-7.6404,7.3396,-6.7936,-71.7193
0.8460,-0.0262,-7.1576,12.9478,-7.9045,-82.3941
0.6266,-0.4289,-7.2190,18.3825,-8.8944,-82.8482
0.5653,-0.5862,-6.8689,21.7671,-2.7132,-85.4734
-0.1852,-0.3780,-5.8795,21.6387,7.3328,-80.9544
0.6284,-0.1424,-4.5782,48.3093,3.6591,-83.8769
-0.3359,-0.5673,-5.8585,60.5229,-2.9869,-100.0023
-1.0682,-1.0476,-7.5579,57.8380,-1.4585,-103.0044
-2.6967,-1.1638,-5.6004,69.0769,2.5214,-81.2283
-2.4686,-1.2244,-6.3286,75.5718,1.3232,-70.5829
-2.8764,-1.6462,-8.9581,72.7190,1.1415,-56.6110
-2.9810,-1.8457,-8.1775,54.4719,14.3458,-39.5455
-3.3050,-2.3775,-9.7341,59.7716,12.5187,-26.3909
-3.3446,-2.7879,-10.0883,59.6886,66.0361,-5.6044
-2.7869,-2.7581,-13.5776,50.8046,92.2613,8.8621
-2.4670,-2.6137,-9.9003,0.7806,45.3327,36.4086
-2.6164,-2.5736,-12.1513,10.2116,46.3856,67.3471
-1.7538,-3.0849,-13.8855,-29.6590,40.2295,77.9712
0.1426,-2.7582,-11.1840,-43.7106,44.8187,86.8347
0.6695,-2.0720,-10.1898,-27.2582,47.1084,78.1384
1.3978,-1.8423,-10.0017,-5.2438,53.9201,70.1263
1.1776,-1.2639,-10.0191,5.1593,55.0709,55.8957
1.1101,-1.4054,-12.2044,2.6391,65.6022,46.9038
1.1380,-1.1880,-11.0511,2.1000,62.7959,49.6904
0.8812,-1.4848,-10.3069,4.4144,56.2422,56.4048
1.2054,-1.5510,-10.0281,6.8526,60.3361,65.6093
2.0318,-1.5658,-10.5050,6.1790,66.5591,70.4939
2.5911,-1.6552,-11.1270,-0.1162,63.3031,68.4756
3.0672,-1.8205,-10.5475,-5.8664,57.8770,67.8832
3.6283,-1.9410,-10.8327,-9.5030,61.3237,67.4790
3.6643,-1.8996,-12.4186,-21.1077,60.7142,62.6397
3.8515,-1.6930,-12.4532,-34.5760,51.8314,66.3620
4.3698,-1.6280,-11.2826,-40.6936,50.7416,65.4828
5.6277,-1.6800,-11.1684,-42.0740,56.8830,56.5348
5.8660,-1.7670,-9.9416,-41.4853,61.4762,45.8937
6.9722,-1.5768,-9.5658,-39.9023,57.9509,30.8277
7.1300,-1.5069,-9.9782,-36.8278,46.9807,14.3383
7.5270,-1.8076,-10.1365,-43.7813,33.4276,10.7699
7.7945,-1.5872,-9.0872,-34.1986,31.7440,11.2046
7.1316,-1.3900,-8.6495,-26.0867,24.4990,9.5230
8.0982,-1.3433,-9.2909,-19.9509,13.4818,11.3828
7.5982,-1.1835,-9.1196,-26.1920,-2.2396,-1.2381
6.7134,-1.1804,-8.3685,-27.0315,-22.0244,-6.5970
6.3124,-1.1475,-7.1937,-10.5063,-42.9624,-1.4376
6.9510,-1.1978,-9.1265,-6.2915,-54.4966,-10.7225
5.6578,-1.0103,-5.8817,-1.2426,-102.8354,-14.6698
6.3621,-1.3420,-8.7198,5.5290,-109.2980,-28.3368
4.3688,-1.4509,-8.3161,1.5218,-79.4155,-35.4606
3.6247,-1.4136,-7.9018,-6.0997,-47.2104,-29.8234
3.4266,-1.2431,-8.3710,-7.8257,-32.4997,-28.0019
3.4861,-1.1090,-8.4020,-14.3288,-25.8457,-32.5878
2.9334,-1.0125,-8.0340,-16.1577,-29.3939,-40.9875
2.2986,-0.7608,-8.1585,-18.1919,-32.8709,-43.7817
0.9770,-0.6808,-8.3204,-18.9170,-33.7486,-45.8629
0.9468,-0.3955,-8.1370,-21.1443,-34.8986,-44.4572
0.4708,-0.2329,-8.3233,-18.7009,-41.2148,-35.9319
1.2438,-0.4103,-8.2015,-14.8205,-46.5096,-37.2182
1.1768,-0.3310,-7.8966,-15.9318,-43.3479,-42.3663
0.4730,-0.2880,-7.4122,-8.2395,-36.7793,-41.7171
0.3976,-0.0951,-7.6921,-3.2400,-25.4832,-40.7845
0.1341,0.0970,-6.7920,-0.0284,-16.6053,-42.0150
0.0120,0.2108,-6.5434,10.0161,-0.2599,-43.0104
0.6003,0.3454,-6.0324,21.0093,7.5503,-49.9816
0.5952,-0.3214,-7.1113,40.6409,0.8795,-59.5832
-0.2166,-1.0074,-9.9813,33.8689,-8.2654,-63.9094
-1.5999,-1.2976,-11.4805,24.1357,-12.5785,-57.0325
-1.5827,-1.2661,-12.3363,10.0210,-14.1260,-43.5908
-1.1869,-0.9540,-12.1611,-1.4114,-7.9980,-33.8169
-1.1187,-0.5963,-11.3566,-3.5578,1.3103,-31.2768
-1.1578,-0.3417,-10.9731,-0.8293,4.0024,-27.4000
