ax,ay,az,gx,gy,gz
-0.7734,0.0295,-9.9546,1.8603,2.0940,-5.2904
-1.0723,0.0399,-9.8850,-0.1486,2.7547,-4.0788
-1.0011,0.1190,-9.8228,-0.7372,4.3242,-3.8075
-1.1773,0.1101,-9.6597,1.2624,7.0140,-3.0673
-1.0717,0.1181,-10.1510,2.1002,6.3140,-2.2670
-1.1017,0.1616,-10.5424,-2.9614,5.6983,-1.1478
-0.8802,0.1414,-10.5828,-4.9753,4.1046,0.3512
-0.8209,0.2400,-10.7027,-7.7155,0.3936,-2.0448
-1.0278,0.2130,-10.5602,-8.2578,-3.6961,0.6265
-0.4877,0.2714,-10.5870,-9.3587,-2.6680,1.9002
-0.6475,0.3062,-10.3557,-11.2298,-2.9333,1.3532
-0.7830,0.3344,-9.7104,-11.6371,-5.7363,2.7372
-0.8744,0.4234,-8.7851,-8.0058,-1.4145,7.3762
-1.1990,0.7787,-7.7456,-9.5956,3.5083,9.8543
-2.2444,0.5858,-3.5889,3.0905,18.5750,22.0516
-2.0149,-0.2834,-1.9782,36.3351,18.1213,31.6253
-0.2005,-1.8077,-3.1469,57.5287,14.9482,34.5073
2.5184,-3.2067,-3.3526,63.0531,17.0997,25.4964
2.9086,-3.9650,-2.0283,70.4354,16.8599,7.9180
1.9372,-3.9872,-1.6080,91.3699,10.0629,-8.2645
0.7583,-3.9298,-2.1409,105.6423,2.8487,-12.8488
-1.1170,-3.9156,-3.7909,114.7351,5.5839,-8.8143
-1.8804,-3.6679,-4.9775,126.8247,8.9061,5.3932
-0.5475,-3.6788,-8.2131,131.8458,15.7071,16.2725
-0.2649,-3.5247,-10.3332,130.0925,25.6205,20.6434
-0.5847,-4.3336,-10.4794,130.7857,29.9863,21.0760
0.8671,-5.8541,-15.5918,144.6753,13.5156,-0.5424
-0.5176,-7.0095,-20.2481,110.4142,4.4754,-5.9408
-1.3768,-7.5700,-20.5361,85.0650,8.4650,-2.3145
-1.0156,-7.8449,-20.8438,59.4685,15.0680,1.3200
-0.1746,-8.1359,-19.7617,14.4698,25.1976,14.7783
0.6903,-8.1882,-18.5618,-9.4618,36.7303,22.9992
1.6568,-8.2206,-17.9202,-25.3482,37.3993,24.2472
3.0787,-7.9540,-17.8233,-49.9613,31.3012,2.0681
3.6300,-7.3205,-17.6061,-70.9660,11.6785,-28.0835
2.6075,-6.7055,-16.7677,-101.6197,-5.8653,-39.6168
2.3072,-5.7778,-14.8406,-130.0012,-26.8810,-47.7462
3.0666,-4.8699,-12.8924,-150.3556,-51.5541,-61.4756
2.2738,-4.0620,-10.0195,-161.4890,-55.7656,-65.4631
0.7424,-3.1815,-6.2024,-156.2249,-62.7519,-60.8961
1.8014,-1.2348,-4.3782,-136.7232,-67.6812,-63.0409
1.7099,-0.0511,-1.2175,-105.6139,-43.2580,-77.5923
0.0541,0.2441,0.2332,-56.6936,-25.7850,-87.1755
-2.7399,-0.3502,-2.9528,-25.5118,-39.3167,-71.6848
-5.1426,-1.6441,-6.6439,-30.5120,-55.5327,-39.7267
-5.8507,-2.8390,-7.5419,-34.4403,-41.8803,-9.0560
-7.6655,-3.4988,-9.3343,-36.8884,-18.3246,22.5777
-9.4335,-3.7499,-8.9957,-50.7176,2.4699,79.1667
-9.2725,-3.6682,-7.5614,-52.6375,24.0204,132.8722
-7.4997,-3.6069,-5.8583,-49.4395,52.1939,168.0654
-7.1373,-3.2886,-3.7802,-39.5689,84.1405,195.1342
-6.1401,-2.9516,-1.8238,-13.3874,98.4111,237.6419
-1.5710,-3.2555,-0.8437,8.5362,112.7717,250.6776
4.6557,-3.5493,0.8487,39.4292,147.6940,219.9543
7.0526,-3.6172,2.0264,87.3782,151.0522,174.6438
10.6140,-3.8546,-0.6632,122.5570,85.0361,126.9432
12.5785,-4.3582,-3.2720,124.6685,45.5768,79.5140
13.4380,-4.6940,-5.0506,123.8227,19.1288,28.6522
14.6675,-5.0639,-7.9425,116.1525,-22.6683,-24.7554
16.3784,-5.8998,-12.5538,84.0185,-45.1995,-111.7564
11.6333,-5.7540,-13.5472,30.6444,-74.9433,-158.2165
8.6907,-5.2436,-14.4236,-1.7195,-146.5859,-229.0079
1.8750,-4.6544,-16.1699,-8.9910,-158.9910,-266.8268
-7.5825,-3.4806,-16.6111,-6.5315,-110.9049,-183.2062
-8.6571,-2.5526,-16.7780,-23.6343,-66.2725,-91.4334
-6.8918,-2.1718,-12.4646,-17.5842,-13.6997,-33.5070
-5.2529,-1.6399,-12.3245,-8.2226,13.8356,-7.6771
-2.9872,-1.7193,-10.1653,-7.7009,15.6876,1.2094
-0.3021,-1.9785,-10.2052,-10.8230,14.2328,-4.4430
0.1382,-2.4361,-9.0194,-13.5826,19.9339,-4.6689
-0.0181,-2.3214,-8.3402,-14.1748,19.8000,4.0501
1.1329,-2.0654,-7.4014,-12.8089,0.5272,14.3473
1.5361,-1.6523,-6.8694,-13.4455,-9.1221,13.7238
1.2326,-1.1623,-5.7299,-11.8022,-15.6168,18.1120
0.4405,-0.6792,-4.7694,-6.1748,-12.2581,22.0918
-0.9985,0.0547,-2.5603,4.9153,-4.3888,36.5726
-0.9458,0.0903,-1.5718,25.4284,-6.6105,43.9781
0.1529,-0.6188,-1.8038,44.9280,-10.5291,47.1776
-0.2773,-2.0075,-0.2998,70.5996,-14.3221,50.0100
0.1970,-3.2833,-0.6667,116.3025,-26.5790,45.1099
2.1694,-4.4651,-4.7430,145.3191,-30.9922,33.7191
1.2858,-5.5664,-7.0795,141.3119,-17.1957,20.2093
-0.6161,-6.5694,-9.1877,129.8127,-10.9896,41.8086
1.3243,-7.0031,-14.0203,114.8268,-21.4598,24.4817
1.4884,-6.9998,-17.0496,77.6325,-40.6725,1.9507
-0.2819,-6.8372,-17.6902,41.5065,-46.7575,1.6684
0.2442,-6.1904,-14.8763,44.8767,-49.0101,-23.9013
-1.1544,-6.0627,-16.8197,34.1634,-18.9276,-2.4221
