ax,ay,az,gx,gy,gz
-1.1305,-8.4187,-4.4052,7.7847,-2.4449,-0.1209
-1.2547,-8.4391,-4.5910,10.8068,3.3091,-0.7154
-1.2264,-8.4587,-4.8406,9.6489,2.5217,0.3547
-1.2670,-8.5357,-4.8650,7.7131,1.9977,2.3399
-1.1448,-8.4827,-4.9180,8.7130,2.0842,4.3100
-1.1221,-8.3983,-5.2445,6.5820,-3.0234,6.7376
-0.9488,-8.5030,-5.7951,3.9639,-9.8605,10.6539
-0.3526,-8.7492,-8.1119,-10.5651,-24.5931,12.2964
-0.1067,-9.0403,-7.7198,-40.7497,-29.4013,12.7392
0.5790,-8.8622,-6.5178,-51.3689,-28.4483,9.8386
1.8805,-8.3591,-6.7656,-59.2188,-33.0848,-4.6764
2.5280,-8.0407,-6.5703,-72.2048,-33.2436,-25.0771
2.7366,-7.8738,-5.7838,-79.5213,-44.2231,-44.5320
2.4163,-7.7410,-4.9608,-78.7656,-64.7765,-56.9513
2.4588,-7.3655,-3.9706,-70.2882,-77.4221,-58.0995
3.0462,-7.0893,-3.1473,-63.2062,-87.1321,-62.1810
3.8044,-7.1725,-2.5834,-36.2797,-100.5631,-84.2046
3.2359,-7.5340,-2.7452,-25.7346,-98.0677,-108.3093
2.2230,-7.9603,-2.2678,-19.0521,-97.0747,-123.3795
0.7740,-8.4353,-1.3085,-11.4619,-89.8939,-127.6056
-0.4797,-8.9038,-0.1575,13.9808,-87.5425,-121.6161
-0.4627,-9.1594,-0.5956,38.3501,-82.7714,-121.6776
-0.5193,-9.4398,-1.7986,43.5365,-71.1369,-121.1120
-0.5880,-10.2746,-0.0557,50.8686,-51.7138,-130.2859
-2.3298,-11.0562,-0.3477,73.2583,-28.5173,-126.8974
-2.9220,-11.5373,-1.3744,81.4925,-23.3760,-111.6825
-3.1605,-12.0399,-1.5092,81.4391,-18.5065,-98.4214
-4.4080,-12.6058,-1.5397,86.5599,-2.5337,-77.8453
-3.7777,-12.4938,-2.0734,90.4097,26.7080,-47.1935
-2.3887,-11.9133,-1.7700,91.6887,52.6731,-28.5067
-0.6806,-11.1982,0.2957,104.1254,80.5800,-20.7765
0.1691,-11.2682,1.8323,146.2061,106.8570,-27.5633
-1.5099,-12.0567,-1.5732,153.9720,92.3608,-9.2319
-2.8003,-12.4626,-3.8070,133.7120,90.4705,19.6416
-2.9536,-12.6731,-3.5115,111.6155,108.5164,36.6514
-3.4727,-13.1661,-2.5295,99.4097,127.5823,54.2935
-2.7947,-13.8492,-3.6170,94.3424,117.2134,74.7583
-2.4269,-14.2190,-6.3117,52.9179,125.1420,92.5528
-1.3355,-14.0981,-6.2485,-5.8387,136.8949,106.2081
-0.0915,-13.7849,-4.6904,-42.9996,142.4985,114.4653
1.1786,-13.2021,-4.1598,-63.8969,129.0912,117.3293
2.4072,-12.5467,-5.0667,-90.2088,115.0741,108.6483
2.5359,-11.9286,-5.4621,-114.2917,116.7042,100.4316
2.9357,-11.5386,-4.6888,-135.0854,107.2795,89.4492
3.8613,-11.1673,-3.5829,-134.2550,93.8776,73.7416
3.6273,-10.9504,-4.2032,-134.6411,73.6670,57.2499
4.5860,-10.4146,-5.1704,-145.5424,41.6011,42.3427
5.8636,-10.0429,-4.9991,-165.8118,15.4816,16.6019
6.4036,-9.7682,-3.4902,-174.2982,1.4643,-18.0859
5.9039,-9.1749,-1.8986,-170.3833,-20.5085,-45.6279
5.5033,-8.5786,-0.4182,-157.1927,-31.5272,-77.8712
2.5345,-8.4912,-0.1576,-134.6216,-56.0581,-118.4337
0.1257,-8.7647,0.3754,-117.1270,-65.7765,-127.4500
-3.5644,-8.9369,1.5873,-76.8693,-56.2825,-78.8163
-2.9579,-8.8210,0.5107,-39.6087,-49.5124,-61.9523
-3.8779,-9.1841,-0.2491,-14.5834,-22.7101,-57.4761
-5.5550,-9.7147,-1.0268,-3.4460,-14.4061,-43.1350
-6.2655,-10.1217,-1.8377,11.7331,-13.8837,-5.1015
-3.9376,-9.8082,-2.4484,21.9032,-2.1696,21.7487
-2.4927,-9.0323,-1.4207,38.4677,25.4198,38.4592
-1.9091,-8.1588,-0.1358,66.1324,47.8615,47.2576
-0.8442,-7.6787,1.7412,114.9044,52.5760,53.9617
0.4584,-7.5395,0.4739,150.6214,51.5436,56.8398
2.5759,-7.5245,-4.0500,176.1283,20.1120,50.2720
4.7526,-7.2765,-9.4346,133.1287,-1.9197,24.3509
7.6213,-7.7051,-8.5515,55.0739,-46.8908,-8.9755
10.6933,-9.0772,-8.0186,5.3032,-83.4558,-107.1636
10.5412,-10.8363,-8.4923,-39.6201,-95.9814,-223.6571
4.2393,-13.4841,-7.1421,-84.8906,-97.0455,-293.5269
-7.4140,-15.0592,-4.8184,-93.5885,-47.5236,-224.8086
-8.4949,-13.3173,-4.6401,-66.0706,-46.3224,-100.8213
-4.8016,-11.8865,-4.6383,-54.1100,-44.9593,-36.6523
-1.2631,-11.1789,-4.0238,-50.0675,-39.3592,-35.9875
-2.9817,-11.4852,-3.9061,-49.3020,16.0596,-48.6624
-6.0456,-11.6129,-2.7240,-46.7215,21.2087,-23.7806
-6.9506,-11.6060,-1.2508,-26.9811,8.5479,24.2213
-5.4809,-11.3757,-0.1460,-2.6889,1.0236,58.4517
-4.4120,-11.0160,0.2763,16.8392,25.1309,77.9301
-4.4248,-10.6136,2.0205,43.6179,72.7402,98.9990
-4.0927,-10.6552,4.0342,87.2746,93.6644,133.1345
