ax,ay,az,gx,gy,gz
-0.7678,2.7335,-9.6895,-4.8899,-4.1027,0.6755
-0.7387,2.8159,-9.3502,-4.3518,-3.1670,2.2990
-0.7560,2.8688,-9.2239,-2.4518,-5.8293,3.3664
-0.6562,2.9216,-9.3724,-1.7379,-5.4556,1.7259
-0.6338,2.8734,-9.2846,-1.7068,-2.3565,0.8203
-0.7718,2.9148,-9.0076,0.6237,1.1947,1.5136
-0.8095,2.8707,-8.9262,1.3403,0.9639,1.7895
-0.7265,2.8013,-8.5365,1.8361,2.3894,1.3935
-0.5523,2.7132,-7.8109,1.4855,4.9375,1.8260
-0.6097,2.5456,-6.8220,6.1509,1.9895,5.2856
-0.3099,2.2340,-5.9127,13.8235,3.4718,5.6085
0.0601,1.7411,-4.6433,20.2482,6.6327,2.2808
0.0460,1.1733,-2.7608,31.0655,8.1432,0.5774
0.4697,0.6535,-0.6489,46.1173,-1.4556,1.2905
1.3212,-0.2564,0.6899,84.5601,-8.4359,-9.0891
1.0290,-1.6299,0.3611,132.4363,8.0483,-29.2353
-0.1102,-2.5279,-1.4554,171.8852,19.1592,-33.5843
0.0128,-2.6950,-4.2990,190.9533,15.8248,-32.4908
-1.8141,-3.3292,-5.5197,196.5593,-4.5106,-15.9552
2.0578,-4.7111,-12.6416,306.0983,113.2518,-24.8863
2.0107,-4.7970,-15.2735,192.1759,89.4681,-31.0952
1.1881,-5.4190,-21.3605,139.5982,59.2681,-4.6944
1.2670,-5.9258,-22.2293,64.6446,25.7565,17.7802
2.5721,-5.8595,-20.1372,29.0051,-1.4440,7.0395
2.1808,-5.8244,-18.9360,6.7743,-13.2361,-3.3034
0.9906,-5.4762,-17.8097,-11.1750,-17.2116,-11.6757
1.0156,-5.2397,-16.7420,-28.4744,-16.4331,-12.6044
0.0141,-5.2350,-18.1614,-55.9258,-15.9126,0.0497
0.1689,-5.1783,-16.7667,-78.3969,-21.6905,-2.9656
0.5215,-4.9368,-16.5633,-95.5988,-20.8283,-9.7710
0.3852,-4.8003,-17.0040,-114.9612,-18.0829,-15.4713
0.1292,-4.7057,-17.1678,-135.4782,-23.2705,-17.4022
0.6037,-4.3799,-15.5934,-175.5476,-31.6146,-28.4546
-0.1181,-3.9304,-10.4199,-198.7401,-18.0334,-26.4457
0.6753,-2.4808,-4.3994,-193.4693,1.9536,-27.6273
1.7632,-1.0857,0.4770,-149.3506,4.4270,-36.4428
1.2682,0.2474,1.5356,-89.9857,-3.8615,-48.3799
0.8436,0.9363,-0.0516,-51.0654,-27.0953,-44.9107
0.6372,1.0634,-2.9682,-33.5986,-39.0793,-60.6003
-2.4964,0.7164,-5.8143,-27.1124,-37.1040,-64.9884
-5.9360,0.6907,-8.5172,-32.5819,-23.4629,-35.5028
-9.3505,0.7179,-10.4139,-58.0237,-29.3730,20.4844
-10.8906,0.5847,-11.2262,-102.3287,-49.3003,69.0191
-9.2011,0.5288,-8.7946,-129.7775,-29.4536,131.6585
-7.3676,0.9589,-5.7813,-133.1124,0.3600,163.0306
-8.2171,1.4067,-2.8506,-112.7753,11.9274,191.2764
-4.4778,1.1094,0.4997,-61.4397,-24.9857,223.4204
2.4618,0.3889,1.5734,57.8228,-28.0402,197.1390
4.1655,-0.5461,-0.3334,124.8325,-43.2486,172.0145
7.0131,-1.4483,-4.1983,158.1964,-61.4806,135.5911
9.5581,-1.9658,-7.0271,164.2641,-66.7117,88.4762
12.7203,-2.4109,-7.9883,146.7846,-81.9012,26.6547
11.9355,-3.2132,-7.9732,146.9949,-89.3357,-42.7044
13.3464,-3.7140,-10.6671,152.1363,-87.7418,-110.3420
13.1615,-4.3253,-13.4275,131.9279,-70.1221,-198.5372
10.2150,-5.4042,-14.0591,117.9865,-43.3440,-289.8121
-0.3625,-5.9170,-16.2237,77.0773,-21.9838,-326.5085
-10.1757,-4.9109,-17.1310,50.1788,13.9534,-231.3565
-8.8158,-3.1360,-15.4750,31.9739,16.9146,-122.6461
-6.3210,-2.3982,-15.2944,-16.6588,38.2395,-107.2513
-6.2361,-2.1391,-13.1565,-26.2308,72.2239,-87.8915
-6.1706,-1.6528,-10.6173,-28.9857,73.9023,-66.2797
-5.8246,-1.2721,-9.9125,-13.1805,50.9673,-37.1968
-4.8399,-1.0053,-10.5224,-14.9000,25.4041,-9.8196
-3.6959,-0.8271,-9.5837,-26.5004,31.1225,6.8477
-3.4886,-0.6237,-8.1584,-24.2881,41.6167,17.3570
-3.6568,-0.3929,-7.2513,-15.6527,41.2823,37.3440
-3.3607,-0.3097,-7.2448,-12.7647,27.4934,53.1782
-1.9865,-0.4178,-7.7868,-9.8032,28.0341,63.2296
-2.2667,-1.1696,-5.9393,-3.9043,16.7007,67.4819
-3.7988,-2.1056,-6.0341,8.0947,7.8079,89.4469
-3.3336,-3.1292,-5.6050,47.7252,58.5139,96.5006
-0.6301,-3.4270,-5.0366,28.6795,96.6863,99.7708
1.2179,-3.1018,-5.8104,29.0675,110.3995,109.8809
1.5814,-2.8052,-6.8155,37.6935,109.3650,118.4977
3.5213,-2.3559,-7.9013,43.7389,114.9384,122.7691
6.8317,-2.5171,-8.3073,55.6697,131.7813,117.8936
10.7105,-3.0221,-9.3276,61.8498,133.6359,87.0403
11.4701,-3.5342,-10.8458,52.5917,110.5181,52.6786
10.7062,-3.9628,-11.5796,41.0264,80.1616,30.2398
10.2120,-3.8999,-11.9118,28.2480,66.6501,14.3573
9.3210,-3.6270,-11.6579,17.7687,58.3236,-5.4495
