ax,ay,az,gx,gy,gz
0.9636,-0.1943,-9.7977,2.1834,-1.7615,-3.1733
-0.9866,-0.2134,-9.9206,2.5931,0.1670,-1.5927
-0.9987,-0.1807,-9.9493,0.3115,3.0417,0.7221
-0.8075,-0.1820,-9.7245,-1.2285,2.1624,3.4134
-0.3281,-0.1048,-9.6437,1.7834,4.8051,1.1124
-0.6329,-0.1288,-9.9169,1.1274,3.7913,1.8406
-0.5957,-0.3083,-9.6857,1.6671,2.5028,5.0807
-0.2611,-0.3395,-9.7723,5.9702,5.1513,4.8526
-0.7734,-0.4152,-10.0373,8.6096,9.9984,5.5204
-0.5104,-0.2552,-10.4337,7.0466,12.1798,10.8018
0.1302,-0.2463,-10.3033,5.4554,18.5692,8.6884
0.2929,-0.1937,-10.3004,1.9983,13.4827,6.2880
1.3344,-0.2823,-10.4722,-1.2317,9.0564,1.5818
1.9592,-0.4415,-10.6298,-5.9309,9.5290,-6.8237
2.2712,-0.7468,-10.7012,-12.6055,8.6213,-17.1647
2.8736,-0.9145,-10.5048,-14.7976,6.7849,-38.8549
2.5457,-0.8745,-9.8821,-12.9724,10.3955,-54.5239
1.6804,-0.6195,-9.7957,-20.1699,0.6629,-59.4096
0.8953,-0.5209,-9.7325,-21.5164,-8.6467,-60.0891
0.5569,-0.5508,-9.1397,-21.3357,-10.6649,-60.5703
0.6038,-0.5627,-8.5782,-15.8688,-8.5176,-64.7657
-0.8672,-0.3715,-8.6516,-12.3449,-8.3376,-61.5038
-0.8532,-0.3934,-8.2947,-13.1766,-11.2584,-53.8415
-0.7496,-0.4943,-7.4237,-9.6299,-12.2942,-51.8044
-0.7978,-0.4941,-7.5814,-0.9271,-10.1353,-50.9938
-1.3039,-0.5776,-7.4971,4.1372,-3.6706,-49.9548
-1.5946,-0.5935,-7.6970,6.6580,1.4727,-44.6522
-1.3904,-0.4673,-7.7449,4.7949,-0.3585,-39.2970
-1.3178,-0.4488,-7.2078,11.9353,-7.1143,-35.2275
-1.4762,-0.5682,-7.0431,23.3745,-5.5875,-37.1065
-2.6832,-0.1720,-8.6430,31.4243,-5.4015,-31.0262
-2.5699,-0.2045,-9.2623,28.8108,-12.2398,-22.1583
-3.2106,-0.3817,-8.6875,36.0320,-6.4467,-14.7522
-2.6097,-0.7317,-9.5913,40.8439,3.1498,-9.9510
-3.4079,-0.9200,-10.0373,36.3942,3.0906,0.8104
-3.1579,-1.1879,-9.7393,36.6469,1.5075,14.1962
-2.6723,-1.2427,-10.6293,35.3986,6.7362,17.4570
-3.1101,-1.2789,-11.0151,32.8789,10.3761,20.8618
-3.3535,-1.4287,-11.7622,25.0062,8.4104,30.1404
-3.3985,-1.4825,-12.5637,12.9806,2.1912,41.4609
-2.8573,-1.4838,-12.9863,5.3297,-1.0842,47.3140
-1.8900,-1.3921,-12.8721,-5.0904,-1.2073,39.9067
-1.8941,-1.5199,-12.2388,-6.4968,4.3916,36.9594
-2.1060,-1.6571,-12.1598,-15.4860,10.5812,40.3809
-1.9743,-1.6512,-12.7046,-28.5459,10.3043,45.4091
-1.1784,-1.8103,-11.7774,-38.7158,6.9910,50.3179
-0.5131,-1.8159,-9.9130,-31.0451,7.0213,53.6620
-0.1734,-1.6020,-9.3844,-22.8510,14.6622,53.3066
-0.6895,-1.4593,-8.7909,-20.4336,14.3727,58.1808
0.2260,-1.3593,-7.8977,-16.3529,8.4411,57.0013
-0.1300,-1.1841,-7.4357,-2.9699,4.8166,59.1451
0.3247,-1.0855,-7.3326,7.7921,5.8190,58.1436
0.5259,-1.1068,-7.7526,11.3576,9.5897,56.0592
0.7701,-1.2825,-7.8246,13.5771,7.0438,56.2414
1.2563,-1.4215,-7.7553,16.3990,3.2912,53.1950
1.2452,-1.4739,-7.3214,23.5911,6.0129,49.1168
1.5664,-1.5668,-7.9268,28.8552,13.6287,43.2372
1.6682,-1.7795,-8.2397,30.0646,13.5400,38.2846
1.8961,-1.7633,-8.4362,29.4500,13.3361,29.4439
1.3960,-1.6935,-8.4683,33.0830,10.4732,27.1907
1.4881,-1.7925,-9.6913,25.4668,8.7441,22.9224
0.6286,-1.8636,-8.9937,23.8694,6.9602,21.1819
1.6265,-1.8025,-9.5517,28.7130,8.9900,17.8341
1.8333,-1.8849,-9.5259,33.4642,8.0696,14.7740
1.9243,-2.1164,-9.7260,34.6381,5.0059,11.1961
2.5195,-2.4362,-9.9065,35.3159,3.1547,4.2933
2.4653,-2.5231,-10.2664,30.6121,6.0429,-8.1472
2.5647,-2.5606,-10.3866,33.2082,13.5563,-15.2467
2.4458,-2.4602,-11.2412,28.5512,13.8906,-22.0334
2.4014,-2.4750,-11.3335,22.3570,9.7666,-26.5040
2.5941,-2.4031,-11.7131,17.2371,17.3983,-33.7198
2.8350,-2.6022,-11.3426,16.9702,26.1248,-39.7520
2.7291,-2.7217,-11.8752,6.7906,17.2054,-53.0263
2.6957,-2.8471,-11.1160,-2.3596,13.8252,-64.5459
3.2068,-3.1736,-10.7275,2.4714,20.9098,-75.3251
2.0501,-3.0470,-11.8178,1.0639,30.5987,-84.8403
0.4199,-2.9650,-11.9202,-4.9332,29.2275,-83.4422
0.4370,-3.0534,-11.4768,-14.0630,28.5555,-79.2190
-0.7060,-2.8551,-10.2573,-19.2130,24.7477,-72.8602
-1.0685,-2.6293,-9.2333,-16.1201,24.8764,-65.6096
