ax,ay,az,gx,gy,gz
-0.6619,2.0741,-9.5035,2.7709,-3.9623,-7.9041
-0.7542,2.0204,-9.5990,5.0185,-2.0153,-11.6517
-1.6928,1.9558,-10.1383,3.9740,2.0048,-12.6792
-2.1960,1.9244,-10.1282,1.4510,2.3400,-7.0187
-2.5374,1.9292,-9.8763,0.2364,0.1552,1.2185
-2.2525,1.8533,-9.8164,0.4697,-1.4307,5.0860
-2.3034,1.8519,-10.0462,1.4897,-2.4410,-0.4981
-3.3091,1.7735,-10.3480,-0.7176,-0.1033,-4.0687
-4.8360,1.6905,-10.4219,-5.3470,8.7927,5.9327
-5.8959,1.5307,-10.1373,-7.8633,12.6695,19.5640
-6.0899,1.3086,-9.9203,-7.9373,16.9938,36.4941
-5.7263,0.9580,-10.0385,-9.3155,24.9944,51.4070
-5.3713,0.6427,-10.3939,-13.6150,37.7875,65.9389
-5.3885,0.3732,-10.8782,-26.4106,61.2120,79.2232
-4.5424,0.0585,-10.0797,-37.6133,65.8539,111.3571
-2.3702,-0.0580,-8.9061,-41.3963,65.1720,132.3616
-0.6242,0.0252,-7.9954,-36.2000,65.5329,149.8651
2.4275,0.4762,-7.6533,-30.0020,56.1932,157.4196
6.1919,0.9582,-7.4163,-19.8649,38.8633,145.1679
8.2862,1.2047,-7.8550,-13.0076,31.9258,122.1274
9.1080,1.4152,-8.3322,-15.8427,31.7365,96.0586
9.4724,1.5479,-8.1128,-16.2964,24.2010,70.8922
9.4618,1.4710,-8.1120,-14.4538,14.5434,55.8211
9.5728,1.5932,-8.6044,-14.5636,-5.7791,19.0144
9.2885,1.5697,-8.9387,-18.4006,-17.6585,-5.4089
9.4953,1.6411,-8.4637,-8.7160,-31.8684,-47.7490
7.7161,1.4217,-7.8453,4.6207,-31.5374,-71.2550
7.6997,1.2681,-7.6569,15.1957,-21.6695,-90.6811
7.7047,0.8410,-6.4149,29.5609,0.9283,-127.5347
6.4706,0.4896,-6.5374,50.4078,18.1807,-166.8969
2.8127,0.1797,-6.9146,63.5074,12.9488,-198.8277
-1.3686,0.1487,-7.6237,75.9689,-11.7242,-194.4205
-4.8303,0.4100,-9.6146,73.3406,-36.0823,-147.0630
-5.1992,0.6524,-11.1012,64.8347,-43.4981,-104.9122
-4.7985,0.8410,-12.0241,51.3769,-34.8581,-80.3436
-4.3883,0.9621,-11.6190,36.1175,-18.5231,-65.7211
-5.4123,0.9585,-11.6509,22.6701,-6.0807,-44.8561
-4.4827,1.0665,-11.3956,16.0973,-0.5822,-11.7713
-2.4848,1.1181,-10.7523,7.4549,2.9965,0.7605
-1.4449,1.1041,-9.9979,10.9706,12.5550,0.4783
-1.1695,1.2167,-10.0175,13.0438,14.1665,1.3354
-0.5816,1.3392,-9.9159,10.0332,7.9797,3.9946
-0.2439,1.3909,-9.7573,5.8007,-1.5628,5.9799
0.1613,1.4057,-9.5789,2.5150,-11.5975,7.4020
0.4320,1.3309,-9.0267,3.3151,-16.8967,9.1902
0.5657,1.3933,-8.9511,9.0705,-16.6871,7.4149
0.2010,1.3894,-9.0622,12.2456,-17.8260,6.9193
-0.0910,1.3792,-9.1294,14.3519,-22.2411,8.3659
0.0637,1.3059,-9.0784,16.1594,-25.8101,11.2174
0.1338,1.1385,-8.8276,19.4074,-24.4063,11.7620
-0.0630,1.0517,-8.7998,25.6732,-18.9164,16.2777
0.0431,1.0027,-8.8983,29.8522,-11.6743,19.1282
0.1372,0.8709,-8.7617,33.8753,-3.2714,17.1434
0.3763,0.7118,-9.1684,36.1925,1.5050,16.3537
0.4772,0.4151,-8.7942,34.0377,3.5320,16.4188
0.3416,0.1933,-9.6337,37.7323,-0.7614,18.1306
0.2156,0.0158,-9.5470,36.0834,-2.0904,15.8192
-0.2293,-0.3085,-9.3022,39.7686,-7.0026,16.5433
-0.1210,-0.4231,-9.6889,40.2233,-11.8652,16.6628
0.0920,-0.5695,-9.5286,38.5919,-14.2637,13.9286
-0.2496,-0.9563,-9.6868,47.6368,-7.5892,11.1126
-0.2098,-1.3925,-9.5480,49.9290,-1.5617,6.3675
-0.3784,-1.7880,-9.6714,52.6535,4.1241,4.6902
-0.3302,-2.0721,-9.9481,53.6953,6.7236,6.5517
-0.0719,-2.2630,-9.8479,52.5925,8.6009,7.2502
0.1577,-2.6271,-9.8685,54.3033,8.7156,7.3174
0.3989,-2.8353,-10.2196,53.3402,8.0447,5.9533
0.6966,-2.8894,-10.3104,48.7422,5.9654,3.2609
0.5730,-3.1011,-9.6895,43.7938,-1.0998,3.2855
0.5151,-3.3812,-9.5462,42.0778,-6.9877,3.0424
0.6074,-3.5849,-9.7427,38.2761,-13.1659,0.8805
0.5519,-3.7323,-9.4290,33.1387,-15.6663,-2.3400
0.1293,-3.9955,-8.9930,33.8342,-14.4695,-3.8743
-0.1109,-4.1578,-9.0875,34.7853,-11.5066,-5.9600
-0.4629,-4.1475,-9.0761,32.0448,-5.6492,-5.7783
-0.5252,-4.1319,-8.9131,31.5023,-3.6980,-4.3151
-0.4376,-4.1516,-8.9693,30.7385,-3.4696,-2.9743
-0.3682,-4.1508,-8.9859,27.9479,-2.7886,-2.8622
-0.4731,-4.1274,-8.6467,25.8681,-4.3300,-2.2276
