ax,ay,az,gx,gy,gz
-0.0296,-0.7462,-9.6801,1.0231,0.3256,-1.4451
0.0420,-0.7500,-9.6145,1.2463,0.4495,-1.8745
-0.2465,-0.7342,-9.6258,2.5153,0.1195,-1.3288
0.0392,-0.7769,-9.7398,1.5871,-0.6862,-1.3646
-0.1784,-0.8342,-9.5950,1.4707,-0.0795,-2.4746
0.0317,-0.7965,-9.5259,1.9723,-1.9877,-1.1040
0.0318,-0.8305,-9.4868,3.7314,-0.2602,-2.1602
-0.1065,-0.8411,-9.6096,4.0941,0.0057,-1.8640
-0.1442,-0.8511,-9.5720,4.4070,-0.3943,-2.0833
-0.1016,-0.8493,-9.4649,5.8381,-0.2162,-2.5077
-0.1048,-0.8688,-9.2810,6.1125,-0.6090,-2.2973
-0.1003,-0.8794,-9.2223,8.1605,-0.6810,-1.8764
-0.3002,-0.9586,-9.2479,9.3125,0.7655,-0.9924
-0.2098,-1.0246,-9.1918,9.9816,0.7931,0.2866
-0.1104,-1.0941,-9.1868,13.1139,0.9306,-1.2276
-0.1025,-1.1794,-9.1300,13.7702,1.2382,-2.0408
-0.1138,-1.2710,-9.0153,15.5486,0.4754,-1.5636
-0.0981,-1.3564,-8.7736,19.1223,-0.7132,-1.4158
-0.1697,-1.4221,-9.0463,21.7243,2.7337,-2.7901
-0.2673,-1.5750,-8.9243,21.8745,3.7679,0.4143
-0.3350,-1.5955,-8.8498,24.6318,6.9191,0.4670
0.1856,-1.6959,-9.0651,26.1503,6.6977,0.6144
0.0210,-1.8367,-8.8713,26.2488,7.9162,0.4623
0.0419,-1.9186,-8.5694,29.8283,3.1325,2.6356
0.1857,-2.0895,-8.6712,34.5401,1.9878,1.7723
-0.0539,-2.3362,-9.1323,34.9397,3.8505,1.8503
-0.1175,-2.4487,-9.1919,31.9376,5.1396,3.3143
0.3326,-2.5195,-9.2041,33.0191,6.2847,4.2762
0.7134,-2.5706,-9.3069,32.3536,8.2998,-1.3683
0.6805,-2.7409,-9.2701,39.3382,13.0635,0.6428
0.6271,-2.9238,-9.7971,41.1901,11.0391,-0.0322
0.1505,-3.1782,-10.0500,29.0296,5.2181,1.9331
0.2664,-3.3773,-9.1681,24.8655,1.9325,3.3894
0.6582,-3.5402,-9.2148,30.3317,5.8095,0.6814
-0.0157,-3.7058,-9.3458,33.1388,7.5206,-1.1548
0.0245,-3.7919,-9.9627,32.4855,4.9982,1.7393
-0.2650,-3.8924,-9.1592,31.5091,5.1748,4.4503
-0.2534,-3.9871,-8.9203,36.3047,4.4442,6.1612
-0.5427,-4.1574,-9.4649,35.3468,4.9964,8.2750
-0.5368,-4.3029,-9.6527,31.5517,5.2162,10.3805
-0.5690,-4.4415,-9.2492,31.3061,5.1772,13.9578
-0.3282,-4.6436,-9.1577,31.8827,4.9509,15.0440
-0.1518,-4.8220,-9.5132,30.1312,4.3973,15.1390
-0.2026,-4.8152,-9.3810,27.4955,2.4068,15.4297
-0.2170,-4.9335,-9.3226,26.6575,-0.7034,16.9362
-0.2228,-5.0872,-9.2907,25.2704,-0.0863,16.7349
-0.4152,-5.1051,-9.2866,22.9483,-2.5383,18.9307
-0.2815,-5.1093,-8.7174,21.2657,-3.1346,20.8160
-0.0669,-5.1168,-8.7185,21.5656,-2.1074,21.2289
0.1597,-5.1976,-8.9207,22.3172,-0.8136,19.2015
-0.0556,-5.2960,-9.1164,19.8344,-1.6475,18.5635
-0.0433,-5.3294,-9.2807,16.1491,-2.6115,20.1641
0.0337,-5.3225,-9.0262,13.5448,-1.7307,20.2530
0.3553,-5.3803,-8.9336,14.1102,1.0644,18.9818
0.3478,-5.4407,-9.1330,13.1550,4.2839,15.2307
0.1979,-5.4705,-9.2470,10.4147,3.1203,14.5811
-0.1412,-5.4478,-9.6121,6.0789,3.4582,14.2383
-0.2848,-5.4099,-9.9217,-0.4511,4.0983,16.0407
0.0125,-5.4266,-9.2985,-3.8922,7.8513,15.6620
0.5198,-5.3929,-8.8662,-1.5102,11.2413,10.3693
0.5487,-5.3737,-9.1379,-2.9228,11.1571,6.1982
0.1309,-5.3891,-9.2806,-8.1211,9.4376,6.4352
0.3047,-5.4068,-9.1241,-12.1282,5.7188,6.1080
0.6216,-5.4311,-8.5144,-10.1400,6.8102,2.3110
0.5143,-5.3802,-9.1247,-10.6977,6.9494,-0.5907
0.4226,-5.4032,-9.6327,-15.9352,4.4759,-0.8602
0.5850,-5.3807,-9.3535,-22.2339,1.6373,-3.6648
0.6092,-5.3199,-8.9572,-20.6096,4.8490,-9.7121
-0.2225,-5.0968,-9.5372,-23.7566,0.7741,-9.5472
-0.0924,-5.0369,-9.5000,-30.2772,-7.5909,-4.5081
0.3599,-4.9324,-9.0414,-32.9560,-8.4325,-6.6758
0.5744,-4.7409,-8.7610,-31.2823,-7.0393,-12.2588
0.0115,-4.5207,-9.2344,-31.4592,-2.1858,-14.9017
-0.2500,-4.4043,-9.2556,-34.6908,-5.8604,-9.9683
-0.0630,-4.3003,-8.8779,-36.9038,-9.7249,-6.4037
0.3572,-4.2705,-8.9121,-36.4777,-10.8832,-9.2002
0.5388,-4.0338,-8.3666,-33.5265,-6.9607,-16.0029
-0.0892,-3.7870,-8.3830,-27.8845,-9.4040,-7.6668
-0.1344,-3.6455,-9.0897,-27.5784,-19.8594,-8.6069
0.1847,-3.7391,-9.2528,-31.0392,-26.5906,-10.2033
0.2195,-3.7532,-8.9748,-31.1097,-26.3606,-14.2524
