ax,ay,az,gx,gy,gz
-0.9060,2.0750,-9.6463,1.5868,5.2461,2.6461
-0.7822,2.0323,-9.8229,2.4400,2.7867,2.3665
-0.7444,1.9491,-9.9220,0.6721,3.3254,2.3396
-0.7813,1.9764,-9.9326,-3.2346,2.5703,3.3404
-0.8709,2.0622,-9.7495,-6.0535,1.1319,4.0758
-0.9440,2.1396,-9.4490,-6.3742,-0.5784,3.9470
-0.8549,2.1704,-9.1422,-5.4903,-0.0788,2.7155
-1.0298,2.1106,-8.7175,-3.4105,0.7944,1.6777
-1.1196,2.0263,-8.4852,-0.0120,-0.6705,0.7168
-1.4031,1.9150,-8.2025,3.8691,0.5589,1.1774
-1.5044,1.7266,-7.9604,8.7430,0.3738,2.6673
-1.7320,1.5450,-7.7402,11.5674,1.1430,3.3865
-1.8197,1.3460,-7.6669,15.4729,3.3458,4.6842
-1.8747,1.0910,-7.7819,17.4484,9.2378,7.2658
-1.6604,1.0501,-7.4213,18.6559,12.4673,9.2624
-1.2466,1.0223,-7.4767,23.3933,13.7523,9.5932
-1.1568,0.9104,-7.4296,26.6691,15.9916,9.0505
-1.4179,0.6440,-7.5030,30.0799,16.1239,11.3212
-1.5593,0.5985,-7.5639,30.4254,18.5369,14.0371
-1.4686,1.0011,-7.6977,32.5017,17.9375,21.6085
-1.2567,0.8328,-7.2322,34.0444,17.1932,26.3070
-1.1004,0.3509,-7.1104,41.7812,17.0235,34.3722
-0.7471,0.1620,-7.2089,47.6835,21.1287,38.7192
-0.6700,0.0984,-7.4152,52.7294,25.2066,42.5984
-0.4693,-0.3995,-7.5175,60.5956,29.6109,47.0922
0.0918,-1.0212,-7.9011,62.7140,36.2525,50.2711
0.4274,-1.4414,-7.6272,67.8981,41.2975,50.6930
0.4572,-1.6605,-8.0629,72.9532,36.6877,53.1369
0.4633,-1.6929,-9.3831,69.6540,30.6808,52.1704
0.7885,-1.8355,-8.8854,60.2910,41.6095,61.9014
1.7823,-1.8922,-9.4395,66.3439,44.0191,61.2634
1.4891,-1.9263,-11.1871,65.3383,46.2844,62.0632
1.7095,-1.8851,-12.2427,57.6888,56.0790,74.2672
4.0217,-2.3096,-12.0950,56.7104,59.8918,79.2916
6.0223,-2.6024,-12.9929,57.0797,57.5313,64.0522
6.7347,-2.6065,-13.8746,51.4946,55.0326,46.3137
6.2258,-2.5822,-14.0554,44.3832,48.8120,30.8262
5.6084,-2.5553,-14.3463,33.4612,35.2942,21.0392
5.3771,-2.5849,-14.0299,21.8661,21.9919,13.3097
5.0546,-2.5823,-13.2095,11.3940,12.4842,3.7855
4.4652,-2.6129,-12.4624,4.6141,6.0459,-4.1345
3.6198,-2.5502,-11.8799,-0.7810,2.6834,-8.6345
2.8541,-2.5339,-11.2649,-3.3491,-0.7619,-9.9192
2.3132,-2.5994,-10.6513,-7.7849,-4.1558,-9.0395
2.1728,-2.6832,-10.0211,-10.3928,-2.0501,-8.7317
2.1141,-2.7424,-9.3122,-10.0396,3.4662,-7.0918
2.2031,-2.8236,-9.0387,-7.7917,8.7378,-6.8187
2.4028,-2.7983,-9.1489,-5.4642,16.1881,-5.6985
2.3468,-2.7680,-8.9651,-2.5994,23.7045,-5.6321
2.3937,-2.7445,-9.0764,0.0579,31.0363,-4.1726
2.4700,-2.6861,-9.2360,1.8316,37.3254,-5.9944
2.5119,-2.6427,-9.3888,2.6217,36.6667,-4.9911
2.7072,-2.6255,-9.4640,1.3344,30.9675,-3.4118
2.9376,-2.6330,-9.8858,-0.8637,21.6612,-2.7413
3.1849,-2.6994,-9.9845,-5.0258,14.1650,-4.8769
3.0758,-2.6797,-10.1361,-9.8429,5.7032,-5.8953
2.9777,-2.6863,-10.3866,-13.9092,-7.0627,-4.9096
3.2239,-2.6399,-10.6534,-20.2476,-14.7552,-5.4868
3.2152,-2.6186,-10.2640,-24.8770,-17.0573,-6.9809
3.2867,-2.4977,-10.1465,-26.3397,-16.5824,-8.5448
3.1826,-2.2681,-10.2495,-26.9216,-14.5390,-10.3893
2.7061,-2.1248,-10.1897,-26.2681,-15.4961,-7.9621
2.5799,-2.0073,-10.5722,-27.6518,-16.8885,-6.1956
2.5758,-1.9289,-10.6322,-30.6470,-14.1971,-4.1018
2.7038,-1.7939,-10.2843,-33.6932,-6.6776,-3.6059
3.0227,-1.7057,-9.9817,-33.0507,-1.4097,-6.4011
2.8240,-1.5899,-9.9880,-32.0786,1.0656,-7.0496
3.0590,-1.4343,-9.8753,-33.2091,2.8935,-9.9208
2.7693,-1.3580,-9.6662,-32.8581,4.1266,-10.0517
2.8932,-1.1951,-9.6550,-33.7300,4.8279,-8.4179
3.2248,-1.1504,-9.1377,-31.9274,2.4517,-9.9595
2.8439,-1.0088,-9.6724,-31.5052,-0.3483,-12.9331
2.5022,-0.8573,-9.5394,-35.0041,-3.2748,-11.4189
2.4008,-0.6616,-9.6795,-36.0591,-11.0564,-8.7511
2.5074,-0.4166,-9.7381,-39.2184,-13.9418,-5.8351
2.9590,-0.4171,-9.4215,-39.2532,-14.3734,-5.6865
2.9456,-0.4087,-9.3156,-37.4547,-12.6485,-8.1140
2.6579,-0.1892,-9.4694,-36.8655,-12.3836,-7.5626
2.2351,0.0826,-10.1963,-32.9221,-18.9376,-4.0557
2.0870,0.0898,-11.5804,-36.4951,-22.0511,-2.2388
1.9446,0.2368,-12.2119,-52.2049,-19.8760,2.8675
2.0031,0.4163,-11.6361,-61.9960,-16.1023,6.0793
1.5913,0.3869,-11.0007,-63.7423,-7.8993,7.1044
1.5427,0.5250,-10.1457,-63.2569,2.4876,9.9147
1.8749,0.6549,-9.3070,-59.0176,11.4674,13.0138
2.3817,0.8132,-8.1636,-60.3655,20.7303,6.2810
