ax,ay,az,gx,gy,gz
89,0.8811,-9.6218,-3.5341,-3.2184,0.0435
0.1952,0.9262,-9.4357,-3.7280,-2.4358,1.1202
0.0824,0.9471,-9.0677,-2.2457,-3.3045,2.8974
0.4727,0.9006,-8.7196,1.4630,-4.9146,1.4971
0.4032,0.9081,-8.6185,5.8047,-3.5322,-1.4625
-0.1460,0.9514,-8.8751,9.5553,-3.9515,-1.4599
-0.2406,0.8562,-8.9311,9.6989,-6.0571,1.3650
-0.3561,0.6944,-8.9880,10.8940,-6.4313,3.0370
-0.4596,0.4370,-8.7368,11.7910,-5.6951,3.1964
-0.4922,0.2337,-8.5966,13.3702,-4.7700,2.6698
-0.8999,0.1759,-8.2959,12.9027,-4.3597,2.1652
-1.5635,0.0549,-7.5740,15.7514,-1.4569,4.6198
-1.8708,-0.0624,-7.3559,20.2145,-0.8076,10.6120
-1.7135,-0.2906,-6.9320,21.8217,0.1251,17.6325
-0.7519,-0.8309,-5.9017,27.3925,-1.1897,22.8705
0.1148,-1.0574,-5.6647,33.9503,-5.6748,18.0002
0.0965,-1.1533,-5.5560,40.6900,-6.2371,9.3187
-0.5533,-1.2116,-5.3571,49.0617,-6.3765,5.8644
-1.0222,-1.3357,-5.6036,57.3661,-7.0642,7.6933
-0.8428,-1.6184,-5.8054,69.3949,-8.6444,11.2870
-0.2758,-1.8606,-6.9663,80.2925,-3.7939,6.0154
-0.0906,-2.1759,-7.3936,90.1920,6.9028,10.7880
0.4067,-2.7797,-9.5663,91.0963,5.8483,17.8290
1.0253,-2.7376,-11.6900,67.5160,-6.0777,5.5837
0.9660,-2.9283,-12.3160,71.4525,7.3850,16.8963
1.0547,-2.9033,-13.7609,66.4859,31.1181,29.7848
1.0872,-2.7954,-14.5548,64.3411,23.8707,28.6330
1.0943,-2.7266,-15.7581,33.6049,21.2399,24.6342
1.5986,-2.5839,-15.6520,20.0687,20.2353,15.8781
1.6926,-2.4724,-15.1430,14.5986,24.3454,5.7769
1.1767,-2.3272,-14.4852,3.8661,28.6360,-0.6447
0.8101,-2.3789,-13.7076,-6.8108,29.9218,-4.3378
0.8602,-2.4859,-12.9084,-15.5266,31.4027,-7.7038
0.2318,-2.5025,-12.7172,-25.5275,29.2524,-10.9820
0.0105,-2.5956,-13.4018,-35.7867,24.3085,-9.6310
-0.2071,-2.8660,-13.7981,-45.6008,29.2536,-8.7141
0.0030,-3.0803,-14.3103,-52.0346,44.5821,-11.8897
-0.6049,-3.1280,-14.9405,-60.5796,64.1262,-9.6971
-1.0254,-3.1586,-15.2287,-79.4477,57.7409,-0.4794
-0.6136,-3.1678,-14.2196,-108.6613,39.3948,14.7367
0.8729,-3.1456,-11.8702,-123.2354,30.9993,22.2240
2.8820,-2.9293,-8.6071,-118.4129,34.6132,12.2637
2.8343,-2.0940,-6.2023,-91.4583,39.5495,2.0206
3.3138,-1.2430,-5.1677,-82.3350,-2.9947,1.5276
3.5565,-0.6508,-4.2978,-72.6779,-26.2446,-1.6189
3.8259,-0.2366,-2.9720,-51.8919,-29.1733,-6.6220
3.2819,0.3317,-3.1793,-24.4442,-24.9015,-12.6168
2.2817,0.7998,-4.9561,-8.9711,-18.6077,-11.6302
