ax,ay,az,gx,gy,gz
0.7954,0.6612,-10.5477,-11.5609,13.2488,-17.8030
1.0099,0.6457,-10.1959,-15.2249,21.4813,-21.3225
1.3834,0.7490,-10.0819,-15.6291,21.6379,-26.9798
1.6185,0.7843,-10.1634,-16.6750,16.8111,-41.6643
1.1991,0.7725,-10.0142,-19.7044,15.1856,-49.9517
0.3378,0.8225,-9.5025,-20.1089,18.3321,-50.3831
-1.0393,0.9202,-8.9531,-15.7600,15.8329,-41.3244
-1.5988,1.0340,-8.7489,-10.9950,10.2444,-28.8690
-2.0664,1.1484,-8.5582,-6.4016,0.3920,-11.9853
-1.5925,1.1450,-8.2921,-1.6657,-7.6164,-0.9684
-1.6172,0.8612,-7.6993,6.0771,-4.3121,7.5035
-2.2869,0.4285,-7.5729,12.8248,4.3785,12.8552
-2.9453,-0.0549,-7.2027,18.2914,11.3768,21.5597
-3.0458,-0.4259,-6.5858,20.6351,13.3605,33.8320
-2.9764,-0.7176,-5.4903,22.0733,16.2572,47.4818
-2.2831,-0.9403,-4.0775,33.1405,9.7389,55.4839
-2.2090,-1.4957,-3.3224,50.4412,5.7965,53.3993
-2.0383,-2.2958,-3.4801,63.5628,8.0213,47.2593
-2.1375,-3.7524,-3.6177,75.3588,34.8274,47.6823
-2.3931,-4.7613,-5.3985,73.8987,36.6422,70.1047
-1.2759,-5.0504,-6.2338,61.1370,43.1385,98.6250
2.9434,-4.9060,-4.7883,95.4675,71.2649,134.5873
7.8120,-4.0994,-7.3857,120.8865,86.0808,135.8725
11.5674,-3.3808,-11.8770,131.4640,93.7882,100.5582
10.1484,-4.1034,-14.4218,95.6321,93.1880,56.8771
10.1716,-3.6792,-16.9414,76.9074,71.2009,46.1984
10.6160,-3.1963,-18.0505,50.8277,43.1066,28.2093
9.6114,-2.9466,-18.3593,29.0289,26.8284,13.0858
8.3386,-2.6167,-17.2662,12.1787,6.9063,3.7386
7.5843,-2.5604,-16.8254,0.3322,-12.6533,-11.1076
6.0048,-2.9010,-16.4887,-11.0829,-27.8117,-22.1146
5.5176,-3.2382,-15.9773,-28.3956,-28.1109,-28.6858
5.7357,-3.5079,-13.8115,-46.2004,-39.5256,-36.5689
5.6986,-3.6468,-11.4110,-55.8136,-55.2787,-43.7938
5.8683,-3.4543,-10.5222,-54.6651,-74.2753,-58.3435
3.6911,-3.2020,-10.8802,-52.7751,-102.9077,-70.7077
2.2053,-2.8537,-10.7749,-50.5058,-103.6790,-63.1936
1.6977,-2.6460,-11.5081,-47.1583,-87.1688,-54.6825
1.5101,-2.8573,-11.9699,-52.1907,-60.6637,-48.8515
0.7180,-3.0336,-13.0526,-64.1399,-39.9178,-50.0296
-0.5855,-2.8328,-13.4575,-86.0486,1.0013,-47.0001
-1.4067,-2.7386,-12.4718,-105.6820,21.0758,-38.7139
-2.5547,-2.3495,-11.3592,-126.8548,26.4922,-5.9977
-1.8445,-1.7308,-9.1357,-162.7175,15.7079,21.3078
-0.8300,-1.3031,-6.0870,-173.9521,4.3782,51.2232
1.1816,-0.6517,-3.4073,-159.2871,-6.6626,55.6659
1.8119,-0.0755,-1.3153,-115.0975,-5.2814,34.5474
1.5325,0.3352,-0.2264,-66.1570,-7.3449,22.9413
0.5166,0.5707,-0.8219,-10.2684,-12.7601,19.2085
0.2103,0.8171,-4.0037,18.5440,-31.3946,25.6892
1.7021,1.1515,-6.7882,-3.6259,-38.0925,25.3596
1.5638,1.1663,-5.4239,-19.1485,-36.5006,13.6378
0.4368,1.2674,-4.4488,0.6383,-38.3117,14.5795
0.8211,1.6245,-6.6829,10.7029,-44.0480,18.8318
0.3920,1.9165,-8.1799,2.0631,-40.8933,22.9262
0.7832,2.1364,-7.5422,-5.2100,-51.3130,21.2677
1.1578,2.1230,-7.8360,4.8777,-53.4358,7.2048
0.0361,2.2790,-7.8837,1.7263,-36.3255,3.5903
1.1516,2.4794,-7.3091,13.5382,-30.2761,1.4778
1.6876,2.3690,-6.7751,15.4142,-26.7733,-8.2981
1.2439,2.0484,-8.1301,31.2074,-12.0609,-13.0308
1.1279,1.9209,-8.7269,31.2955,-5.3219,-22.6269
0.9059,1.5301,-8.5321,31.2463,-6.5602,-34.2424
1.0280,1.2968,-8.4575,35.4837,-11.1413,-42.3624
0.6040,1.0311,-9.3499,43.0282,-6.0518,-49.1758
0.2566,0.9225,-9.8894,41.3517,-5.4177,-54.7107
0.6861,0.6718,-9.2540,37.9872,-3.9009,-62.7715
-0.3591,0.4079,-9.3095,43.1814,-0.4735,-64.6722
-0.6135,0.2337,-9.6140,44.2787,1.6910,-64.6276
-0.3402,0.0203,-9.5910,42.4393,7.0200,-63.4298
-0.1191,-0.3470,-8.7953,44.9107,8.2552,-71.7199
-0.9445,-0.5479,-9.1529,50.2774,15.8696,-73.4590
-0.4460,-0.4866,-9.1252,48.6616,16.4969,-70.1469
-0.0344,-0.7101,-9.0421,49.7467,8.4433,-74.3926
-0.5218,-1.2485,-8.9572,52.6231,5.3654,-77.5992
-0.8858,-1.6615,-9.2404,58.0245,10.1257,-80.7296
-1.2467,-2.0535,-9.8314,66.4115,16.4453,-84.6726
-2.0790,-2.1086,-10.7552,61.4455,27.3472,-81.2259
-2.2430,-2.1882,-10.9298,52.4730,40.0302,-70.2447
-1.5792,-2.3207,-9.9273,44.0138,46.4254,-58.9211
-0.5717,-2.2610,-9.4189,41.8281,44.9237,-49.2314
