ax,ay,az,gx,gy,gz
-1.9936,1.6790,-9.1369,-0.2276,-12.2965,11.4588
-1.7192,1.6730,-8.6779,1.0859,-11.9486,10.8043
-2.1171,1.7168,-8.4291,4.4324,-9.7448,12.8199
-2.3965,1.7313,-8.2955,5.8482,-12.4927,13.9590
-2.4961,1.6794,-7.8677,9.5305,-13.0382,14.7073
-2.8988,1.5522,-7.5333,14.1146,-14.2246,18.6298
-3.0418,1.1990,-6.4551,23.0615,-11.6620,27.3556
-3.5597,1.0988,-5.6025,30.2039,-9.8837,34.1572
-3.6073,0.9667,-5.1567,40.9275,-13.3488,35.9362
-4.3524,0.7211,-5.1723,51.4743,-15.9920,38.5407
-4.9456,0.4073,-5.3226,58.2839,-21.3006,45.5198
-5.1067,0.1124,-5.8002,65.8825,-28.7234,50.4463
-5.1564,-0.0107,-6.1228,71.7298,-18.6532,58.6865
-4.5797,-0.1115,-5.7729,81.5165,-3.5193,67.6973
-2.8173,-0.3216,-6.2128,103.1970,5.0311,70.5239
-0.5313,-0.7770,-9.4854,114.9844,19.2231,64.5256
1.6779,-1.4826,-12.0526,112.7201,33.8052,46.8393
2.0641,-2.7171,-14.4312,105.1598,43.0213,31.5411
3.1947,-3.8768,-16.9941,86.3040,40.3660,21.2815
4.6588,-4.6206,-17.6335,52.1220,30.5428,1.9840
4.1953,-4.7725,-17.4845,20.6928,29.6689,-29.4235
1.5991,-4.5909,-16.1286,-4.8783,34.9268,-45.6292
0.2319,-4.5100,-15.3845,-26.3484,33.9421,-52.2037
-0.7040,-4.6680,-13.4459,-36.7034,37.4279,-52.0800
-1.2234,-4.6357,-12.9657,-40.6971,58.7508,-50.0498
-2.0092,-4.1849,-12.7544,-45.9109,74.4844,-47.5982
-3.7280,-3.6166,-12.5407,-49.1655,82.8098,-39.3312
-6.0947,-2.9323,-13.9742,-61.3346,71.8764,-5.6954
-5.6302,-2.1471,-14.7347,-95.6801,55.2190,32.5551
-4.3015,-1.1287,-13.8213,-119.4190,56.7679,55.2769
-3.0178,0.0833,-13.2994,-128.6116,72.8524,69.7546
-1.8789,1.0526,-13.0889,-134.1237,87.9769,74.2507
-1.6101,1.5852,-12.8380,-136.6541,78.0207,87.8832
0.4101,1.6415,-11.2456,-148.9565,66.5147,98.3230
1.7845,1.5112,-8.8081,-148.4987,56.0360,101.5075
2.9912,1.6408,-6.9883,-142.8373,49.7592,102.5216
4.2839,1.9806,-4.6246,-123.5992,34.3224,99.3426
4.4179,2.3175,-3.5487,-99.2961,26.1993,96.7289
5.5316,2.5091,-1.6309,-74.9588,18.1624,91.4742
6.4214,2.6632,-0.7525,-44.6228,8.4316,75.6011
6.5938,2.6265,-0.4895,-17.0842,-2.3102,57.7790
7.1350,2.1797,-0.8055,5.2951,-16.6997,38.5071
7.0824,1.5495,-0.9140,29.3728,-23.6896,17.4360
6.5255,0.9991,-2.0752,45.1488,-27.3559,3.1513
6.7131,0.4257,-3.6840,43.8813,-37.6235,-14.9659
6.8425,0.0506,-3.7277,49.2777,-47.4832,-31.3207
7.3608,-0.0151,-3.9612,55.5554,-55.2416,-50.5145
7.5410,-0.1075,-3.9215,68.5902,-60.7311,-73.3248
7.4716,-0.5275,-4.2890,87.4325,-65.6549,-100.7771
6.2222,-1.1269,-5.7924,105.2979,-62.8091,-130.3295
5.1142,-1.5930,-7.3818,121.1732,-55.2282,-170.1585
-0.6257,-2.0234,-11.3654,134.5284,-50.3152,-164.9320
-5.4050,-1.8575,-15.2960,117.7146,-48.1075,-131.7051
-4.8169,-1.2008,-15.7361,68.7925,-52.3711,-96.9892
-3.8914,-1.0317,-14.7327,42.6676,-42.9405,-87.3066
-5.1166,-0.8145,-14.7916,36.4033,-7.4087,-70.2196
-5.2526,-0.7368,-14.8035,23.8797,8.3306,-46.2667
-3.9178,-1.0027,-14.0072,3.5548,14.5930,-26.0728
-2.4272,-1.1142,-12.6357,-5.3751,19.6980,-14.3710
-1.1972,-0.9540,-11.5224,-11.6678,21.8556,-7.3547
-0.4514,-0.6453,-10.2063,-14.4667,13.0622,-3.2986
0.1306,-0.3208,-9.2936,-13.2622,5.1379,-0.6731
0.6705,-0.0447,-8.9910,-8.2309,1.7321,-3.5061
0.6865,0.1717,-8.7986,-5.4704,-4.5544,-7.3308
-0.3445,0.2463,-8.7249,-3.2762,-9.0788,-2.1932
-0.2821,0.3769,-8.8137,-4.9320,-16.9904,2.8435
0.0798,0.4720,-8.5292,-4.9586,-20.6863,5.3954
0.2267,0.4782,-8.1768,-2.9883,-22.8734,5.2728
0.1324,0.2933,-8.2038,2.8113,-18.7701,5.4348
0.0402,0.1708,-8.3528,6.9313,-12.4591,6.7637
0.3435,0.1134,-8.3112,7.2640,-10.6223,6.4916
0.4469,0.0733,-8.4186,8.1128,-9.2172,3.8545
0.0299,-0.0032,-8.4728,11.4852,-7.6465,4.5332
0.4028,-0.0163,-8.5751,16.8733,-3.7762,4.5504
0.0411,-0.0360,-8.8492,20.6187,-1.3511,3.3350
0.0039,-0.1273,-9.1456,22.9098,-0.4284,3.9472
0.2224,-0.2790,-9.1943,22.0512,-0.3984,4.9073
-0.0306,-0.4574,-9.0264,23.5641,-0.7658,8.0290
-0.0045,-0.5803,-8.7118,27.6221,0.3103,10.4512
0.4727,-0.5687,-8.8949,26.2865,1.2442,9.0968
0.0776,-0.7053,-9.1695,27.9045,0.0564,6.4927
-0.3274,-0.8287,-9.6303,28.9698,0.1317,8.3647
-0.1197,-0.9960,-10.0845,24.7574,3.9971,11.1327
0.2856,-1.0972,-10.1644,21.4798,7.6846,10.0845
0.8878,-1.5005,-9.9945,22.2830,8.3932,8.3608
1.3464,-1.6581,-10.0882,22.0125,13.5643,2.2801
1.1024,-1.6286,-10.6067,16.7629,20.3845,-7.6417
0.2475,-1.7494,-10.0235,16.4022,22.0445,-6.7003
