ax,ay,az,gx,gy,gz
-1.4817,1.9153,-9.6373,0.2217,5.1977,-2.2653
-1.8181,1.8477,-9.6579,-1.6015,5.9706,-1.7793
-2.1392,1.7834,-9.6402,-2.6640,6.6996,-0.4480
-2.4254,1.6915,-9.6418,-4.0562,6.6104,1.5991
-2.8016,1.5599,-9.6511,-5.3688,9.5674,4.2259
-3.1529,1.3663,-9.7384,-7.3663,11.6290,8.6429
-3.7163,1.2490,-9.6722,-8.7089,16.2005,14.8681
-4.0125,1.2023,-9.7727,-8.9903,18.0616,25.7746
-3.8825,1.1203,-9.8761,-11.6732,20.1086,33.5281
-4.0008,0.9955,-9.8452,-12.1928,22.5248,42.9353
-3.9067,0.9256,-10.1758,-12.3996,24.3712,53.5485
-3.5206,0.8690,-10.6790,-16.1909,29.3628,63.5877
-3.2315,0.7889,-10.5681,-20.8183,32.3605,73.0614
-3.0157,0.8117,-10.0657,-22.0273,33.5111,82.4787
-2.7684,1.0859,-9.6527,-19.8952,36.7928,87.3215
-2.4539,1.2613,-9.4335,-15.0428,38.0564,93.2947
-1.8591,1.3023,-10.1157,-15.5988,32.7006,95.0391
-1.8530,1.2725,-10.2834,-21.1728,28.9258,97.2083
-1.2483,1.2260,-9.9352,-26.0038,14.9060,105.4473
-0.3536,1.2594,-9.4595,-28.3053,5.9558,107.6718
0.7026,1.4600,-8.9475,-26.1021,2.4368,107.0817
1.7942,1.8654,-8.6314,-22.1908,2.0061,102.1264
2.8164,2.1535,-8.1455,-17.9371,1.0760,94.5069
3.7101,2.2739,-7.7562,-14.5587,-8.1873,88.9463
4.8667,2.4111,-7.5120,-11.6972,-19.7125,82.9827
6.3672,2.6473,-7.1410,-8.7041,-26.4056,70.6208
6.7221,2.7960,-6.7485,-0.1794,-22.9152,51.7933
6.2871,2.9301,-7.6931,9.0710,-20.6412,36.7577
5.7912,3.0237,-8.0113,12.7516,-20.2844,26.4761
5.2654,2.9025,-8.3915,10.8864,-25.1159,22.5537
5.2666,2.7765,-8.8021,5.3815,-27.3333,19.5179
5.0077,2.5420,-8.6542,4.1185,-23.7900,15.7390
5.1093,2.5495,-8.8692,3.0680,-20.4836,10.4421
4.6109,2.5467,-9.1449,0.4162,-11.2442,7.3651
4.2281,2.5341,-9.2056,-0.0489,-11.5298,5.8036
4.3006,2.4974,-8.7110,-1.7934,-13.4980,7.2476
4.5139,2.4885,-8.3443,1.3058,-18.7909,6.1784
4.3394,2.4187,-7.9361,7.1330,-22.4564,3.3927
4.0049,2.3823,-8.0763,12.7813,-31.6279,3.1272
3.8804,2.3102,-7.9592,10.3503,-27.4376,-1.0668
4.0614,2.1144,-7.3968,14.4407,-26.3183,-3.0305
4.3524,1.8924,-7.3056,18.3443,-32.6166,-10.3869
3.9063,1.3344,-7.2001,24.8287,-39.5481,-16.9387
3.5646,1.0720,-7.3022,26.4394,-40.3673,-23.2546
3.9530,0.8840,-6.7435,28.4712,-42.5056,-36.0516
3.6696,0.4030,-6.5010,38.2571,-50.1000,-54.3779
2.6319,-0.1141,-7.5946,42.2772,-55.5242,-64.1985
1.7032,-0.1988,-8.1248,37.5546,-45.6703,-69.2862
1.8062,-0.4399,-7.4685,39.2159,-43.9833,-77.8856
1.4006,-1.0344,-8.7402,42.5323,-55.0714,-88.7673
0.1702,-1.3631,-9.4653,34.4950,-44.3521,-94.5722
1.1329,-1.7216,-9.8921,55.1106,-35.2400,-118.2087
0.3460,-1.9160,-7.5060,69.5933,-18.8015,-95.9182
-1.7766,-1.7600,-11.9969,51.1629,-20.7325,-111.8320
-3.1687,-1.8478,-13.0922,30.1738,-27.5280,-106.8683
-3.3768,-1.8568,-12.7817,23.5506,-52.2331,-124.0285
-6.5169,-1.6241,-12.5025,17.6699,-65.5611,-125.0820
-7.3513,-1.1799,-11.9794,15.7515,-61.5074,-108.4313
-9.4583,-0.8793,-11.1575,27.8855,-24.8274,-86.1693
-10.7866,-0.5897,-11.9773,32.0390,2.7065,-58.3872
-10.2604,-0.3304,-11.7301,26.0208,37.2225,-40.0414
