ax,ay,az,gx,gy,gz
4.5582,-0.8744,-8.6009,0.1157,-0.0580,-0.6016
4.5732,-0.8989,-8.6318,0.2952,0.1704,-0.6537
4.5618,-0.8712,-8.6931,0.0294,0.0927,-0.5480
4.6034,-0.8746,-8.6599,-0.5399,0.0618,-0.8853
4.6113,-0.8875,-8.5861,-0.2186,-0.3719,-0.5980
4.5395,-0.8350,-8.6173,0.2043,0.1720,-0.7366
4.5888,-0.8602,-8.6787,0.0354,0.0512,-0.4967
4.5939,-0.8904,-8.6340,-0.2847,0.5511,-1.1178
4.5441,-0.8361,-8.5787,0.1780,0.4549,-1.0277
4.5243,-0.8434,-8.5942,0.7415,0.2481,-0.3597
4.6202,-0.8722,-8.6839,0.5442,0.2922,-0.3889
4.5632,-0.8577,-8.6216,0.1285,0.3098,-0.6534
4.5406,-0.8577,-8.5796,0.7639,0.2746,-0.2107
4.5719,-0.8520,-8.6377,1.2275,0.1763,0.0919
4.5930,-0.8900,-8.6638,0.9483,0.4744,-0.1671
4.6043,-0.9080,-8.6396,0.6265,0.2137,-0.2701
4.5799,-0.9008,-8.6069,0.6670,0.1942,-0.3533
4.6423,-0.9037,-8.5967,0.2195,0.1444,-0.6392
4.5461,-0.8933,-8.5495,0.7580,0.8410,-0.8795
4.6144,-0.9295,-8.6661,0.8879,-0.4834,0.1630
4.5696,-0.8920,-8.6261,-0.4091,0.3384,-1.3189
4.5171,-0.8685,-8.5179,-0.2930,-0.0090,-0.9392
4.5568,-0.8966,-8.5729,0.5541,-0.2737,-0.4509
4.6216,-0.8703,-8.7014,0.2167,0.4639,-1.3946
4.5609,-0.8858,-8.6026,-0.3811,-0.0012,-0.9271
4.6117,-0.9409,-8.6066,-0.3240,-0.2706,-0.7411
4.6203,-0.8735,-8.6744,-0.4277,0.2123,-1.4679
4.5057,-0.8121,-8.5862,-0.2582,0.4044,-0.4927
4.5782,-0.9577,-8.6087,0.2307,-0.1092,0.4433
4.7367,-1.0618,-8.7242,-1.2185,-0.4821,-1.2917
4.6643,-0.9620,-8.7097,-2.6803,-0.8413,-2.6142
4.5232,-0.7177,-8.5887,-2.9668,-0.2677,-2.6768
4.3978,-0.7127,-8.4598,-0.8470,-0.7138,-0.5101
4.6159,-0.8547,-8.5843,0.6708,-0.7649,0.0992
4.6192,-0.8652,-8.7117,0.0103,0.0578,-1.2600
4.4965,-0.8203,-8.6039,-0.1261,-0.3314,-0.6207
4.5544,-0.8486,-8.5552,0.6205,-0.2334,-0.2820
4.5572,-0.8166,-8.6136,0.8754,0.5643,-0.6109
4.5410,-0.8731,-8.6052,1.5247,0.2073,0.3120
4.6268,-0.9387,-8.6566,0.6451,0.4446,-0.3745
4.6350,-0.9562,-8.6713,-0.4214,-0.1775,-0.8584
4.6123,-0.9228,-8.6339,-1.0987,-0.1721,-1.5567
4.5745,-0.8721,-8.6305,-1.1574,-0.0436,-1.5817
4.5767,-0.8116,-8.6494,-1.0543,0.4291,-1.6759
4.5402,-0.8192,-8.6050,-0.2546,0.2799,-0.9126
4.5861,-0.8683,-8.5960,0.2321,0.0942,-0.8196
4.5843,-0.8879,-8.6385,0.0886,-0.0640,-0.7826
4.5979,-0.8524,-8.6410,-0.0528,-0.0427,-0.9365
4.5716,-0.8354,-8.6103,0.2282,0.1344,-0.8292
4.5756,-0.8431,-8.6212,0.5085,0.1627,-0.6600
4.5829,-0.8980,-8.6485,0.3250,-0.0368,-0.5084
4.5916,-0.8622,-8.6277,-0.0430,0.0524,-0.8274
4.5375,-0.8307,-8.6166,0.1478,0.2565,-0.5750
4.5735,-0.8643,-8.6294,0.3079,0.2534,-0.3903
4.6340,-0.9151,-8.6403,0.1188,-0.0007,-0.4854
4.6263,-0.8777,-8.6417,-0.2515,0.1090,-1.0711
4.5484,-0.8109,-8.5962,-0.0617,0.0261,-0.7563
4.5491,-0.8449,-8.5608,0.7725,0.1618,-0.3360
4.5954,-0.9016,-8.5928,1.3152,0.3422,-0.3373
4.6168,-0.8982,-8.6661,0.8989,0.2454,-0.7172
4.5820,-0.8479,-8.6318,0.5225,0.5019,-1.0791
4.5221,-0.8250,-8.5634,1.3000,0.4775,-0.3379
4.5934,-0.8649,-8.6544,1.7780,0.2149,0.0834
4.6764,-0.9326,-8.6790,0.7880,0.5319,-0.7184
4.5856,-0.9480,-8.6427,0.5627,0.0680,-0.7424
4.5984,-0.9052,-8.6110,0.2623,0.1784,-0.8783
4.5575,-0.8996,-8.6128,0.2271,0.0538,-0.6796
4.5930,-0.9061,-8.6481,0.3395,0.0042,-0.6005
4.6014,-0.8943,-8.6391,-0.2058,0.1952,-1.0326
4.5702,-0.8953,-8.6240,-0.0856,0.2290,-0.7409
4.6009,-0.8957,-8.6439,-0.0800,0.0739,-0.6670
4.6046,-0.8901,-8.6345,-0.1620,0.1386,-0.9327
4.5282,-0.8821,-8.5645,-0.0682,0.2908,-0.7012
4.5958,-0.9020,-8.6433,0.3063,0.0142,-0.4405
4.6313,-0.9214,-8.6746,-0.3455,-0.0537,-0.6739
4.5993,-0.8831,-8.6323,-0.7313,-0.2072,-0.9776
4.5693,-0.8736,-8.5550,-0.2104,0.1532,-1.0141
4.5516,-0.8842,-8.5905,0.5869,0.0437,-0.4385
4.6570,-0.9230,-8.6853,0.1455,0.1688,-0.7153
4.6297,-0.9269,-8.6107,-0.8731,0.3450,-1.5841
4.5555,-0.8680,-8.5954,-0.8990,0.1622,-1.3397
4.5346,-0.8387,-8.5979,0.0179,0.3845,-0.9474
4.5753,-0.8761,-8.6422,0.4249,0.3465,-0.6227
4.6433,-0.8967,-8.6742,-0.3405,0.1628,-0.8729
4.5551,-0.9136,-8.6091,-0.5607,-0.1210,-0.8038
4.5979,-0.8771,-8.6149,-0.0582,-0.1075,-0.6921
4.5572,-0.8712,-8.6144,0.1417,0.0243,-0.5211
4.6073,-0.9265,-8.6516,0.3055,-0.0497,-0.4110
4.6590,-0.9456,-8.6635,-0.5987,0.0052,-1.1680
4.5815,-0.8927,-8.5905,-0.8742,-0.0573,-1.3849
4.5104,-0.8572,-8.5556,-0.0565,0.0864,-0.7968
