ax,ay,az,gx,gy,gz
0.0929,0.5589,-10.0983,0.9638,-5.8439,0.0644
-0.2954,0.5531,-10.0344,-3.0342,-0.1929,0.1592
-0.2251,0.5220,-9.7785,-3.0655,3.1514,0.7448
-0.1712,0.5154,-9.7430,-2.7829,10.0877,-1.0453
-0.1729,0.5242,-9.6020,-0.8160,10.1502,-0.6617
-0.0525,0.5307,-9.7448,-0.4127,9.3320,-2.6165
-0.1314,0.4785,-9.6316,2.3188,3.7802,-3.3099
-0.0100,0.5470,-9.6902,7.1568,-3.5709,-3.6280
-0.1001,0.5714,-9.9845,6.9743,1.3859,-3.9232
0.0917,0.6071,-9.8393,8.7984,-1.7839,-4.8836
-0.0221,0.6184,-9.9458,11.8002,-2.2865,-5.5186
0.0767,0.6632,-10.9679,15.5234,-1.4328,-11.4612
-1.3997,0.7704,-13.0545,4.0654,-7.2045,-11.6340
-3.7708,1.0032,-15.4724,-26.8360,-7.5622,2.1217
-4.6451,1.2889,-15.8178,-70.3207,39.5011,25.3814
-3.6934,1.3276,-15.1571,-104.5661,49.2495,43.9508
-2.8133,1.2336,-14.5772,-132.2272,42.9706,57.6194
-1.6707,1.2192,-12.5946,-146.9422,69.3858,71.8668
0.0028,1.3403,-10.3073,-149.2146,72.8573,77.9150
1.3170,1.4518,-8.3167,-140.8883,64.0388,80.7430
2.9925,1.9054,-6.1444,-122.3600,35.9578,74.7031
4.3391,2.3798,-4.3061,-101.6691,34.1416,57.8010
4.8145,2.5541,-1.4712,-68.0635,46.9906,39.6960
5.3436,2.3094,0.6480,-26.1159,41.8611,30.6377
6.8940,1.6444,2.4076,21.5532,32.9500,10.9752
8.5598,0.3078,3.9519,82.3308,48.6660,-9.9141
9.6260,-1.5466,5.3444,147.7341,75.5716,-48.7408
8.9581,-3.7972,6.4604,217.3803,99.1743,-76.3280
7.2574,-6.6262,7.3251,290.8642,119.0182,-93.7111
4.3706,-8.8640,6.8047,363.3463,114.6488,-89.7956
1.9887,-10.5238,4.6555,404.3246,51.7537,-68.2175
3.3952,-12.7662,-1.0492,435.2546,-55.8813,-60.8119
3.2488,-14.2865,-10.2346,415.7818,-92.8073,-95.2927
-2.4860,-14.6148,-17.5546,341.9881,-57.4279,-84.5664
-3.8947,-14.1519,-23.7636,264.8308,-119.9758,-47.0860
1.0225,-13.5210,-30.0895,174.2809,-168.9292,-46.9669
2.5497,-13.1894,-32.5431,71.4900,-108.1155,-74.3999
-1.0669,-12.5647,-31.4447,-38.1524,-90.4092,-71.7436
-2.8258,-11.3652,-30.1115,-130.3321,-140.0109,-33.1750
-3.0617,-10.2598,-29.3044,-217.4181,-179.5141,-10.1582
-3.5676,-10.0188,-25.4016,-306.1021,-182.9669,11.4336
-4.5325,-9.6866,-19.3363,-348.3006,-166.0486,61.3296
-2.8216,-8.1627,-13.3903,-348.5689,-160.8343,86.5775
-1.3196,-6.3202,-8.2640,-324.8621,-123.8190,92.8300
-1.5749,-4.9185,-5.7114,-291.4473,-86.2048,98.9425
-0.9475,-3.8278,-3.2780,-265.7605,-110.6047,107.3596
-0.5883,-2.9241,-1.0996,-224.1399,-132.9575,115.7243
0.4853,-1.9219,0.4760,-176.5587,-145.5182,123.3094
1.1055,-1.1889,2.2267,-133.4339,-136.2700,117.6028
2.0929,-0.8973,4.2719,-78.8478,-91.3275,97.8830
2.5030,-0.7380,5.2124,-30.5333,-23.5845,75.4957
2.0092,-0.7150,5.8286,27.6772,25.2022,50.9091
1.7724,-0.9594,4.4775,74.4834,67.9638,32.6968
0.5198,-1.3016,3.6690,107.7323,109.0023,26.3355
-0.6384,-2.1264,4.3645,145.9553,140.7993,38.3454
-0.1657,-2.7399,4.5951,195.8936,116.0658,47.1281
-1.5422,-4.1798,4.8857,275.8663,99.4810,70.7693
-2.7585,-6.6747,4.8342,381.1502,59.8381,98.5101
-0.1419,-11.2692,1.0764,489.6350,16.5422,129.6524
4.5702,-14.5582,-14.4862,501.1467,-15.9423,105.8385
6.4912,-14.7835,-30.9164,372.8769,-42.4812,79.6727
5.2443,-13.7205,-32.9615,209.5159,-0.6509,59.9048
6.5808,-13.5684,-27.3149,115.7296,33.7793,54.0203
10.3542,-11.9576,-27.2552,32.2191,41.4515,18.4243
10.6714,-10.1699,-25.5343,-43.7045,57.3592,-27.3077
9.1436,-8.7411,-22.2389,-92.7536,6.4098,-60.5085
9.1494,-7.5963,-19.6973,-137.2212,-36.8330,-82.0218
9.1431,-7.0601,-17.0926,-167.0529,-45.9463,-121.9818
8.4663,-6.6249,-12.8779,-179.3018,-48.9402,-159.9248
7.7245,-5.7400,-10.0973,-178.6120,-47.8976,-200.3527
5.7782,-5.3072,-7.8700,-166.6205,-43.7316,-238.8611
2.3528,-5.2071,-5.9062,-143.2619,-71.5353,-264.1300
-1.3643,-5.1413,-5.1363,-127.8564,-91.6599,-265.7968
-6.9897,-4.5532,-4.9510,-117.0484,-123.9023,-244.2059
-12.2334,-3.6104,-3.5575,-109.2076,-132.3055,-183.6889
-15.3456,-3.0249,-1.9110,-84.8031,-104.1225,-118.3472
-16.3448,-2.8582,-1.3077,-44.3671,-67.9994,-46.0281
-17.6788,-3.4921,-3.2375,2.9113,-10.3828,31.7648
-16.5239,-4.1852,-5.6794,14.3891,36.0185,100.7771
-17.8971,-5.0804,-6.8787,9.2619,74.7963,165.2421
-16.2131,-5.9035,-8.1224,-2.9357,97.5592,255.1675
-11.5811,-6.4788,-8.1158,-18.5789,123.5598,307.7225
-6.0151,-6.8200,-7.5917,-21.8949,115.8236,344.6918
5.5586,-6.4602,-7.8845,-18.6202,90.6178,325.9781
14.0998,-5.8070,-7.7244,-6.8224,49.9473,265.0044
18.1119,-4.6193,-9.9572,4.8683,13.1125,173.2228
17.8123,-3.5272,-10.6699,0.6267,8.6562,82.0804
13.2498,-2.5509,-10.3483,-5.1493,-4.7076,34.4782
10.9216,-1.5228,-10.5488,-14.4441,-45.8927,2.9357
7.5401,-0.6757,-10.2483,-20.1233,-63.3334,-21.2475
4.3275,0.1742,-9.6071,-21.7086,-47.8502,-27.4557
2.7669,0.7833,-8.7412,-19.7683,-19.5198,-30.3052
1.9932,1.0977,-8.4081,-8.4172,14.9338,-36.9182
1.7113,1.2026,-8.8087,-1.0769,35.5969,-44.1436
0.1353,1.1089,-9.3052,-0.6429,36.1054,-42.8879
