ax,ay,az,gx,gy,gz
-0.6191,-4.3573,-11.9408,-2.5264,-28.1735,-8.2293
-1.1607,-4.6015,-11.6839,-14.7492,-18.0972,-6.3862
-1.3590,-4.6093,-10.9016,-22.9843,-10.3368,-4.9363
-1.5416,-4.5432,-10.0227,-28.2840,0.2533,-1.1562
-1.6719,-4.6668,-9.1658,-31.3621,6.8272,5.1527
-1.1676,-4.6871,-8.4417,-32.3761,9.9487,14.5331
-0.3993,-4.4129,-7.7674,-35.2663,14.6889,11.6482
-0.2146,-4.1913,-6.3696,-32.0750,11.9809,5.6955
-0.0921,-4.0859,-4.6896,-21.7013,12.8844,0.7559
-0.2768,-3.8336,-3.5054,-3.9600,21.0412,-4.2441
-0.7451,-3.7073,-2.2360,17.0078,19.0182,-0.1642
0.1261,-3.9596,-0.9559,36.6042,3.8409,7.0647
0.6572,-4.3769,-0.2851,50.4706,-7.6351,10.2361
2.2862,-5.2778,1.7308,67.8314,-20.3358,-0.7671
3.3147,-6.2500,1.6915,97.6254,-42.8806,-30.1810
1.9691,-6.8817,0.9181,116.8981,-42.4097,-48.7966
-0.4998,-7.1648,0.6046,130.9307,-30.8425,-43.9807
-1.2919,-7.8854,-0.7592,144.4380,-49.2949,-24.1516
-0.0108,-8.3854,-4.3764,133.6275,-79.0174,-16.3462
-0.4116,-8.7716,-6.6138,127.5138,-50.9296,-36.9276
-2.0809,-9.0319,-8.5846,129.4647,-30.3126,-51.6075
-3.8834,-9.6253,-11.0228,130.9574,-21.4772,-58.7550
-5.1595,-9.8729,-15.6495,118.0218,-33.7250,-52.0313
-7.3357,-10.1732,-17.5855,82.1070,1.6951,-33.4663
-5.1328,-10.2552,-18.8284,51.8850,23.2064,8.8189
-2.7924,-10.2763,-18.8417,3.4022,41.4594,-2.8483
-2.3857,-10.4374,-17.7779,-25.5825,72.7885,5.1117
-1.1836,-10.2105,-19.3170,7.7301,77.0352,29.6900
1.0668,-9.3335,-20.8601,-131.4641,-34.4001,-36.9869
-0.6312,-9.5551,-16.4314,-156.3747,-36.5487,-38.3123
-0.4106,-8.8509,-14.9661,-146.2240,-17.3413,-26.1953
0.2736,-8.0924,-13.7405,-177.7580,-19.6458,-41.4365
0.0647,-7.5629,-10.6221,-198.0180,-42.1424,-53.9494
0.0420,-7.2946,-7.9924,-188.2507,-59.5652,-67.1470
-2.5315,-6.5828,-6.2199,-164.3862,-66.3711,-53.3473
-6.0221,-5.4178,-4.5004,-140.1813,-69.3742,-30.7867
-8.9410,-4.6142,-2.5887,-113.2277,-62.3080,1.6663
-11.6728,-4.5625,0.3273,-84.3796,-30.7938,46.4427
-13.0162,-4.6370,1.1821,-36.0219,2.8193,122.7599
-11.4703,-4.9231,1.5712,-7.3398,39.4170,166.0229
-10.5584,-6.0570,3.5557,11.2375,102.8703,201.2759
-8.8816,-9.1245,4.5961,45.9411,139.8768,261.4967
-3.5867,-11.2383,2.7826,92.2452,136.7305,288.6189
3.0958,-11.6385,-1.6013,90.0587,116.6807,258.8643
7.7862,-10.9592,-3.3601,69.2949,97.3232,201.3369
9.5084,-10.6400,-1.5933,60.9911,79.9692,133.5179
11.0869,-10.4121,-1.4551,71.3430,23.7513,102.1502
14.2449,-9.7826,-6.0393,75.7991,-79.6675,42.5059
18.6768,-8.6302,-10.5517,32.4318,-153.2283,-86.1741
16.4206,-8.8719,-10.7479,2.1949,-146.3764,-188.5839
10.0681,-8.6223,-10.8318,-3.3452,-142.3857,-236.7073
6.5580,-8.0475,-11.7267,-11.8717,-150.7026,-265.9284
2.6545,-8.0522,-13.9442,-27.9087,-150.3871,-299.5563
-4.7798,-8.3509,-12.7144,-54.6470,-127.4596,-319.2586
-12.6018,-8.6570,-12.6256,-51.5456,-88.4963,-247.1433
-18.9673,-7.3438,-13.3308,-67.6766,-15.7143,-134.3224
-18.3650,-6.4640,-11.8335,-70.3016,41.4417,-30.1724
-15.1977,-5.7480,-11.2176,-66.5411,144.6436,17.8847
-14.2084,-5.5842,-10.1686,-80.8504,186.4229,45.6885
-12.5699,-5.7005,-7.7659,-74.6160,186.9458,97.0447
-9.2785,-5.7785,-7.4409,-64.8017,182.6862,135.6444
-6.6982,-6.3483,-7.3721,-65.9544,170.8759,153.4052
-5.2940,-7.1917,-6.5927,-65.3173,138.4855,179.6071
-3.8536,-7.6685,-4.7035,-55.6648,83.3657,205.5851
-2.5457,-8.0916,-3.0787,-30.6238,17.0524,232.0640
-0.1033,-8.2023,-1.5850,-0.9351,-38.2884,233.5379
2.9201,-7.4683,-1.6103,18.5486,-108.3985,181.3130
2.9013,-7.8679,-2.4847,15.1739,-173.1317,171.4497
4.9887,-7.3266,-4.2821,-1.0471,-204.1988,156.6089
6.5050,-7.0681,-4.0118,4.0052,-156.0779,113.7824
6.2381,-7.4176,-3.3077,45.8873,-88.0817,82.4541
6.4489,-8.0724,-5.5172,102.6765,-34.6845,71.6328
8.0312,-8.0362,-8.2117,131.1307,-1.8899,43.7243
8.8019,-7.9814,-10.3384,130.1030,5.9745,5.4344
8.8925,-8.3688,-11.4180,98.3360,-13.1083,-43.6032
9.0149,-8.7016,-12.1674,57.7101,-51.5112,-92.1124
9.8590,-8.9176,-13.0332,8.3331,-77.7076,-164.4778
8.5523,-9.3118,-13.0550,-45.1160,-93.1042,-265.8076
2.7132,-10.1949,-10.5510,-45.0981,-79.2522,-311.4782
-4.5721,-9.7739,-10.2866,-25.5765,-42.4248,-329.8185
-15.6571,-7.9352,-11.6625,-8.3679,28.6222,-226.0984
