ax,ay,az,gx,gy,gz
-1.2386,1.0917,-9.7814,0.4391,0.4219,0.2398
-1.0759,1.1426,-9.6980,-0.2505,-2.9261,1.3248
-1.0255,1.2031,-9.5236,0.1073,0.7573,0.5342
-0.8672,1.1869,-9.5493,1.6406,1.5907,-0.8762
-0.9079,1.1257,-9.7440,1.6184,3.2710,-0.5523
-1.0221,1.0725,-9.8214,1.1460,1.2000,0.0824
-0.6238,1.0629,-9.6938,0.7473,-0.6778,-0.0866
-0.7131,1.0821,-9.6430,1.3051,-0.1183,-1.9661
-1.1636,1.0955,-9.7034,1.4428,0.6101,-0.1430
-1.0143,1.0836,-9.7188,0.6968,-0.6174,-0.0076
-1.0126,1.0875,-9.7596,0.4843,-0.9373,-0.1224
-0.9312,1.0977,-9.7729,0.2311,0.0735,-0.7581
-1.1697,1.0815,-9.8012,-0.4597,1.6979,-1.0532
-1.2790,1.1097,-9.8096,-0.9453,-0.5639,0.4310
-1.1524,1.1728,-9.8908,-1.3071,1.3179,0.9794
-1.2808,1.2209,-10.0441,-2.2097,4.5533,1.4926
-1.2194,1.3698,-10.1368,-2.9482,4.2812,2.8770
-1.2239,1.6653,-10.5165,-3.3263,9.6522,4.3972
-0.9086,1.8232,-11.8203,-7.4808,8.2066,10.0177
0.2945,1.5345,-12.2785,-16.8469,7.1679,10.9896
1.3235,1.2525,-12.4521,-28.5395,14.2147,6.1078
2.2574,0.9443,-11.9651,-39.8091,14.0682,1.0886
3.6548,0.7583,-11.1778,-47.8756,4.5266,-8.6637
4.7525,0.8255,-10.3833,-57.1967,-6.4350,-26.3264
5.2498,0.9012,-9.2229,-60.9054,-15.1377,-48.1059
4.7648,0.9947,-8.0638,-56.1432,-22.3937,-76.0333
3.6497,0.8418,-7.6372,-48.8956,-31.1815,-98.9045
2.4194,0.6541,-7.2917,-43.9044,-36.1953,-114.2004
0.5640,0.4123,-6.5203,-35.6806,-36.5887,-120.3707
-0.2146,0.3853,-6.1932,-29.4581,-39.7798,-122.1515
-0.8442,0.4149,-5.5531,-19.5643,-40.7124,-124.2930
-1.4261,0.4065,-5.0794,-8.2096,-43.6966,-124.1336
-2.0726,0.3368,-5.4700,9.0791,-29.6264,-128.3271
-4.1163,0.1708,-5.4065,26.5372,-12.3953,-127.0452
-5.1168,-0.0566,-5.9575,38.0355,-15.7390,-121.6461
-5.5840,-0.0664,-6.5831,41.0932,-9.6935,-116.8846
-6.3405,-0.2835,-6.6562,50.6130,-9.3955,-101.9664
-7.3935,-1.5168,-6.7170,60.5543,-8.1390,-83.2599
-7.4840,-1.6328,-7.8736,68.9776,3.6566,-66.7550
-8.3499,-1.9931,-8.6680,69.5473,16.3159,-49.3980
-8.6368,-2.0529,-9.1628,63.2832,30.0353,-27.1079
-8.1516,-2.0075,-8.8295,60.7487,34.3561,-4.3302
-7.2353,-1.9376,-8.9994,62.7749,37.8455,14.7640
-6.7122,-2.2642,-9.8508,62.7381,41.0041,30.7909
-6.0863,-2.6016,-10.2961,52.3551,50.3954,46.2718
-5.4741,-2.5169,-10.1621,41.0587,59.1899,58.7114
-5.2133,-2.2930,-9.5008,39.3457,68.7162,71.4162
-4.9309,-2.4373,-9.7765,39.8022,61.6746,80.2646
-4.4929,-2.4832,-10.4942,38.5086,56.8076,91.2033
-4.5145,-2.4900,-9.9932,31.1660,68.1477,99.7705
-4.0765,-2.4552,-9.5604,32.9650,74.0085,110.8080
-2.6056,-2.4240,-10.1806,37.8956,68.8381,113.0080
-2.8963,-2.7747,-11.6030,31.0063,72.3022,117.0023
-2.2167,-2.9344,-12.1776,17.1803,75.6194,123.2700
-0.7706,-2.9173,-12.4898,-1.0074,74.0310,126.3960
1.1793,-2.8730,-12.4613,-8.8341,73.3569,121.5284
2.0876,-2.6047,-12.7381,-21.6002,73.2572,107.3266
2.4058,-2.3049,-11.8340,-30.9787,60.2782,96.5339
3.0367,-1.9320,-10.6645,-33.7409,53.9339,85.9595
3.4952,-1.6021,-9.5855,-29.4029,45.0873,73.1118
4.0320,-1.2721,-8.7037,-17.6878,33.1800,56.4513
4.0497,-1.1638,-8.7938,-9.3175,25.0704,40.8027
3.7225,-1.1697,-8.8123,-3.9218,15.5636,28.0855
3.5001,-1.1691,-9.0041,-1.9013,7.7770,16.5348
2.2878,-1.1804,-9.0372,-0.7603,0.1689,5.6588
1.9639,-1.1388,-9.3587,0.1153,-3.9119,-2.3354
1.4691,-1.1972,-9.5356,1.2223,-2.8803,-7.2022
0.7939,-1.1743,-9.6578,-0.0232,-0.4467,-10.2766
0.2544,-1.1335,-9.6719,-1.3617,0.4372,-9.8139
-0.0179,-1.0942,-9.6429,-1.6835,2.4749,-8.0282
-0.0341,-1.0988,-9.5651,0.4644,2.7377,-6.5591
-0.0635,-1.0545,-9.8021,0.5182,3.3059,-6.1431
0.0688,-1.0801,-9.8590,-0.3033,2.0568,-5.3032
-0.0168,-1.1248,-9.8326,-0.1244,3.2879,-5.1376
-0.1143,-1.0821,-9.8509,-1.4020,3.3141,-5.5775
-0.0839,-1.0565,-9.8150,-1.3202,1.6386,-4.4038
0.0722,-1.0463,-9.7085,-0.5712,0.9719,-3.8525
0.1113,-1.0797,-9.8707,-0.6946,0.0323,-3.2960
0.2565,-1.1074,-9.7364,-0.7437,-1.9432,-2.9481
0.2797,-1.1040,-9.7521,-0.2997,-2.6870,-3.8212
0.0354,-1.0854,-9.8737,-0.5444,-0.8756,-3.3257
-0.0186,-1.0434,-9.7895,-2.1592,-0.4921,-1.5690
0.1098,-1.0209,-9.6320,-0.9893,0.8828,-0.9544
0.2588,-1.0149,-9.6962,-0.3131,1.1770,-1.1313
0.1250,-1.0902,-9.6900,-0.2969,1.1255,-0.4430
0.3139,-1.0597,-9.6444,-0.2062,0.4727,-1.0964
0.2305,-1.0505,-9.6723,-0.0015,0.4238,-0.8928
0.3328,-1.0324,-9.5768,-0.0465,-0.3965,-1.4440
0.2150,-1.0511,-9.5503,0.3993,0.9208,-1.7054
