ax,ay,az,gx,gy,gz
-0.9614,-2.1624,-9.6217,2.8087,3.5853,-2.7419
-0.9195,-2.1923,-9.6806,1.9568,4.4018,-0.7888
-0.6348,-2.2042,-9.4706,1.3649,6.3283,1.3370
-0.2507,-2.2176,-9.2689,1.7616,4.5238,0.6655
-0.2390,-2.2056,-9.3903,2.2988,1.1505,0.6512
-0.1883,-2.1720,-9.5683,1.5010,-1.2032,-1.3354
-0.3266,-2.1990,-9.5815,1.0993,-1.7604,-2.8845
-0.4796,-2.2242,-9.7741,1.7402,-2.6986,-2.4893
-0.4108,-2.2226,-9.8161,0.7730,-2.1447,-2.3321
-0.3834,-2.2422,-9.7349,0.4724,-0.9548,-2.1010
-0.4907,-2.2269,-9.8553,-0.8695,1.2466,-1.2082
-0.5391,-2.1603,-9.7015,-1.8670,3.4291,0.5801
-0.3308,-2.1454,-9.4933,-2.2218,4.2133,1.7552
-0.0721,-2.1020,-9.4479,-2.0257,3.7244,0.4948
-0.1104,-2.0847,-9.5797,-2.0742,3.8250,-2.3671
-0.3071,-2.1210,-9.4967,-1.1241,2.2212,-2.9578
-0.3134,-2.1355,-9.4291,0.5184,1.3302,-1.3384
-0.2525,-2.1470,-9.2438,1.8463,1.5657,-1.4527
-0.1994,-2.2899,-8.9049,3.9763,-0.1950,-2.9312
-0.1668,-2.4735,-8.4099,7.4369,0.3267,-5.5004
-0.1855,-2.6993,-7.6798,12.3965,5.2548,-6.8599
-0.1123,-2.9966,-6.4039,19.5118,9.2387,-4.0289
0.1993,-3.3627,-5.0606,28.7073,14.0693,6.2014
0.8275,-4.0127,-3.8547,41.4700,13.9261,19.0387
1.3022,-4.6603,-3.2913,52.9967,8.6427,26.5068
0.9926,-5.1830,-3.0182,67.7828,8.7744,34.0723
0.5496,-5.4861,-3.6097,78.6817,10.7656,33.8793
0.0707,-5.8171,-5.0495,78.8034,6.3737,23.8556
-0.0737,-5.9545,-6.3630,77.5452,-9.9991,7.3916
-0.2118,-5.8594,-8.2053,75.5694,-19.2111,-5.0178
-0.5175,-5.7408,-9.4253,73.8560,-19.5889,-12.5685
-0.7429,-5.5957,-10.5937,70.8140,-21.7624,-22.5273
-1.5961,-5.0510,-11.7069,72.3433,-1.6796,-14.6462
-1.5063,-4.6066,-15.1552,85.9333,15.1621,-19.9400
-1.5512,-4.6027,-15.1960,48.3497,40.3240,4.4226
-0.6758,-4.6818,-15.2670,54.1325,38.4498,-0.0877
-0.6877,-4.5980,-16.4824,50.0269,22.9946,-11.8714
-0.5916,-4.6799,-16.7268,26.0971,5.0437,-12.9773
-0.8328,-5.0554,-16.2046,0.9388,5.8672,-11.0150
-0.2056,-5.3950,-15.6798,-29.2180,10.2832,-5.2607
0.8134,-5.5359,-14.5864,-65.4942,4.0322,-11.9908
1.1323,-5.7159,-13.4108,-93.4154,-11.0994,-27.4816
0.5994,-5.8163,-12.5223,-99.6357,-2.9162,-28.6296
0.5084,-5.8130,-11.5983,-100.6355,9.9074,-23.3964
0.2560,-5.9356,-10.5246,-97.0293,30.9416,-15.2870
