ax,ay,az,gx,gy,gz
1.6003,-4.4183,-8.8919,0.6608,-3.6630,0.5311
1.5492,-4.2742,-9.1164,0.5542,-11.3795,-1.0039
1.1629,-4.4099,-9.1539,2.4928,-16.0513,-0.1394
1.0784,-4.6454,-9.8402,1.0303,-22.7151,-0.1748
1.0361,-4.8717,-10.0989,-4.1458,-23.9335,-0.2310
0.9703,-5.0511,-9.9021,-7.8490,-20.1613,1.9383
0.8144,-5.1109,-9.2389,-10.4605,-14.9936,5.4567
0.9829,-5.1088,-8.5889,-10.5302,-7.2895,9.2170
1.1220,-5.1079,-7.7165,-8.9563,-5.4044,11.0082
1.3474,-5.2430,-7.2022,-6.5598,-12.1145,12.3952
1.9874,-5.3285,-6.3205,-5.6063,-20.9379,10.7976
2.4207,-5.2242,-5.3069,-1.5179,-22.3412,3.7132
2.1234,-5.1193,-4.1631,6.0095,-21.4244,-4.0368
1.6305,-5.2475,-3.1086,17.2234,-24.1365,-8.5956
1.1203,-5.6472,-2.6400,31.2950,-29.3039,-8.9344
1.3928,-6.0829,-1.9666,40.8980,-31.8236,-9.9964
2.0631,-7.4866,-0.0505,66.1722,-28.5692,-15.3081
3.4392,-8.4082,-0.1900,95.1107,-22.5537,-30.5717
3.2951,-9.0343,-0.2340,113.4108,-18.6008,-48.2777
1.1603,-9.4361,-0.3350,139.6165,-10.1157,-46.7667
0.9476,-9.2530,-3.0176,164.5423,-1.7240,-42.4986
-1.0359,-9.4482,-6.6495,180.9508,18.7691,-39.5781
-1.7819,-9.7679,-11.3708,178.7127,30.4214,-26.8676
-0.1337,-10.8604,-16.0271,154.8938,24.4364,-20.5036
0.0323,-12.0616,-19.9545,92.6895,26.2277,-32.3018
-1.0255,-12.7556,-20.9841,33.2094,39.3740,-29.7467
-1.4953,-12.3863,-20.4947,-29.6124,50.0840,-18.0666
-0.9562,-11.6688,-20.4325,-75.3030,46.5902,-8.4458
0.0508,-11.1845,-18.3965,-119.1929,31.1226,5.1605
1.6012,-10.2398,-15.8200,-164.4738,3.0514,13.9883
2.9442,-9.4489,-13.4233,-190.2456,-17.5589,15.5198
3.7494,-8.8980,-11.0779,-207.7494,-24.1579,12.1251
4.7873,-7.9613,-8.6809,-216.2312,-22.9059,2.3448
5.3414,-6.1276,-5.5286,-210.7128,-16.0434,-11.7464
5.5907,-5.5076,-1.9605,-187.7804,-21.4896,-37.4999
6.5400,-4.4511,0.7242,-129.9329,-50.4205,-75.6909
3.7480,-4.4112,1.2680,-70.5846,-65.5986,-116.5968
-3.5206,-5.4095,1.1991,-32.9355,-59.0356,-101.3883
-7.3723,-6.5070,-0.2835,9.6515,-68.4785,-50.3652
-8.9077,-7.7188,-3.9249,17.1552,-65.8714,-6.8403
-11.4665,-8.4343,-6.1403,3.1552,-22.0961,35.3871
-15.2652,-8.9265,-6.2178,-10.0861,30.7257,148.2018
-12.3219,-8.9840,-5.7472,-16.1976,71.1730,219.9375
-6.1629,-9.3123,-4.9664,-16.5219,134.5143,256.2776
-1.5339,-10.0452,-3.5550,-8.3899,144.0380,261.8436
5.8692,-11.2906,-3.0828,9.6817,113.6454,242.9844
12.3244,-12.0973,-4.4999,36.9767,96.6634,196.1987
16.5037,-11.4126,-7.1269,34.7712,85.5231,114.1085
16.7949,-9.9271,-5.4174,24.7476,42.9046,30.3205
15.9772,-8.7108,-3.2071,36.2697,21.3952,-57.5571
13.0355,-7.7571,-3.4515,52.7400,3.2272,-107.9907
10.1678,-7.0348,-3.5862,57.6073,-42.8199,-132.5253
8.6406,-6.4534,-4.4091,60.0076,-88.8747,-150.3375
6.8833,-5.9945,-5.4137,53.7975,-109.1381,-175.3377
5.1957,-5.8897,-5.6031,51.7481,-124.1973,-195.4847
0.4037,-6.3090,-7.2921,60.2052,-125.8057,-217.8312
-6.0010,-6.6084,-9.8774,52.6539,-82.9069,-172.7733
-4.9129,-6.0648,-10.5027,27.9010,-78.6088,-129.3037
-3.9469,-5.6612,-10.4691,8.5688,-77.2780,-123.3877
-6.5016,-6.1490,-9.1101,4.6280,-54.8738,-112.0562
-8.5699,-6.9568,-9.2349,9.9722,-46.9709,-78.9292
-11.0872,-7.9121,-10.7369,8.3896,-41.6770,-24.2327
-12.2098,-8.6726,-11.4123,-3.1985,-22.4585,35.1684
-14.4286,-9.3152,-10.7503,-15.3116,32.6468,110.1817
-12.8592,-9.4182,-11.1007,-28.6873,82.5165,178.2144
-10.7364,-9.3439,-9.8426,-48.0867,106.7846,216.5373
-7.5376,-9.1703,-5.9966,-46.1115,90.0560,238.2763
-4.0922,-8.9196,-3.8007,-23.0715,76.3612,240.1823
0.1602,-9.2810,-3.4456,-5.9382,75.5906,231.4152
5.5059,-10.1019,-3.2294,8.8870,70.1420,215.2404
11.4912,-10.3104,-2.9100,19.8014,58.4486,180.8606
15.3912,-10.5720,-3.5379,34.4282,48.8225,115.2551
15.7241,-10.8691,-5.2342,41.4281,39.0074,59.6059
16.0525,-10.6301,-6.7563,30.9789,34.3856,1.3430
15.9584,-9.9241,-5.7598,19.8247,23.2319,-51.3004
13.9472,-9.1101,-5.1616,17.9576,-2.7435,-102.2559
13.3313,-8.3799,-4.7536,11.6933,-29.2636,-149.8001
11.1298,-8.2306,-3.4876,15.7338,-51.7013,-204.2480
6.9574,-8.5775,-2.6958,33.9899,-74.2428,-233.5830
2.2284,-8.7702,-4.1211,44.9206,-95.7297,-244.7072
-4.1224,-8.9449,-5.6132,47.0781,-107.8616,-218.3232
-7.1305,-8.4266,-7.9560,40.1813,-90.0132,-164.8767
-7.1171,-7.5979,-8.3723,27.2374,-76.5893,-131.8096
-7.2991,-7.2279,-7.8753,18.5889,-71.8382,-103.7322
-8.4867,-7.4379,-7.7351,18.8146,-59.6216,-69.4214
-8.0832,-7.7463,-8.3392,21.6862,-43.8444,-32.9676
-7.5855,-8.0303,-9.1040,16.6330,-28.1679,-2.6998
