ax,ay,az,gx,gy,gz
-0.2597,1.5835,-9.6010,-0.9794,7.8456,3.0404
-0.3521,1.6149,-9.7242,0.1966,4.8325,1.4697
-0.3140,1.6129,-9.8913,-0.2205,2.6221,0.2969
-0.2066,1.6122,-9.5717,-1.8617,1.5740,-0.5913
-0.2388,1.5658,-9.4561,1.7422,1.4520,0.1512
-0.0960,1.5963,-9.7732,2.6283,-1.1675,-0.6071
-0.1343,1.5220,-9.8186,0.7891,-1.7462,-2.4683
-0.5644,1.5241,-10.1277,-0.9963,-0.2484,-2.4502
-0.5512,1.5682,-10.0145,-4.7835,0.0525,0.2124
-0.4422,1.5915,-9.7331,-8.1449,2.9119,1.5668
-0.4017,1.5604,-8.9872,-6.8692,5.6934,3.1172
-0.3107,1.5106,-8.3245,-2.7369,7.8116,4.5349
-0.3004,1.4562,-7.5565,3.5014,7.7693,6.8271
-0.5066,1.2415,-6.4960,7.3323,7.1624,15.4522
0.1547,0.8881,-4.8206,10.4160,-2.6887,27.2714
0.6254,-0.0939,-1.0045,24.2452,-10.8232,28.8131
0.5878,-1.1762,0.7530,76.1525,-2.8906,21.1233
0.2329,-2.0362,0.8587,122.5581,-11.3250,21.1826
0.5585,-4.1073,0.1257,171.2423,-29.5591,16.9493
1.2903,-5.5076,-4.3269,174.2177,-38.6266,10.5443
0.4951,-5.6671,-8.9829,160.3126,-31.9925,14.8660
0.3113,-5.9640,-7.3748,360.7145,154.8333,32.1802
1.4656,-3.2410,-15.0106,162.8237,92.6942,-12.3089
4.7085,-2.9816,-16.2824,118.3096,58.9080,15.9306
3.6446,-3.3020,-17.8632,110.2920,50.4383,-11.2300
1.6336,-3.7695,-18.5182,66.3449,29.6191,-23.4277
0.8132,-3.8172,-18.3033,22.2636,7.7217,-29.7141
0.4667,-3.7152,-17.8922,10.7092,-12.4131,-30.5716
0.1443,-4.3143,-17.6681,-15.9737,-10.8991,-13.8428
0.7307,-4.8927,-14.7983,-52.1321,-21.3816,-0.6116
2.4509,-4.8807,-13.9821,-71.7032,-43.8025,0.6067
3.8326,-5.1382,-14.7292,-91.1231,-65.0728,-36.1673
3.1491,-5.5375,-16.0610,-106.0995,-80.1953,-104.8328
-0.8544,-5.7885,-19.7778,-166.3871,-152.7218,-147.7908
-3.4155,-6.3293,-17.1793,-253.0486,-157.9763,-111.4397
-4.7947,-6.3226,-12.4888,-265.8661,-114.1258,-44.4598
-2.6291,-5.2739,-8.0868,-247.5740,-45.7215,29.1856
-1.7214,-4.1277,-1.5635,-192.1207,50.9555,104.1764
3.1436,-1.1186,-1.5585,-166.4740,64.4283,61.8150
2.5955,-0.3996,1.9906,-98.4848,32.5302,41.8832
3.3023,0.3590,1.2647,-35.6913,-7.2205,12.8786
2.7134,0.6637,-1.5541,1.0105,-43.5629,-14.1303
1.7990,0.9838,-4.0645,21.1773,-34.0409,-28.8386
-0.1669,1.1342,-5.4380,21.8255,-35.9422,-36.3347
-1.3756,1.1480,-6.4080,15.8033,-55.2016,-24.5655
-1.9718,1.2889,-7.3905,23.9020,-44.4461,-21.0628
-3.3385,1.2181,-8.6285,24.9749,-23.3496,-20.5121
-6.3345,1.1785,-10.0605,22.9150,-0.2038,2.9726
-9.4802,1.2462,-11.3161,16.6583,7.9519,27.6166
-11.3341,0.9620,-12.5360,1.1873,15.4539,63.5960
-14.9071,0.5896,-14.3959,-34.0504,48.2796,126.9297
-17.8128,-0.1925,-14.2916,-78.1225,71.2031,228.7964
-12.3645,-1.8523,-10.4322,-117.1537,18.2403,332.0439
-0.8405,-1.7865,-6.4905,-93.4861,31.6861,338.3106
5.7763,-1.1812,-4.3055,-47.2740,63.1256,283.1879
9.7258,-1.5339,-4.1421,7.2761,72.4739,200.6466
11.4932,-2.0258,-5.3190,45.6714,67.5110,138.4696
12.5250,-2.0083,-8.5766,20.6129,29.8370,102.8981
14.2235,-1.5633,-8.7979,1.5807,-8.3764,29.2740
11.7844,-1.3431,-7.3012,11.6258,-23.9183,-8.5340
11.3614,-0.9413,-6.3800,25.1902,-39.7962,-33.4399
10.6024,-0.8506,-6.4371,51.9563,-19.7714,-84.1067
8.8222,-1.0163,-7.8314,77.9480,-11.2558,-133.9384
6.1141,-0.6211,-8.0029,83.3163,-13.9790,-146.8115
5.4919,-0.8731,-7.4747,85.7052,-23.4079,-144.3047
7.4688,-1.0828,-8.0252,73.5056,-29.3090,-178.5851
7.1230,-1.8722,-7.0715,97.8178,-18.8440,-251.1476
-0.0599,-2.8030,-8.3316,117.1432,-11.0976,-277.7011
-6.4188,-2.1504,-10.9855,108.7742,-20.7019,-219.0596
-8.4966,-1.5824,-13.0471,82.2629,-42.5626,-144.6437
-6.6493,-1.1086,-13.4034,51.9892,-33.7694,-101.3786
-6.8969,-1.1506,-12.6692,28.5638,-11.9363,-70.7609
-7.7129,-1.5678,-11.1611,25.9025,16.7289,-37.2939
-7.2538,-1.8693,-9.8925,19.4486,1.4548,-13.1036
-5.8811,-1.8307,-11.0821,2.8455,-0.1970,10.6831
-4.5424,-1.9249,-10.7688,-4.3929,3.8241,29.1672
-3.5142,-1.7635,-10.4597,-8.2424,14.6545,36.6061
-3.5431,-1.4429,-10.2128,-10.2377,29.3743,43.6964
-4.3009,-1.3326,-9.9936,-6.7746,38.9401,60.1313
-6.2996,-1.2311,-11.3874,-5.7761,64.3260,85.1735
-9.5989,-1.2743,-13.9735,-37.1161,73.3308,146.3050
