ax,ay,az,gx,gy,gz
1.0209,0.5572,-9.8191,6.4476,0.9575,5.6345
0.8634,0.5495,-9.6756,7.7459,-0.1420,7.6439
0.8843,0.5119,-9.5925,8.9790,-1.8861,8.7385
0.7917,0.4797,-9.3894,11.6613,-1.9900,11.4078
0.9739,0.4928,-9.2280,14.9624,2.1414,12.9336
0.8533,0.4720,-8.9678,19.7741,5.8082,14.4679
0.6987,0.4580,-8.8124,25.8613,6.5929,18.7452
0.6862,0.4640,-9.0790,31.8659,6.5258,22.1752
1.0068,0.3857,-9.2140,37.0368,4.1388,21.4326
1.1344,0.3977,-9.6278,38.0827,4.1584,19.2826
1.0757,0.3535,-9.8962,37.1079,11.3314,18.3428
1.5940,0.1544,-10.4410,36.1300,13.2581,18.0953
1.8723,-0.1467,-11.5712,30.5146,19.4619,15.1308
2.0637,-0.4192,-12.8537,14.5401,20.6237,17.5760
3.1570,-0.6256,-15.4962,-16.6832,9.8324,19.2654
4.1136,-0.8806,-15.3576,-67.0819,12.1981,10.8758
4.1081,-1.0253,-14.6455,-103.9940,8.5031,-6.4976
3.6247,-1.0627,-13.3738,-127.7848,5.3470,-19.3109
3.2278,-1.1871,-12.1215,-134.3005,-5.5606,-22.8075
3.7470,-0.8044,-11.4129,-144.3953,-11.7973,-33.0499
4.2763,-0.4993,-9.4827,-141.4575,-12.3821,-45.1754
4.1325,0.0168,-8.1326,-125.5790,-16.1553,-62.4758
3.7468,0.5852,-6.9270,-106.6168,-13.7789,-79.0534
3.4175,1.1831,-5.5136,-82.6764,-10.1359,-91.6344
3.2491,1.7869,-5.1789,-62.6139,-13.4070,-110.7598
2.1822,2.0618,-4.1208,-41.1018,-18.5440,-122.8794
1.1871,2.3382,-4.0542,-13.9552,-24.0019,-128.7974
0.9497,2.3215,-4.1545,16.4870,-26.3421,-142.2370
-0.3204,2.2399,-5.5544,31.8450,-21.7098,-146.9944
-1.0909,2.1383,-6.4861,36.4805,-6.3371,-143.9982
-1.1612,1.9768,-6.4159,42.4133,15.2899,-137.8326
-1.8548,1.6907,-6.2007,54.5943,26.0445,-132.8926
-2.7503,1.6373,-6.7864,63.9930,22.5685,-119.3785
-3.2247,1.4461,-6.9388,64.3608,12.3765,-100.8513
-3.7160,0.9263,-7.3971,73.1474,3.7271,-83.4484
-3.6695,0.6071,-7.5794,76.6014,4.1632,-67.8837
-3.8815,0.1804,-7.3926,85.2251,2.7773,-52.4603
-3.5538,-0.4533,-7.7361,92.3654,-1.1882,-43.2467
-3.3024,-0.6882,-8.6883,92.8883,4.0198,-35.2395
-3.5452,-1.0957,-8.3698,88.8815,11.6977,-24.3405
-3.6102,-1.2521,-8.3958,94.8739,11.4230,-10.5206
-2.7168,-1.4238,-10.2100,94.9401,-0.2770,-7.2136
-2.2980,-1.9791,-10.2201,87.9277,25.0348,-22.9255
-1.7769,-1.7995,-14.3360,90.2796,27.2245,-18.1764
-3.6010,-2.3505,-13.1181,98.9706,24.8924,5.7986
-4.0041,-2.6360,-12.7027,95.8114,22.5315,28.7410
-3.2712,-2.7755,-12.3414,84.7761,25.3012,42.7587
-3.0084,-2.8022,-11.8490,87.5083,32.6411,59.5896
-2.6532,-2.9857,-12.0277,83.7484,39.3127,69.7004
-1.4831,-3.2057,-12.6146,65.1404,54.3166,72.6697
-1.3259,-3.2154,-12.0615,43.4905,77.0613,74.7783
-0.6813,-3.3172,-11.0951,28.4276,86.5747,74.2265
-0.1020,-3.3664,-12.0994,12.4874,89.7278,82.5629
1.6066,-3.2880,-13.3260,-14.0439,84.7866,80.8221
1.7102,-3.7467,-13.2436,-32.5241,83.3264,73.7652
1.3422,-4.4449,-13.6113,-50.4563,78.7834,76.0150
2.1755,-4.5095,-13.2043,-69.6877,82.2444,72.8640
3.1554,-4.0829,-12.3422,-90.5319,76.1191,60.3990
2.7385,-3.5759,-10.7400,-105.1899,70.0994,52.9104
2.4746,-2.8181,-8.5378,-109.0833,52.9103,51.5745
2.8422,-1.9374,-6.5205,-98.3675,25.6292,54.2463
3.2507,-1.2527,-4.9485,-78.2140,5.1226,53.7077
