ax,ay,az,gx,gy,gz
1.0936,-3.9991,-8.5259,13.7669,-12.6054,-5.6912
0.8289,-4.0469,-9.1063,18.4555,-17.6350,-4.4491
1.0405,-3.9535,-9.8414,15.8533,-9.7736,-6.0622
0.6436,-4.0835,-9.4942,8.7487,-6.4349,-2.8686
0.8544,-4.0257,-9.0622,8.6193,-2.1982,3.7127
1.0190,-3.9163,-9.2217,11.3917,-5.3595,0.1356
0.9635,-3.8670,-9.9479,6.8049,-3.1613,-0.6976
1.2065,-3.9050,-9.7988,3.7997,-4.3940,-1.3242
1.4876,-3.9374,-9.1632,5.1328,-23.7667,-5.1982
1.3257,-3.9935,-9.0169,1.7435,-30.3791,-11.9659
0.5467,-4.2838,-8.3565,-0.0687,-17.9632,-6.4821
0.2886,-4.4051,-7.4137,4.2680,-7.2067,-1.2233
-0.8716,-4.8625,-6.1395,8.0166,12.2886,10.3945
0.0009,-5.5315,-3.6414,16.7576,4.0293,15.5229
0.5151,-6.0887,-1.5006,35.7881,-12.4914,11.4098
0.0685,-6.7743,1.1982,56.2573,-16.4938,9.9840
-0.1063,-7.0443,2.4709,92.5144,-29.0869,6.2134
-0.0087,-7.5579,2.7755,133.4938,-38.7759,0.3298
-0.0967,-8.2464,1.3407,160.9261,-42.3782,-4.2450
0.2257,-8.5434,-0.9965,171.5460,-54.7278,-13.2305
-0.8707,-8.2985,-2.4538,170.8823,-55.8060,-19.5874
-0.8920,-8.9416,-3.8779,190.8493,-58.0053,-26.1630
0.1627,-10.2867,-8.5968,203.0508,-65.4976,-41.8873
-0.4635,-11.5106,-13.3789,180.7624,-38.5958,-50.9677
0.1085,-12.2713,-16.5898,126.2480,-14.6153,-53.6956
-0.6868,-12.7843,-20.6308,64.6433,-5.2424,-48.4588
-0.2685,-12.5159,-23.8436,-17.6531,7.9702,-39.7579
0.5261,-12.1094,-20.1917,-106.1174,30.2130,-22.2185
3.8938,-11.6451,-15.2694,-142.2856,44.2473,-28.6850
4.0177,-10.8841,-12.0862,-168.6886,47.2182,-38.1281
5.2600,-9.9243,-9.0331,-176.1594,-34.3360,-61.6948
4.8725,-9.2024,-6.0865,-168.8478,-92.3692,-71.5775
4.5224,-8.2034,-3.8365,-148.3630,-93.5430,-77.8279
2.9366,-7.1778,-2.1661,-118.0425,-87.7299,-81.4949
1.1675,-6.2769,-1.8097,-91.6060,-75.6809,-79.9194
-1.3777,-5.8695,-1.2963,-53.0167,-46.2723,-70.9050
-3.9810,-5.8601,-2.1668,-20.0869,-14.0029,-37.1405
-5.9274,-5.9688,-3.2853,2.0352,20.7536,-9.1228
-6.7998,-6.3146,-4.6266,12.5231,54.5188,31.5707
-6.5706,-6.9132,-5.5579,19.1408,74.6129,60.9966
-7.0846,-7.2436,-6.0956,16.3789,109.0769,90.0276
-6.1854,-7.4961,-5.6986,12.4561,163.6732,127.6682
-3.9922,-7.5216,-6.2121,7.3970,199.8109,159.0404
-1.2206,-7.3675,-5.7392,-11.9388,224.7266,176.1172
1.1011,-7.8134,-4.2746,-7.2407,184.8215,189.3183
7.2893,-9.0944,-4.4929,13.3001,118.7456,182.1793
13.1373,-9.7712,-5.9628,7.9014,64.3843,123.8301
14.8360,-9.6889,-6.0636,4.5310,5.2009,68.5391
13.4775,-9.3191,-6.2910,-1.9521,-52.0236,16.7831
10.6520,-8.8838,-6.5025,5.2467,-99.7862,-15.9485
7.8536,-8.2380,-8.1859,4.3177,-121.4878,-40.0148
3.9681,-7.8629,-9.8498,-3.5964,-118.5319,-57.2613
1.0851,-7.3333,-10.5753,-11.3395,-113.2253,-44.4405
0.0677,-6.6299,-11.0426,-26.5168,-104.2438,-40.6458
-0.6944,-5.8169,-11.5570,-42.5025,-93.8422,-36.3120
-0.9227,-5.3954,-10.9577,-56.0703,-77.2277,-33.9976
-1.7714,-5.2710,-11.0046,-63.9977,-73.9046,-30.4214
-2.4751,-5.2128,-10.8330,-72.7997,-61.7082,-13.5724
-1.7984,-5.1205,-9.9954,-88.6934,-39.1533,4.2587
-0.7165,-5.0002,-7.8929,-90.7603,-24.8684,11.1849
-0.0354,-5.0359,-5.7193,-79.5284,-11.9351,12.4655
0.2990,-4.7245,-4.5317,-64.7332,7.6676,11.5842
0.1612,-4.3960,-3.3388,-49.7002,11.2524,7.0187
-0.1904,-4.0982,-2.6481,-39.7569,11.7937,6.5509
-0.4110,-4.1266,-0.6501,-26.9917,15.9710,10.9168
-0.3547,-4.5327,0.9661,5.3150,11.7745,11.6845
-0.4159,-4.9248,0.5459,39.2855,3.9933,11.3999
-0.0224,-5.2480,-0.1861,59.7141,-1.7580,10.6123
0.1659,-5.5811,-0.6128,70.7507,-6.7017,7.5171
-0.2260,-6.3217,0.8916,98.5340,-24.9800,9.4467
-0.1572,-7.2935,-0.0658,133.6973,-51.6828,6.2104
0.0863,-8.0432,-1.7290,154.5584,-70.5686,-0.7672
0.0391,-8.8660,-3.1544,158.5597,-66.8716,-7.8848
-0.7663,-9.7840,-3.8080,167.1061,-51.9133,-8.1458
-0.9802,-10.7833,-6.1744,175.3537,-50.1342,-11.2842
-1.3765,-11.4027,-9.1964,164.0942,-25.6971,-13.8817
-1.4131,-11.7385,-11.1913,139.4254,-7.5022,-13.4822
-2.0818,-11.7569,-11.7055,108.4096,-6.3741,-8.0969
