ax,ay,az,gx,gy,gz
-0.3403,2.0207,-9.6660,-0.6622,1.7045,1.2614
-0.1508,2.0424,-9.5743,-0.7730,1.7990,0.9305
-0.0984,2.0337,-9.4773,-0.3956,2.1737,0.1666
-0.0949,2.0447,-9.4099,0.5975,1.6906,-0.2638
-0.1310,2.0808,-9.4291,1.7092,0.2340,-0.2664
-0.1021,2.0865,-9.4829,1.9408,-1.6522,-0.3097
0.0391,2.1032,-9.4957,2.1172,-1.7283,-0.7905
0.1644,2.1588,-9.4691,2.7775,-1.4214,-1.6140
0.3987,2.2040,-9.4296,3.5038,-2.7323,-2.5317
0.5322,2.2940,-9.4514,2.4862,-4.1812,-2.3068
0.9513,2.3096,-9.0365,1.4070,-10.4898,-1.5851
1.6483,2.2236,-8.6380,2.6635,-21.0501,-1.1715
3.3404,1.9099,-8.4996,3.8378,-38.4442,-10.1109
4.4200,1.4883,-9.2687,5.4009,-49.8328,-32.5500
2.8584,1.0785,-9.7879,6.1914,-29.5391,-66.5562
1.0556,0.8031,-10.4988,6.5059,-20.4108,-88.2636
-0.4858,0.6992,-11.0438,0.1825,-15.4721,-96.2263
-1.2201,0.8222,-11.1080,-12.6598,-13.5914,-103.2722
-3.1317,0.8768,-10.7042,-24.5132,-1.7161,-108.3516
-6.1744,0.8438,-9.7021,-24.2561,10.4692,-88.3715
-8.0593,0.9287,-9.1622,-20.4869,9.9647,-52.4776
-8.0976,0.9855,-9.0223,-16.4162,3.5261,-27.8275
-8.6171,0.9188,-8.8859,-8.8958,8.5088,-6.5553
-9.0111,1.0219,-8.9498,-2.4474,19.5110,18.6835
-10.1562,1.0053,-8.8974,0.9613,30.6322,51.5699
-10.1018,0.9007,-9.2454,2.4440,29.4937,89.6908
-9.8179,0.6344,-9.4559,0.4629,26.0482,136.0902
-8.0625,0.2979,-9.6607,1.1077,24.4244,175.0780
-5.5026,-0.2077,-9.3647,3.6824,28.4989,197.3343
-2.6226,-0.5098,-10.0393,1.7565,31.1316,205.7684
1.5777,-1.0506,-10.4461,-6.0485,26.9107,201.9591
5.5570,-1.3177,-10.5100,-21.2505,22.7023,177.3042
8.6877,-1.2453,-9.7113,-24.0116,16.5602,139.0867
11.0139,-0.7555,-9.5404,-24.2673,22.4195,70.9848
12.2074,0.0359,-9.5070,-19.1426,31.1573,-5.0458
11.2531,0.7945,-10.1795,-19.6325,35.1819,-53.6317
9.3577,1.5142,-9.9573,-13.7160,65.7810,-99.3480
6.0765,2.0109,-9.8890,-5.4190,72.0552,-107.7175
4.6586,2.4505,-9.5189,-2.7078,61.6544,-87.3183
3.8841,2.6802,-9.0144,-1.0811,52.2476,-70.0978
4.0859,2.6996,-9.3669,-7.8941,40.3702,-81.2432
2.8119,2.5344,-7.2250,-16.3791,31.4717,-91.3256
-0.0434,2.7050,-6.6321,3.4261,21.0188,-84.6317
-1.6809,2.7065,-6.4135,21.6326,9.9054,-63.0017
-1.7965,2.5919,-5.9778,33.4287,-3.9576,-47.8203
-2.1306,2.2293,-5.5884,47.2683,-16.9337,-36.5535
-2.7736,1.6788,-5.5458,61.4574,-23.9934,-15.1693
-2.3897,1.0160,-5.3761,66.3865,-44.5045,-1.3080
-1.6578,0.1154,-5.0579,70.2023,-58.1448,2.6056
-1.3839,-1.0122,-4.5049,86.1351,-67.9977,6.7338
-0.5977,-1.7865,-5.0023,99.5554,-60.0323,1.4641
-0.4953,-2.3511,-6.1742,110.3744,-42.1955,-0.4640
-0.9415,-2.7082,-7.1476,98.7894,-21.6111,2.8150
-0.7905,-2.9397,-6.9067,92.2411,-3.0103,6.1427
-0.9523,-2.9424,-7.6437,94.8619,13.3682,18.2145
0.4413,-2.5574,-8.8186,83.7661,45.6795,25.2516
4.2894,-2.6808,-14.3575,133.7220,110.8834,-1.2834
1.5674,-3.8854,-10.3201,151.0278,100.3272,4.4278
0.6515,-3.5694,-11.7709,118.7582,58.1517,33.5062
0.0594,-3.3313,-12.6046,79.5761,26.3660,75.2540
1.6507,-2.6804,-12.9680,59.2233,-4.5312,46.5139
0.6875,-2.7096,-12.2943,59.8077,-37.6037,45.0675
2.6411,-2.8019,-15.1642,73.4853,-15.1900,14.6092
1.5311,-3.0461,-16.9371,54.1446,36.1289,-1.8510
1.7839,-3.2672,-19.4002,84.3822,101.3512,-1.4037
2.6711,-2.9488,-16.8995,21.4323,88.3156,-56.2709
1.3730,-5.1965,-15.5183,-44.4138,137.7104,34.5173
5.5937,-4.9037,-13.5078,-64.5860,183.6642,44.2140
8.3421,-4.2051,-10.9127,-53.8565,97.5905,-12.7050
7.6261,-3.8292,-9.2376,-55.8674,-7.1705,-44.1192
7.2144,-3.4664,-8.0582,-56.2038,-75.4068,-59.6531
6.6933,-3.2500,-7.4419,-52.7130,-109.5958,-72.1982
6.2122,-3.1552,-7.2486,-48.7530,-118.5630,-89.7498
4.5887,-3.3769,-7.0103,-33.2265,-120.9086,-128.1335
1.4358,-3.3930,-6.9069,-11.6225,-107.1323,-144.5018
-1.5447,-3.1142,-7.8396,0.3874,-84.4966,-127.4538
-3.7420,-2.9946,-8.1935,5.3346,-65.7119,-105.8767
-3.5415,-2.7943,-9.2910,2.7932,-45.6355,-84.8579
-3.5424,-2.9278,-9.3703,2.8779,-18.4279,-63.4289
-5.1161,-3.0011,-9.4134,-4.1272,1.5859,-49.4655
-5.3532,-3.4567,-9.1972,1.7260,0.3609,-4.2485
-4.6119,-3.8196,-9.8632,-0.7079,11.5906,21.3716
-4.1326,-3.9985,-9.8141,-5.4274,28.9139,39.1942
-4.2329,-3.9948,-9.3335,-5.1557,35.9752,56.4854
-5.2150,-4.0769,-9.2778,-0.6221,44.3483,84.1022
