ax,ay,az,gx,gy,gz
0.5277,2.0845,-9.4478,-0.8266,-2.9351,-3.2646
0.2320,2.0793,-9.3059,3.2078,-2.8288,-7.6140
-0.7443,2.0340,-9.6615,3.3379,-1.1849,-8.9653
-1.3604,1.8863,-9.8808,3.5160,-0.1515,-5.7518
-2.4469,1.4415,-10.0459,4.1349,2.8307,-3.2508
-4.5851,1.0483,-10.1980,5.0133,11.0981,9.0820
-5.5828,0.8112,-10.8492,1.7381,15.7364,28.7409
-6.2334,0.3423,-11.0104,-9.2169,27.7817,56.9624
-6.5095,0.0779,-10.5645,-19.0129,35.6090,83.7440
-6.5272,-0.1051,-9.5514,-26.1559,35.9416,129.8043
-4.1829,0.0065,-8.0851,-22.0015,36.2425,168.3621
-1.2014,0.3016,-7.4152,-5.1331,51.6620,183.8723
2.7627,0.5170,-8.6153,3.0116,58.1765,181.9513
6.1812,0.5825,-9.5856,-7.1507,54.1092,176.6349
9.1867,0.4559,-8.9372,-14.5660,49.0347,157.2390
11.7657,0.2499,-7.9876,-12.3744,49.8817,128.7005
13.5929,0.3322,-8.3302,-6.9083,39.8925,75.9141
14.7205,0.4456,-8.3599,-8.1052,19.1009,27.0513
14.8781,0.3380,-7.7320,-9.7195,-5.3566,-29.0593
14.0792,0.2376,-7.1940,-7.4536,-26.3414,-73.3019
12.7038,0.0507,-6.6515,0.9503,-54.6691,-127.9534
11.6754,-0.3263,-6.4529,11.7965,-71.5882,-173.5121
9.8398,-0.9805,-5.7226,23.3193,-56.2767,-226.2428
2.9517,-1.4022,-6.7806,45.3955,-51.8704,-257.7606
-4.0795,-1.4144,-8.9363,58.2255,-52.1824,-246.9934
-10.7326,-1.0677,-11.1108,46.7241,-48.4711,-174.0503
-10.7057,-0.3131,-12.3333,29.4192,-45.6878,-89.8556
-8.2170,0.3099,-12.9782,9.2151,-34.3385,-47.6310
-7.0740,0.7450,-11.3071,-6.4948,-20.6345,-25.7726
-6.5933,0.9672,-9.9881,-11.4811,9.3483,-14.5044
-6.1196,1.1103,-9.9128,-7.8595,20.8987,6.4589
-3.3580,1.2768,-9.7820,-8.7366,3.8726,25.8426
-1.1959,1.3343,-9.3035,-14.9863,-10.6571,30.9842
0.2032,1.3284,-7.8942,-13.5111,-21.8332,25.6119
0.7224,1.3607,-7.1606,10.6787,-22.2339,13.1903
0.0156,1.3504,-7.3816,25.9092,-9.8753,7.8685
-0.5365,1.2887,-7.5099,33.8237,-5.8853,8.5750
-0.9781,1.0193,-7.4456,40.8083,-8.3018,18.7187
-0.5803,0.8083,-7.6276,46.8749,-12.1293,23.5555
-0.4163,0.6898,-7.2389,53.7985,-12.7671,22.7404
-0.2675,0.3458,-6.8249,65.0672,-18.4158,22.6690
0.0136,-0.0417,-7.6803,76.6318,-22.8129,20.9125
-0.2837,-0.3774,-8.8303,72.3821,-19.2097,23.9226
-0.0217,-0.4880,-8.5300,75.6225,-11.7489,20.3576
-0.2228,-0.7740,-8.3356,79.8621,-5.4085,19.6978
-0.2453,-1.0290,-8.4456,81.8862,-1.6634,19.9832
-0.0496,-1.2544,-8.5297,85.8527,0.0796,21.6562
-0.4760,-1.8051,-7.2838,84.5227,8.3597,29.9085
-0.6255,-2.2086,-7.5747,90.9479,4.9528,15.7006
0.0556,-2.4124,-10.1973,98.5622,8.0227,6.8021
-0.0884,-2.9372,-10.8663,96.1125,2.9220,10.9746
0.3471,-3.2728,-10.9595,82.2828,2.5784,12.1711
0.8085,-3.3689,-11.2156,70.3315,1.5145,10.7084
1.1909,-3.4417,-10.6807,56.7673,-2.9972,10.1264
1.2076,-3.6032,-10.2085,51.2438,-9.5129,9.9791
1.5918,-3.7856,-10.3837,46.6858,-7.6377,-0.7007
1.4046,-3.9735,-10.5860,43.3549,-9.2941,-15.9507
0.9296,-4.1260,-10.4331,40.0908,-9.8688,-21.0070
0.7867,-4.1723,-10.3722,38.3284,-9.8867,-22.5551
1.1073,-4.2253,-10.3855,34.8033,-11.5377,-25.4471
1.6268,-4.3415,-10.2870,30.2396,-12.1524,-33.6365
1.3061,-4.4828,-10.1470,28.4237,-11.4276,-43.6808
0.4553,-4.4670,-10.1460,25.1724,-11.2656,-48.4359
0.0188,-4.5125,-10.2494,18.9474,-14.6573,-47.6305
0.0238,-4.5508,-10.0340,13.0987,-17.4820,-46.8042
0.0978,-4.6352,-9.8965,10.2658,-18.3109,-49.6787
-0.2445,-4.6371,-9.9714,7.6635,-19.0200,-54.6157
-0.5132,-4.6379,-10.3009,3.7198,-23.1376,-55.6528
-1.3002,-4.7765,-10.2793,-1.6005,-27.4313,-51.3028
-1.5585,-4.8979,-10.4090,-8.1429,-30.3198,-31.8277
-1.2838,-4.9347,-10.4174,-13.1906,-30.7526,-32.5927
-0.9210,-4.9954,-10.2651,-17.6436,-25.8249,-36.5639
-1.5690,-4.9015,-10.1498,-20.3005,-17.8371,-36.1631
-1.8528,-4.7834,-10.0809,-25.0666,-17.5671,-25.5931
-1.2453,-4.7768,-10.3387,-29.6183,-14.5514,-21.9353
-1.1103,-4.7280,-10.2309,-32.8203,-5.8070,-22.5873
-1.2755,-4.5991,-10.2428,-34.4736,-0.9369,-19.5592
-1.0387,-4.4066,-10.7604,-34.4571,-0.6007,-17.6379
-0.9531,-4.4194,-12.2256,-39.7190,4.9701,-21.8468
-1.7777,-4.6694,-13.1832,-52.0546,11.0643,-23.6058
-2.3047,-4.8092,-13.9446,-77.6995,11.8453,-12.5464
-1.5606,-4.7841,-13.2188,-112.5177,18.0567,-1.7396
-0.9302,-4.3621,-9.5039,-131.0077,21.5819,10.4420
-0.0542,-3.3931,-7.5014,-126.4789,20.8350,15.2467
0.8419,-2.4227,-6.4741,-114.5193,20.0320,10.3305
0.8008,-1.6101,-4.7600,-90.7521,18.3216,4.0332
0.8450,-0.9409,-4.3604,-62.4131,8.4950,1.2747
0.8539,-0.5767,-4.8670,-36.6807,-0.3040,-0.1179
