ax,ay,az,gx,gy,gz
6737,-0.2507,-9.6110,-1.2731,2.5258,0.4087
0.4572,-0.1292,-9.6619,-0.5946,4.1488,0.2962
0.4403,-0.0578,-9.7340,-1.5469,3.4038,-0.6337
0.4162,-0.1360,-9.8722,-4.7497,-1.7397,-1.7624
0.4326,-0.1960,-9.4028,-2.5258,4.7277,-2.3800
0.2288,-0.2054,-9.6943,-2.4839,3.7184,-0.8977
0.6260,-0.2092,-9.6893,-1.0763,-3.5955,-0.9823
0.7466,-0.1415,-9.6008,-0.3898,-4.6089,-1.9854
0.6130,-0.0742,-9.9719,-1.8448,0.5092,-3.7753
0.5109,0.0130,-10.2204,-9.2095,-3.8187,-2.9281
0.4847,0.0881,-10.2703,-9.9481,1.8352,-1.5794
0.6961,0.1814,-10.5668,-12.8130,-3.3754,1.9075
1.0021,0.4576,-12.0391,-10.6232,-8.8204,-2.3950
0.5793,0.9018,-13.5527,-18.8138,-7.5729,-6.4251
-0.7444,1.0411,-14.2241,-35.4757,-4.9271,-2.2122
-0.3750,0.9467,-14.9206,-58.4165,-9.3957,6.3764
0.8439,0.8370,-15.2640,-85.7522,-6.1159,2.7128
0.4385,0.3756,-13.2165,-110.9169,4.7145,-5.0250
0.4444,0.4225,-10.9466,-120.6767,7.1271,0.8316
1.1469,0.8590,-9.0840,-125.0658,11.2060,-5.1834
0.7982,0.8541,-6.3834,-118.0454,13.5033,-1.0437
1.1465,1.2065,-3.6866,-96.8335,19.8544,-3.6114
0.9739,1.4822,-2.8095,-72.5880,24.5732,-11.2503
0.8331,1.3095,-1.7459,-52.3198,17.4732,-15.5963
1.5234,0.5866,0.4465,-20.9054,14.7325,-15.6817
1.8356,-0.2917,2.6242,12.7944,11.4925,-21.7850
1.6975,-2.2375,5.6489,75.6004,1.7737,-36.8157
0.4699,-3.6255,7.6217,157.7005,7.3479,-41.1946
-0.1541,-6.1544,10.9943,270.4902,17.2367,-23.9703
2.3178,-9.1460,7.1149,393.5100,-4.6653,-42.2371
1.1460,-11.1835,-5.0556,432.1739,-27.5837,-70.2420
0.0689,-12.0576,-16.0098,388.1293,-42.6033,-51.6284
0.5480,-12.0279,-20.3049,289.3013,-71.0443,-58.7633
-0.9442,-12.1832,-23.6678,228.2305,-118.9449,-49.0843
-0.5006,-11.7062,-26.1701,153.3959,-103.0634,-50.3330
-1.1741,-9.8797,-27.4624,57.6587,-65.5971,-72.1146
-3.5024,-8.1934,-24.0838,10.6729,-44.0303,-67.1252
-5.7917,-6.9749,-24.3300,-65.7648,-32.9203,-44.4876
-5.5269,-6.3403,-21.1575,-115.0184,-6.5407,-17.3989
-4.7589,-6.0330,-19.0999,-144.3942,16.4733,-3.7125
-5.0901,-5.9799,-17.9441,-168.8111,16.3156,4.8521
-9.8409,-5.9992,-16.4901,-189.2318,22.2800,41.0931
-11.2759,-6.1451,-16.0383,-216.4078,49.6047,101.4120
-12.4491,-7.0215,-14.1095,-248.5898,80.9186,165.8740
-11.3714,-7.7420,-10.9475,-267.9696,100.0795,228.5707
-7.4647,-8.1525,-6.5025,-266.7874,110.6959,252.5475
-3.8240,-7.7136,-2.5814,-231.5872,121.2422,252.5621
0.5406,-6.7380,0.0939,-186.7714,122.0666,241.6095
5.5190,-5.8138,1.0287,-147.0649,107.0107,211.8364
8.9405,-4.9706,1.8415,-113.8170,95.5409,156.7042
11.3594,-3.9810,2.0468,-65.9847,91.8623,99.0264
11.6246,-2.8698,0.4197,-32.2432,69.5354,51.7156
11.8511,-2.2260,-0.8616,-15.4882,37.3019,16.0321
11.6675,-1.8026,-0.7605,-0.7292,13.3074,-16.3316
10.4764,-1.2740,-1.2217,22.9296,-5.3436,-39.6193
9.8958,-1.0032,-1.8288,43.1330,-26.4627,-54.0272
10.7368,-1.3622,-2.4708,57.4939,-43.4218,-71.7299
11.6448,-2.0151,-3.0000,72.0168,-59.1470,-104.8631
11.1128,-2.5285,-3.8532,84.8340,-81.2937,-147.9714
8.1724,-2.5022,-5.4519,89.2172,-101.4012,-184.2588
0.9628,-1.6042,-8.0099,88.3903,-108.8116,-185.8842
-2.3092,-0.2240,-10.6385,81.1068,-99.3687,-174.6873
-6.4696,1.2530,-12.8254,79.8948,-82.8828,-171.9603
-11.5769,2.3853,-15.1911,63.9021,-35.6084,-123.3324
-11.4451,2.9539,-15.8586,40.7639,0.3978,-69.8442
-8.9837,2.6241,-14.7094,18.4074,7.3905,-34.4424
-6.2265,1.8445,-13.5346,7.3203,11.5637,-8.2600
-4.1238,1.2980,-12.0616,-4.0455,13.3927,-1.9307
-3.3880,1.0085,-10.3719,-5.2802,11.0015,11.6725
-3.0059,0.7435,-8.5844,-4.4228,6.9733,18.6024
-3.4129,0.3355,-7.3286,-5.5147,-9.2126,24.6051
-4.9147,-0.1582,-5.2988,-5.2747,-32.7648,48.5311
-3.7401,-0.4094,-2.9525,9.7832,-36.1088,57.1237
-3.9355,-0.6447,-1.1689,34.5725,-20.2009,62.6921
-3.6473,-0.7384,-0.0904,61.0422,-10.8788,65.2870
-4.8207,-0.6633,-0.3384,93.4910,-1.3533,76.5193
-4.3078,-1.8580,-1.9038,145.3466,5.5558,110.9556
3.5466,-4.3994,-12.1364,178.6658,24.5317,100.5067
5.3117,-5.4567,-18.3459,90.8525,10.8816,79.9958
9.2932,-5.3501,-18.3126,45.7972,-42.1345,45.9138
10.7967,-3.9332,-17.7835,14.7201,-124.8492,-3.9363
5.4936,-3.2571,-16.8440,-3.8829,-96.0558,-4.7202
3.5391,-2.3916,-15.5481,-37.2058,-26.8988,1.0372
1.1104,-2.2518,-11.8023,-36.3029,20.9331,24.6127
-1.4177,-2.0694,-9.1564,-11.4557,57.3298,11.2754
0.0026,-1.5703,-9.2188,0.2852,72.4859,-0.7751
0.4985,-1.7579,-9.9611,-6.7182,67.0100,-6.0755
