ax,ay,az,gx,gy,gz
-0.4059,0.2804,-9.7912,1.1090,8.5859,-2.3314
-0.2720,0.2694,-9.8200,-3.2715,2.3874,-3.4073
-0.3685,0.3111,-9.5693,-3.5814,-6.2746,-2.4444
-0.6058,0.3825,-9.5099,-0.2486,10.0463,-3.4944
-0.4783,0.3965,-9.4689,4.0700,16.5823,-5.3030
-0.5284,0.3588,-9.4642,4.7768,27.6546,-5.0954
-0.2545,0.3726,-9.5257,4.8051,25.1057,-2.4839
-0.2146,0.3032,-9.4061,8.0617,18.1487,-1.9506
-0.0460,0.2756,-9.7792,10.6220,20.4384,-0.9798
-0.1980,0.2416,-9.9853,8.9853,13.1727,-1.0149
-0.3304,0.2194,-9.6552,14.3191,34.2218,2.0057
0.3804,0.2192,-9.9331,18.4223,37.4127,-1.1758
0.2368,0.1586,-10.3807,15.2501,29.3256,-1.1772
0.3411,0.0884,-10.6828,10.6582,18.6055,-0.8406
0.3018,-0.0462,-10.6301,5.8808,7.4278,-0.6224
0.5542,-0.1516,-10.3267,2.2940,-0.7708,1.1082
0.5278,-0.1820,-10.1743,-0.8190,-1.7148,2.4290
0.5952,-0.1249,-9.8313,-3.7436,-8.8341,1.1422
0.6335,-0.0215,-9.4383,-4.5701,-7.5362,-0.8029
-0.0774,0.1262,-9.2042,-4.8989,-5.7554,3.1438
0.0518,0.2686,-8.6298,-7.5165,-8.2922,5.2199
0.2876,0.3338,-7.7126,-11.8455,-3.8645,5.2030
0.6292,0.2215,-6.0078,-13.5258,2.5335,2.2459
1.2896,-0.0364,-4.8742,-12.9300,0.9908,-6.3066
0.8493,-0.4445,-4.2531,-16.9920,7.4579,-19.9093
-0.2250,-0.8403,-2.6027,-11.9067,8.8930,-20.4325
-0.0213,-0.9689,-2.0411,5.3743,-4.3183,-14.1499
0.7426,-0.8991,-3.2786,13.8939,3.4488,-17.3822
0.7901,-0.7935,-3.8833,20.1919,15.3902,-24.8641
-0.0785,-1.0771,-5.9076,37.8711,22.7126,-28.1782
-0.3982,-1.2620,-7.6121,48.1929,28.1971,-21.4887
-0.1191,-1.4479,-8.9962,58.1163,17.4400,-8.6694
-0.2962,-1.9311,-10.7773,61.8118,24.3711,-0.1127
1.3968,-2.1147,-12.5839,60.6690,20.4275,9.1927
2.4710,-2.0523,-14.0634,50.5203,17.2567,-0.5079
0.3166,-2.2119,-13.7848,39.8228,27.7122,-4.1569
1.6637,-2.1486,-11.1353,42.6895,18.0900,4.5489
0.9722,-1.7747,-12.2710,34.8947,24.4612,-5.1374
-0.2135,-1.8162,-12.3656,33.8585,-11.6956,-0.7304
0.5220,-1.7750,-12.3255,15.7441,-21.1927,-1.5479
1.3190,-1.8739,-12.2605,13.6365,-21.4311,-4.0649
2.4515,-1.6280,-12.7072,-11.9850,-63.7160,-18.4694
1.4211,-1.3457,-12.5997,-13.9185,-57.7807,-29.0057
-0.5709,-1.3026,-12.0786,-22.0637,-46.8631,-23.5039
-1.2021,-1.0520,-11.2056,-21.4691,-23.4262,-17.1843
-2.8104,-1.0128,-11.7054,-22.2441,8.1532,-7.9262
-3.3927,-1.1701,-11.8755,-26.5143,11.1085,6.4631
-2.9991,-1.3134,-11.2862,-29.9415,24.2544,18.8056
-2.7186,-1.3646,-11.0315,-32.1481,21.4347,26.4983
-2.8721,-1.3850,-10.2069,-32.2252,16.3930,32.6781
-2.8093,-1.4940,-9.9451,-29.6427,20.6249,43.4401
-2.4875,-1.5921,-10.4000,-31.0176,25.6384,50.9254
-3.0856,-1.6484,-10.0219,-36.3274,26.1580,56.7697
-2.5311,-1.5988,-9.5833,-35.5319,28.6829,65.1644
-1.7544,-1.4609,-9.7201,-33.8666,31.9214,71.1599
-0.8489,-1.3801,-9.4575,-32.1082,28.5315,73.2082
-1.1600,-1.3134,-9.3040,-29.5119,17.2358,75.6670
-0.4251,-1.2090,-9.1594,-25.5706,39.1260,79.5535
0.3428,-1.3231,-9.3237,-22.8223,41.3450,85.4411
2.0055,-1.3368,-9.2422,-23.0354,31.5224,82.7682
3.1051,-1.2731,-8.6305,-24.5954,8.6054,75.5932
4.5799,-1.1757,-8.1855,-17.7980,-5.3179,65.4889
4.4435,-1.0332,-8.0487,-8.3498,2.3767,55.4835
4.7465,-0.9391,-8.5331,-2.3987,6.7870,51.5868
5.3108,-0.7835,-9.0054,-3.0656,14.7375,43.8828
5.5065,-0.5054,-8.7553,0.2517,10.2300,33.2308
4.8496,-0.3343,-8.9987,2.4567,-21.3620,25.4943
4.6315,-0.1682,-9.6056,1.8167,-44.3847,17.0632
3.8185,0.0563,-9.4090,-0.1238,-66.5689,7.9343
2.6709,0.0045,-9.4951,2.0544,-82.2236,4.2599
2.0760,0.0184,-10.0394,0.3501,-55.5771,0.8591
1.4129,-0.0654,-9.8150,1.4000,-10.9193,-0.7469
1.2153,0.0281,-10.0456,0.9326,8.0296,-2.6082
0.7217,0.0307,-9.8464,-0.1806,22.3971,-2.0001
0.7126,-0.0634,-9.5308,3.0434,21.8758,-2.0110
0.8992,-0.1238,-9.8605,3.7361,11.6373,-3.1955
0.7919,-0.2776,-10.0263,1.4828,16.2038,-3.3296
0.7838,-0.3330,-9.7724,2.4829,13.4266,-3.2986
0.7344,-0.3262,-9.9998,1.5743,3.5970,-3.4128
0.8128,-0.3610,-9.9751,1.0863,9.8436,-4.4697
0.7950,-0.3633,-9.7808,1.7351,10.0951,-6.2390
0.8628,-0.3238,-9.7439,3.0891,4.7582,-6.9851
0.8495,-0.2995,-9.9453,3.6278,8.8725,-5.3432
0.9594,-0.3186,-9.8871,2.2827,3.1759,-5.7436
0.8648,-0.3061,-10.0484,0.8624,-1.1982,-5.6500
0.8186,-0.3069,-9.9829,-1.2622,7.3877,-6.0764
