ax,ay,az,gx,gy,gz
-9.2579,3.9571,-1.2448,0.0463,-13.2925,-6.9910
-9.2344,3.9943,-0.9101,-3.2729,-11.5440,-6.9893
-9.5765,3.9774,-0.9008,-4.6356,-8.7409,-6.1457
-9.7098,3.9130,-0.9058,-5.7258,-5.0124,-2.2696
-9.6821,3.8701,-0.7579,-8.2248,4.9849,1.7172
-9.7662,3.7436,-0.4715,-6.4374,15.9172,9.7943
-9.1946,3.6788,-0.1587,0.7225,21.2364,13.0924
-8.5118,3.6069,-0.1351,11.0736,27.1461,17.3971
-7.2864,3.5351,-0.3072,33.4843,27.8959,21.1752
-6.6231,3.6967,-1.3669,41.5162,24.6538,13.3637
-5.8116,3.3115,-1.2036,42.1410,15.6508,3.6806
-4.5465,3.0314,-1.3432,40.3664,4.1026,-17.8322
-3.5504,2.1968,-1.3613,34.6448,1.5730,-41.6494
-2.5490,1.4411,-1.9391,33.4219,2.2946,-59.0076
-1.1650,0.7226,-2.7568,19.9538,1.8652,-96.6821
-1.0034,-0.0532,-3.4711,-7.4062,15.5610,-136.9611
-1.6018,-0.9842,-2.4760,-27.1435,33.4861,-170.1418
-3.0991,-1.7379,-1.4634,-31.6248,21.8625,-197.0842
-4.4758,-2.5334,-2.2534,-23.1238,3.2445,-220.1114
-5.9197,-2.8067,-3.9855,-26.4429,-5.6385,-222.6143
-5.2897,-3.6474,-1.7528,-46.7301,7.5176,-248.0137
-6.6556,-4.4602,0.5907,-44.8552,13.6373,-266.8445
-11.8498,-5.2533,-0.6351,-28.4302,2.4164,-256.4663
-16.9334,-6.4534,-2.0766,-39.1755,19.5315,-231.5159
-21.8549,-7.2854,-2.5665,-52.4706,41.0088,-181.8430
-25.7120,-7.1727,-3.4444,-61.7646,66.4135,-117.2756
-27.3101,-6.7129,-4.3095,-72.8805,87.0587,-36.0341
-27.2285,-6.1093,-5.9734,-86.7024,93.5872,42.0213
-23.6892,-5.2640,-6.7767,-96.8804,77.3869,131.9592
-18.6474,-4.9939,-6.9868,-97.0946,62.0056,177.1433
-16.8085,-5.0334,-4.9727,-45.1272,53.7361,216.0268
-12.8754,-3.9369,-6.5485,-46.7041,33.9238,209.8762
-10.5441,-3.3133,-5.8846,-38.2276,5.2618,204.6472
-8.2852,-2.6963,-5.2286,-50.7447,-55.8770,195.3172
-6.2713,-1.9610,-4.2270,-65.1662,-107.5994,186.8844
-4.5046,-1.4091,-2.5231,-79.6711,-148.3258,176.0689
-2.5915,-0.7025,-0.4131,-80.8483,-170.5996,152.1246
-0.9658,0.0973,1.4292,-63.4038,-180.5158,111.4502
-0.8924,0.6950,1.6753,-39.2666,-170.2575,72.0850
-1.5692,0.9444,1.3208,-7.9565,-138.0632,45.4215
-1.7635,0.7872,1.0068,27.8513,-90.8608,27.6473
-1.1090,0.6727,1.4986,49.3482,-42.1124,2.1566
