ax,ay,az,gx,gy,gz
0.3231,1.0724,-9.9103,6.3145,0.4371,1.4937
0.4474,0.9735,-9.8646,9.4210,4.1608,1.7394
0.2174,0.8794,-9.9731,2.2274,3.8721,3.6917
0.1748,0.8045,-9.7512,-0.2133,3.6730,5.1007
0.2443,0.8036,-9.6543,-1.2266,4.1838,6.4200
0.2288,0.8637,-9.6301,-2.2198,5.5251,7.5771
0.2226,0.8703,-9.7358,-2.1936,2.1811,6.6888
0.3095,0.9652,-9.7663,-1.8459,5.5712,7.5998
0.4449,0.9453,-9.9139,-0.3589,4.1804,4.9276
0.4440,0.9028,-10.1656,-1.1581,2.4891,3.1900
0.3140,0.9838,-10.5079,-4.7215,0.9310,1.9929
0.3112,1.1400,-10.7506,-5.6756,-4.9996,1.6852
0.1228,1.5450,-12.4061,-18.5311,-2.3015,-0.8819
-0.2489,1.5852,-12.4857,-32.4129,0.2893,3.7024
0.2544,1.5694,-10.0997,-37.1776,9.4547,7.3810
0.9906,1.5055,-7.8768,-30.6438,20.0559,12.3007
1.5285,0.9240,-4.7505,-30.1094,38.8572,12.0244
1.7569,0.2489,-0.5962,-7.3055,51.6907,7.2360
1.5711,-0.5932,3.1400,42.0192,58.1036,2.9284
1.9612,-2.2191,4.4422,108.1761,63.1420,2.3103
3.2747,-4.0014,3.3092,169.3132,69.6986,-5.9859
2.7744,-6.2550,1.7721,219.6020,93.2128,2.8096
3.6127,-7.5378,-3.1992,244.3319,56.3747,46.0125
4.8280,-8.4632,-12.6000,217.7979,-24.5813,-12.6217
1.1247,-7.6845,-22.0688,190.0862,-55.9076,-29.3764
0.1785,-6.7437,-26.4732,133.1189,-105.7993,-50.4153
-4.1629,-6.8390,-35.3343,68.8523,-80.5944,-26.8805
-1.5017,-5.8050,-29.6940,-85.0588,-58.0057,-15.1138
1.0267,-5.0536,-22.1420,-158.6053,12.2651,8.5767
2.5456,-4.5068,-14.6334,-185.7190,28.0021,-4.3777
2.5102,-4.1221,-10.3434,-164.0533,12.4310,-19.0575
2.6086,-3.7241,-7.5501,-172.4605,-6.9989,-21.4423
2.4431,-2.9376,-4.2200,-166.0274,-13.1282,-11.0534
1.7203,-1.9763,-1.8086,-134.5542,-5.4515,-8.6900
0.9803,-1.2307,-0.2700,-85.2364,11.3853,-10.9107
