ax,ay,az,gx,gy,gz
0.3865,-2.8204,-9.1971,-3.2546,6.7351,4.9558
0.8011,-2.8489,-9.4223,-6.0193,0.7659,3.7913
1.4271,-2.8977,-9.9700,-11.3341,-4.4752,0.5462
1.8434,-3.0467,-10.4963,-22.0469,-11.0704,-3.7375
2.3432,-3.1839,-10.1813,-34.4440,-16.4341,-9.1509
3.2308,-3.0511,-10.2403,-39.3766,-23.0360,-23.9914
4.5291,-2.8456,-10.8863,-46.9449,-31.9007,-44.9008
5.0139,-2.7667,-10.4661,-63.8229,-23.5421,-87.3602
2.8469,-2.7555,-8.0369,-61.2659,-12.8404,-111.0822
2.3535,-2.3217,-8.4362,-49.2479,-17.4335,-120.5631
0.7626,-1.9185,-7.0622,-37.0481,-22.8857,-117.6760
0.2650,-1.5132,-5.4983,-10.8671,-35.1284,-105.6531
0.1477,-1.3173,-5.4494,19.7810,-47.8813,-100.1950
0.0520,-1.3950,-6.3377,36.2745,-53.6298,-101.9009
-0.9427,-1.7342,-5.4607,47.8106,-47.3611,-101.9053
-1.8572,-2.2813,-4.4778,76.5514,-44.6561,-95.5427
-1.5266,-3.0954,-6.0548,101.0949,-45.8980,-92.9690
-1.9800,-3.6614,-6.2011,102.6417,-27.0041,-94.9374
-2.3621,-4.4341,-6.2564,130.0632,-16.1989,-84.5936
-2.7158,-5.0469,-7.7912,136.9698,-21.0879,-71.9219
-4.0812,-6.3252,-8.4652,131.0775,-22.0637,-50.3159
-4.1663,-6.9866,-8.4021,131.4305,-22.9578,-36.9142
-4.1714,-7.2814,-7.8064,125.9653,-9.9948,-20.7499
-3.6951,-7.7935,-8.0679,131.2088,0.0100,-7.7011
-3.7505,-8.3200,-7.8406,119.8921,19.2905,3.1387
-3.4930,-8.8666,-7.9489,114.7992,34.5907,23.0043
-2.6788,-9.4155,-8.2312,92.2047,55.3038,26.1037
-2.4413,-9.6454,-6.6002,91.4335,75.5153,31.2145
-2.0097,-10.0942,-6.4642,91.8852,87.4348,37.1256
-1.5902,-10.4139,-7.3293,93.0766,99.0053,43.6924
-1.1120,-10.6996,-8.2584,79.5575,114.6940,45.0829
-0.5990,-10.4185,-6.1644,51.2078,141.0409,38.4710
-0.4900,-9.6497,-5.6914,43.5947,151.2711,40.2658
-0.1902,-9.5686,-6.5233,26.9096,159.5985,45.8691
0.4305,-9.6198,-7.5977,13.4007,160.1723,48.5622
1.4382,-9.5365,-8.0598,-18.1903,159.6419,41.2463
1.0352,-9.4371,-7.1256,-52.8876,173.5925,34.9635
0.8373,-9.1699,-5.5350,-65.0494,170.7559,46.8783
1.5856,-9.1875,-6.4668,-79.7932,151.7144,56.3396
2.2349,-9.1426,-6.8866,-102.3080,139.1646,62.6330
2.4587,-9.0124,-6.7971,-124.3322,126.3316,67.9188
2.4007,-8.8597,-6.3783,-142.1571,113.9340,76.0070
2.5621,-8.6117,-6.0128,-145.7933,90.7932,82.8077
3.6608,-8.3170,-6.8413,-153.1408,64.3473,79.1915
4.0518,-8.0500,-7.5110,-161.6700,41.7284,77.2047
4.9393,-7.5921,-6.8295,-170.2900,31.5906,62.0418
4.4539,-7.1795,-5.5209,-156.8606,21.1083,49.2650
4.7362,-6.5283,-7.6484,-155.6477,4.1667,47.4266
6.1279,-5.8600,-6.8553,-163.4261,0.3762,22.6709
5.3677,-5.0582,-6.3986,-152.1907,-8.5500,1.8203
5.0047,-4.4481,-7.9832,-140.6395,-13.0710,-7.1924
3.1746,-3.8769,-7.9567,-133.6831,-8.0841,-22.4956
2.8643,-3.1857,-8.4158,-124.2137,-9.0502,-22.8524
3.2566,-2.4755,-8.2758,-116.0205,-18.6650,-28.3050
2.9487,-1.9653,-8.7013,-109.2200,-22.4063,-37.7240
2.5871,-1.4886,-8.6487,-106.5564,-20.6074,-44.8013
1.8237,-0.8897,-7.7749,-97.6149,-23.4742,-42.2646
2.1942,-0.3172,-8.1274,-83.5202,-29.3354,-46.3551
1.6789,-0.0548,-8.0717,-70.7048,-29.9816,-59.4469
1.2030,0.1821,-7.9573,-62.1496,-27.1198,-62.0849
0.4604,0.4637,-7.8513,-46.9864,-27.1612,-59.5099
0.4963,0.6996,-7.7861,-37.7077,-33.7949,-60.4241
0.1417,0.7849,-7.9417,-24.7433,-40.1856,-58.8490
0.1188,0.7871,-7.6549,-18.1519,-35.7318,-64.5867
0.7033,0.9032,-6.7455,0.2340,-37.3315,-72.9389
2.0481,0.9264,-5.2426,23.7343,-42.0563,-102.8575
3.0039,0.5725,-4.3075,64.2321,-34.2844,-126.4366
2.2805,-0.7382,-4.7711,112.6731,-37.1771,-173.5408
-1.5746,-2.5592,-7.9494,139.6602,-29.3505,-199.0688
-5.8315,-3.6814,-11.6777,130.2092,-3.1394,-179.3854
-7.5713,-3.7361,-13.6106,99.4320,17.2787,-133.8734
-7.3588,-3.4697,-13.5210,61.6866,18.1955,-93.2999
-6.9660,-3.4184,-12.6584,40.7675,11.3109,-44.1544
-6.7117,-3.3346,-11.2202,31.8962,32.3430,23.8278
-2.9337,-2.6270,-12.9704,30.8531,38.4776,61.6248
-0.4335,-2.3973,-10.7825,20.9969,44.9225,30.3011
-0.7757,-2.4443,-10.3095,0.9748,40.4481,-5.2171
-2.0529,-2.7770,-9.2944,2.7023,29.7746,23.7258
0.3290,-2.4858,-9.7866,4.4854,14.4429,6.7077
-0.2821,-2.6610,-9.1209,-0.7901,-1.1828,5.9214
0.0020,-2.6356,-9.2104,7.2264,-17.6420,10.6663
