ax,ay,az,gx,gy,gz
-1.3872,1.2594,-9.7506,-6.3804,2.4127,0.9265
-1.1033,1.3217,-9.1844,-4.9448,0.6477,2.1459
-0.8347,1.3868,-8.9072,-1.5076,-0.7289,1.1560
-0.7365,1.4098,-8.6183,2.1782,-2.4989,-0.7974
-0.9049,1.3066,-8.4486,6.6793,-3.0346,-1.7432
-1.1218,1.1330,-8.3234,11.0835,-4.4700,-2.0352
-1.3636,0.8507,-8.1295,13.7209,-5.1255,-0.5498
-1.2928,0.5626,-7.7383,17.5099,-8.2945,1.6429
-0.8784,0.2030,-6.5078,27.1099,-14.9924,5.7185
-0.4168,0.0196,-5.6148,43.2368,-22.4202,6.3708
-0.2417,-0.1052,-4.8446,55.4278,-27.8623,6.3353
0.2428,-0.7312,-3.5815,84.2606,-36.8978,-4.4266
-1.4834,-2.2971,-4.4274,126.8379,-27.8485,-20.8472
-2.5622,-3.3149,-5.4642,159.3314,-21.0447,-23.3345
-4.1959,-4.1262,-8.8562,171.7545,-10.2873,-10.7947
-4.2091,-4.0341,-9.3818,177.4982,-2.9303,-1.6748
-3.1222,-4.2971,-9.3200,172.7027,-12.0573,4.8621
-1.8081,-5.1135,-9.7190,177.7491,-8.4394,1.1409
-1.6482,-5.7956,-12.2348,168.2927,11.4188,-10.8346
-1.5385,-5.8105,-14.7025,142.6133,23.4927,-37.8957
-3.2180,-6.4014,-17.3643,116.2110,19.4457,-42.3829
-4.0563,-6.8844,-17.9076,69.7115,14.3794,-34.6429
-3.1796,-7.2379,-17.5475,31.7798,6.2942,-21.2371
-1.8136,-7.5629,-17.6606,1.1768,10.7903,-24.1640
-1.9616,-7.7557,-17.5443,-37.9744,25.4765,-21.2824
-1.8880,-7.6969,-17.2387,-74.4153,31.6571,-8.8824
-1.4610,-7.8061,-16.0394,-105.8160,28.6792,-2.3048
-0.4267,-7.7343,-14.8879,-132.8088,13.4170,-1.3736
1.1115,-7.1438,-14.7842,-152.4000,-2.0125,-15.4598
1.9829,-6.6985,-13.2532,-188.0548,-19.0259,-58.1546
0.2117,-5.6540,-12.9783,-225.2120,-47.2907,-27.6839
-0.2568,-4.0772,-10.7193,-198.2278,-67.7251,-23.6945
-1.6131,-2.5392,-8.7947,-174.6782,-56.4677,-4.1943
-1.5534,-0.4952,-6.3259,-153.0009,-50.6819,-0.1023
-1.4921,-0.5348,-4.1161,-127.4324,-50.4873,14.3810
-1.5830,-0.2797,-2.4243,-98.5032,-46.6586,17.9520
-1.9045,-0.0803,-1.4630,-56.6461,-38.6023,11.4069
-2.4531,0.0683,-3.4231,-15.8410,-28.9061,4.7144
-2.6829,-0.0369,-5.1079,-1.2489,-17.8408,-0.6881
-3.9932,-0.1479,-6.9538,-3.4089,-10.1083,0.0705
-4.8517,-0.2353,-7.8612,-7.3451,-2.6062,-0.2177
-6.9222,-0.3565,-7.8390,-15.1913,1.3904,11.7640
-7.2849,-0.4422,-7.8100,-14.5199,1.1682,31.8311
-7.6051,-0.3207,-8.5160,-22.7245,25.3570,46.6013
-8.4701,-0.4740,-8.4540,-39.7292,38.0161,86.6180
-7.0162,-0.2382,-7.4323,-51.3421,55.6552,123.5720
-4.7002,0.1898,-5.9078,-38.9350,78.3104,134.8193
-3.9689,0.3573,-5.5720,-20.3425,83.1520,135.7119
-2.7155,0.4469,-5.7151,-6.4118,68.6829,141.6306
-1.5108,0.2550,-5.3484,6.2118,48.9748,148.1161
0.5995,0.1066,-4.6723,20.8022,22.8832,159.2104
3.9864,-0.1830,-4.4004,49.4095,-5.1161,148.9573
6.3137,-0.2204,-5.3440,76.5132,-14.9080,109.3049
7.1561,-0.2094,-7.5405,87.7189,-10.5430,63.4762
6.5808,-0.4009,-8.4462,90.6180,-0.2503,19.8264
5.3750,-0.1890,-8.6423,102.7300,-1.7606,-20.4697
4.5725,-0.2920,-9.8124,88.2454,-13.7836,8.5530
4.5356,-0.3012,-10.5373,72.6196,-23.5830,9.8589
4.9733,-0.2185,-11.1398,62.6933,-19.6847,-6.2700
4.9659,-0.2605,-11.2499,54.3182,-15.4361,-15.8064
4.6835,-0.2455,-11.5761,53.9362,-18.0448,-28.0725
4.1648,-0.3951,-11.5388,53.0256,-25.5735,-41.7198
4.0449,-0.5901,-11.7256,49.0807,-28.6112,-48.8780
3.8819,-0.8982,-11.2236,43.3384,-25.5208,-58.0483
3.3733,-1.3118,-11.1680,40.8850,-19.6970,-71.1382
2.3036,-1.4793,-11.6386,35.4412,-12.9543,-79.6340
0.5295,-1.5200,-11.6385,28.1753,-6.0567,-74.9220
0.5065,-1.6745,-11.5002,24.3148,-13.8913,-79.2850
0.3590,-2.1393,-11.1340,22.6102,-9.9278,-88.9448
-0.7716,-2.4453,-10.8269,20.5411,0.6268,-95.6544
-2.2011,-3.0051,-10.9093,32.0250,8.5353,-80.2848
-4.5075,-2.7984,-11.3541,14.0031,-16.6414,-77.6255
-5.3473,-2.5491,-10.2748,11.2157,-21.5590,-65.3561
-4.9669,-2.4153,-10.7760,7.3671,-5.2234,-53.1405
-4.3891,-2.6474,-9.8344,2.2110,14.5950,-32.9382
-3.7673,-2.6561,-9.5635,1.3818,10.2155,-17.8613
-2.9292,-2.7230,-9.5508,2.3163,-0.7153,-8.3220
-2.1491,-2.7266,-9.8339,-1.9060,-4.6852,-1.7025
-1.4727,-2.5205,-9.7246,-5.8620,-6.6441,3.4602
-1.0394,-2.4414,-9.2317,-3.7692,-7.7607,7.1581
-0.2503,-2.1938,-9.5974,-4.0323,-9.2587,6.2271
0.0262,-2.0492,-9.4663,-6.7923,-7.7052,2.2319
-0.0828,-1.9513,-9.1490,-3.5493,-4.4739,0.6423
-0.2126,-1.8807,-9.3110,0.3543,-2.3031,-0.0324
