ax,ay,az,gx,gy,gz
-0.4769,-7.8059,-5.8751,0.5476,-6.6437,12.1690
-0.2109,-7.6852,-5.8904,1.2679,-0.9748,13.6579
-0.6295,-7.7582,-6.4353,-3.3347,0.9015,26.2203
-0.5050,-7.8852,-6.4850,-4.4917,-0.2907,27.0040
-0.1731,-7.9934,-6.5077,-9.2089,1.0472,27.7794
0.4488,-8.1143,-7.0526,-8.6413,-4.9533,27.3293
1.0651,-8.2891,-7.7709,-18.4466,-7.0037,22.8511
1.2728,-8.3818,-7.4919,-29.1760,-5.3749,17.1917
1.5370,-8.1881,-7.2714,-34.1195,-9.7425,9.2077
1.6594,-7.8892,-7.3968,-36.7186,-22.2701,-0.4597
1.7629,-7.8106,-7.4381,-44.4965,-29.2356,-8.5211
2.8500,-7.7678,-7.7917,-50.4151,-48.3605,-17.4607
3.8992,-7.6441,-7.9007,-63.3070,-59.4262,-39.0148
4.7518,-7.5546,-7.5378,-67.8043,-79.0866,-63.1014
4.1690,-7.6313,-5.5780,-72.3755,-80.1234,-94.6020
3.5221,-7.5552,-4.4064,-64.9639,-82.8963,-104.9019
3.3022,-7.3751,-3.1276,-49.6656,-87.4135,-108.7050
3.6671,-7.3553,-1.6333,-25.7079,-96.3760,-118.1420
3.3138,-7.9583,-0.2319,5.6993,-104.2833,-135.3421
2.0177,-8.8264,0.2939,26.8362,-107.8089,-157.1483
-0.7859,-9.5493,-0.3728,45.9097,-107.1042,-151.0308
-1.7343,-9.8888,-0.0531,52.7823,-97.8042,-134.2664
-2.3709,-10.2515,0.7166,78.3609,-97.3493,-115.7947
-2.6012,-10.3584,-0.3112,94.3548,-95.2716,-99.4254
-2.2779,-10.6948,0.1875,92.3732,-59.2936,-95.2725
-3.9358,-11.0909,-1.2508,101.8267,9.7717,-73.3048
-5.5319,-11.5539,-1.5925,96.6950,54.2376,-48.1687
-6.6540,-11.9283,-2.0916,111.0486,81.0339,-5.4184
-5.5790,-12.1263,-3.8692,113.3879,129.2917,29.1249
-5.2608,-12.0379,-5.2825,99.3984,169.9883,52.6897
-4.4657,-11.7377,-5.2714,83.5480,244.6401,72.2657
-4.3769,-12.2983,-4.8318,73.2373,293.8154,110.5276
-0.3219,-12.0257,-6.9881,51.9385,258.2944,152.4733
2.6199,-11.7357,-8.3532,38.1954,223.0871,152.0509
3.9460,-11.2601,-9.5591,-9.5892,212.9140,127.3106
3.7849,-11.0334,-8.8488,-47.8215,189.3518,107.9414
4.0321,-11.5051,-8.1743,-69.5245,163.5390,95.2190
4.8162,-12.2028,-9.2142,-86.1258,130.4242,92.0957
6.2865,-11.9762,-10.2820,-122.4033,90.5265,65.3957
6.5661,-12.2606,-9.2633,-161.6628,60.7008,37.4914
7.4266,-12.3046,-5.7200,-173.7011,39.1395,19.3079
9.1722,-11.6565,-4.2669,-161.2946,8.8544,-6.8937
10.8782,-11.0759,-3.5187,-165.7994,-47.0716,-108.2320
8.0243,-11.1561,0.1474,-147.7823,-86.0988,-189.6474
2.3705,-11.0410,1.1509,-115.7884,-101.4586,-209.6079
-5.6852,-10.7474,0.7577,-68.6236,-88.8142,-135.8252
-6.0004,-9.5501,-0.2805,-51.7961,-75.1007,-65.0366
-5.4400,-8.5406,-0.6186,-29.2109,-19.3619,-20.8967
-4.3295,-7.9170,-0.6840,1.5238,15.2917,6.4443
-4.2190,-7.7208,-1.5140,3.5950,24.0643,20.1890
-3.9272,-7.7061,-2.6741,9.1398,29.0300,39.9039
-2.6067,-8.0172,-2.2655,28.0786,44.1138,69.3700
0.5006,-7.4523,-4.2438,38.1009,60.3995,74.5613
2.2123,-6.6225,-4.4633,37.0309,62.7489,76.0789
4.6425,-6.1972,-4.2395,56.3304,39.7437,67.5788
11.5396,-6.3305,-7.6457,62.1970,-23.0641,3.4195
15.7246,-6.8244,-9.3352,37.6831,-83.8802,-107.7953
11.8140,-9.1101,-7.2642,18.2353,-118.6572,-228.0811
3.4808,-10.8868,-7.1059,18.9268,-127.2683,-274.6769
-8.0846,-11.7753,-6.3110,6.1361,-98.3671,-190.2916
-5.4682,-10.3365,-8.0809,-16.3181,-80.5876,-86.0337
-4.5972,-9.6372,-5.8027,-31.8274,-40.2587,-58.5861
-6.8872,-9.2985,-4.0463,-26.9134,12.2034,-38.8983
-8.6657,-8.8929,-3.0535,-14.2105,42.7293,4.8874
-9.0592,-8.8323,-1.5001,-3.2555,67.6460,54.8473
-8.9190,-9.1915,0.4723,26.0128,111.0254,121.2992
-8.3013,-10.4005,3.5507,76.8558,171.6979,214.8389
-5.0387,-11.7806,6.1875,127.0527,215.8589,260.8240
0.9132,-13.3412,3.0182,197.5186,201.2712,282.9985
8.7158,-13.8007,-4.6196,190.4891,145.2688,234.9639
11.4948,-13.8279,-9.3933,114.6498,149.7501,147.6985
9.3329,-13.1760,-7.5323,49.7023,152.4182,74.1163
6.3375,-12.1127,-5.0514,36.0834,122.1218,52.8470
6.2752,-10.9433,-5.7010,26.1127,75.0424,41.6867
6.0660,-10.0746,-5.8269,15.4018,52.0953,26.7514
5.2999,-9.6109,-5.7790,6.6724,33.6502,10.3561
