ax,ay,az,gx,gy,gz
0.4049,2.4876,-9.1534,7.2834,-0.5579,1.2203
0.4137,2.4356,-9.1600,7.4884,-2.3466,1.3777
0.3999,2.3055,-8.7793,7.6964,-2.5525,0.6817
0.3598,2.1903,-8.4579,9.5072,-3.5617,1.2899
0.3698,2.1128,-7.7796,11.5764,-4.6376,1.3212
0.4977,2.0445,-6.7721,21.5037,-15.1391,1.7129
0.3930,1.7320,-6.4865,31.7336,-18.2637,-0.5336
-0.1674,1.2014,-6.0616,37.6585,-11.8361,1.0171
-0.2376,0.7252,-4.0945,43.1349,-10.5431,11.8760
0.4376,0.3570,-2.8652,63.4796,-28.3629,14.0050
0.3085,-0.5818,-2.3213,87.4221,-46.4117,4.3994
-0.1635,-1.7594,-1.8341,115.7465,-54.8996,-5.2811
-0.7720,-2.9972,-1.4298,160.1868,-50.3530,-6.0561
-1.1640,-3.7232,-4.1966,183.6012,-43.1912,-5.1843
-2.1123,-5.1675,-7.4730,191.0629,-41.9433,-5.4275
-2.1266,-5.7912,-10.6957,197.4458,-20.3306,-1.8152
-1.6972,-5.9442,-15.5539,182.7892,10.4807,-17.3636
-2.9094,-6.6131,-22.3884,135.3997,46.5115,-12.7180
-1.5274,-7.1674,-21.2465,72.7102,32.1450,-17.4869
-0.5943,-7.5119,-19.1929,36.3869,26.5552,-19.4265
0.0939,-7.6604,-17.8226,25.4748,31.8335,-20.1139
0.6617,-7.6850,-17.8594,9.9638,35.2823,-20.8089
0.7896,-7.7495,-17.5831,-10.7489,33.2828,-23.4879
-0.2084,-7.6974,-17.9802,-38.5047,27.8087,-20.5076
-0.2453,-7.5008,-17.5331,-77.8296,11.2161,-9.3328
0.6765,-7.4630,-15.9952,-104.5192,-2.3403,-6.9938
0.9454,-7.3211,-15.3112,-117.9204,-1.8756,-9.3507
0.9255,-6.7287,-15.3532,-132.1036,-8.9402,-13.4074
1.0415,-6.2654,-15.2920,-148.4104,-11.1610,-20.1636
