ax,ay,az,gx,gy,gz
0.6595,1.3374,-9.7008,-2.6827,0.1854,-0.4074
0.6014,1.3787,-9.5795,-2.1249,-1.9665,0.0557
0.7570,1.4095,-9.5255,-0.0062,-4.1715,-0.2658
0.4529,1.4160,-9.8008,-0.0905,-1.9720,-0.2251
0.3780,1.3984,-9.6308,-0.4612,-1.8134,1.7299
0.5615,1.3856,-9.6208,-0.1451,-0.7809,1.8756
0.7209,1.4353,-9.6399,0.9079,1.6109,-0.5954
0.4501,1.4234,-9.7022,1.7484,1.0452,0.2760
0.4778,1.4705,-9.6348,0.9027,0.0615,2.3086
0.4312,1.5613,-9.6800,2.2521,-0.1192,4.2554
0.2541,1.8510,-10.2772,2.9576,0.9048,7.0530
-0.4935,2.0325,-10.9643,2.1846,-2.2283,15.4999
0.5432,2.4275,-11.8659,-13.2119,-4.9079,29.1449
1.2640,2.6624,-12.2217,-22.1197,3.0456,31.8766
1.4413,2.5974,-12.3719,-29.0359,13.3332,34.5230
2.8690,2.3929,-14.3969,-46.0759,15.6141,30.5182
3.9471,1.8418,-14.5312,-86.1105,21.3687,20.0737
3.1803,1.1615,-11.2508,-105.9174,20.7501,17.2667
5.3763,1.3548,-11.0318,-107.3497,11.1051,6.4137
4.7747,1.3683,-8.7144,-111.2071,11.1450,-23.8255
4.9388,1.5897,-6.8645,-102.5000,6.9040,-39.7350
5.6870,1.8594,-5.4801,-80.7434,5.5537,-66.0011
5.0309,2.1828,-5.3702,-74.6156,3.2462,-82.9849
4.0697,2.5391,-4.0154,-57.1306,-6.6494,-101.5440
2.7046,2.7962,-3.2573,-34.8739,-19.7328,-114.0283
1.9482,2.8523,-3.3879,-14.1325,-28.7319,-122.2832
1.2064,2.7392,-3.8087,-0.8220,-26.6647,-133.1122
-0.2875,2.4666,-3.6447,16.1912,-17.9605,-138.9804
-1.3832,2.1334,-4.0117,34.7198,-16.1831,-141.9896
-2.1938,1.8682,-4.7859,48.2035,-22.9782,-140.3631
-3.1301,1.5207,-6.1803,55.8445,-31.2455,-138.1564
-3.8542,1.2787,-6.2798,47.3362,-26.4846,-128.8067
-3.9060,1.1882,-5.2705,61.1051,-20.4599,-124.9179
-4.2090,1.1694,-6.1685,80.2394,-14.8595,-125.5624
-5.1104,0.7442,-6.8975,80.1819,-3.4429,-117.5999
-6.2558,0.2695,-7.0003,86.4390,-18.6256,-107.1823
-6.7893,-0.1902,-8.2168,95.5880,-45.3191,-91.5309
-6.8431,-0.4336,-9.1562,94.3812,-56.5723,-81.5101
-8.5127,-0.7380,-9.7460,89.5177,-51.4401,-62.1812
-8.4624,-0.8735,-9.7646,83.0727,-36.5851,-43.9113
-9.7189,-1.2703,-9.7864,82.4893,-19.8846,-24.2926
-9.9826,-1.3763,-10.7546,68.4327,-16.8223,8.9286
-11.0758,-1.4502,-11.4078,49.6896,-20.9987,37.3623
-11.4157,-1.6035,-11.2355,30.0934,-20.1738,76.7040
-10.0497,-1.6155,-10.2852,19.2195,-7.5805,103.2739
-9.5235,-1.5770,-9.3510,19.3606,13.1514,125.0149
-8.2912,-1.6194,-9.3164,18.7845,25.8680,143.3594
-6.6252,-1.7861,-9.0347,14.8884,37.8822,154.4096
-5.0748,-1.8841,-8.0235,13.1275,55.6440,158.8063
-3.5359,-1.8712,-7.3993,18.1168,58.9179,162.7053
-1.6499,-1.8517,-7.6956,21.9565,56.2587,157.4708
0.5816,-1.5875,-6.6493,30.3965,60.0898,141.1421
1.7346,-1.3671,-6.8958,41.1727,55.3341,124.4453
2.6082,-1.2304,-7.4318,46.4298,50.0700,106.0426
3.0193,-1.0665,-7.8266,51.2190,46.4582,82.2828
2.9494,-0.8860,-7.8425,54.7683,41.0592,64.5259
3.6564,-0.6154,-7.6299,62.5449,39.0796,45.1535
3.6121,-0.7959,-8.4126,66.5242,45.4149,27.8778
2.7675,-1.0060,-9.3291,63.3870,49.0315,17.0843
3.3189,-0.8418,-9.5238,59.6520,40.4393,8.7014
2.2877,-1.0675,-10.3850,66.8905,35.5454,-8.8800
1.2839,-1.1890,-11.9581,55.3981,32.5445,-10.1855
1.7086,-0.9982,-12.2094,37.3382,20.8978,-14.7933
1.1341,-1.0116,-12.2691,26.0640,11.9225,-16.1630
1.1159,-0.9996,-12.0075,26.1723,10.1636,-24.3368
1.0424,-1.0784,-13.2117,20.1039,10.6018,-35.9765
0.7048,-1.2423,-12.8004,4.8764,17.8570,-42.9680
0.5676,-1.2701,-11.4611,7.8794,18.2149,-55.4018
0.1499,-1.4569,-11.0665,13.2890,17.2193,-62.8779
-0.0047,-1.6234,-10.8289,13.7134,9.2366,-67.1169
-0.3314,-1.6234,-11.0282,8.4451,-6.4576,-69.3937
-0.8503,-1.6522,-11.0902,3.8623,-19.8673,-70.5525
-0.9127,-1.5830,-10.9737,-1.2487,-21.9995,-68.6111
-0.9203,-1.4316,-10.8553,-5.7691,-24.1124,-67.9229
-0.6726,-1.6796,-10.8082,-10.0544,-17.4929,-65.7525
-0.4271,-1.8648,-10.6079,-15.5106,-9.5484,-64.3831
0.4227,-2.2554,-9.6955,-14.5205,-13.8055,-67.4630
-0.4206,-2.6068,-9.8252,-13.7894,-19.2083,-69.8264
