ax,ay,az,gx,gy,gz
-1.1018,0.3317,-9.8256,2.1810,-2.5548,-10.2544
-1.4335,0.3013,-9.7790,1.1591,-1.3709,-10.7745
-2.0755,0.3988,-9.5818,2.2698,2.7670,-9.5906
-3.1291,0.6162,-9.9960,3.4704,9.4290,-8.4030
-4.9430,0.5038,-10.0658,-8.5698,7.7807,7.7486
-5.2411,0.2776,-8.9957,-16.6058,0.0861,29.6855
-5.1811,-0.2994,-8.2385,-8.8870,-9.0448,45.9162
-5.5462,-0.9381,-8.6375,7.3766,-7.2407,58.1906
-5.4811,-1.4141,-9.7125,14.3112,2.9603,68.4694
-6.4378,-1.7851,-10.4774,12.2234,17.2190,81.0309
-6.6312,-2.1891,-11.3292,-0.4930,10.6273,108.0302
-6.9703,-2.4565,-11.6538,-13.1814,11.5871,142.8393
-6.5319,-2.3612,-11.3737,-23.7092,30.0083,173.9700
-6.9366,-2.2310,-11.2709,-34.0096,36.4528,209.2007
-2.9800,-2.0035,-10.1207,-37.0964,10.5671,244.2082
1.3433,-1.8323,-8.6717,-27.3240,21.2572,240.7723
3.7319,-2.0350,-8.0895,-14.8796,0.9806,231.4814
6.5582,-2.0725,-8.4110,-4.1961,-10.2062,209.7454
9.8871,-1.7704,-8.2566,11.4768,12.6967,144.4501
9.9092,-1.3966,-8.6821,21.2112,27.2044,90.9896
9.5924,-1.0721,-9.4537,21.0803,28.5513,58.5491
10.7313,-0.5656,-9.6540,9.8169,23.9874,21.4064
10.9626,-0.4994,-8.6676,3.1858,28.2407,-43.7811
10.5388,-0.7411,-8.1541,8.6819,17.1623,-92.3939
10.7102,-1.0937,-8.7825,8.9720,0.9529,-144.7382
9.7440,-1.9342,-8.7588,10.2255,-3.1364,-200.8852
8.0772,-2.7297,-8.8877,16.4563,8.1760,-248.6827
5.4806,-3.3977,-8.5039,29.2196,42.0541,-281.7781
1.7993,-3.5454,-8.6134,47.7010,49.2116,-291.8696
-2.1983,-3.1114,-11.1034,49.1959,46.4959,-273.9679
-6.6559,-2.5612,-12.6761,30.9085,34.9628,-215.5933
-8.0752,-1.4433,-13.3192,13.6431,3.3992,-154.8551
-6.9138,-0.5778,-12.6962,-14.9327,-21.5510,-102.8706
-6.1377,-0.2133,-11.2756,-24.9961,-30.9726,-70.8066
-5.9355,0.1220,-10.1484,-20.1070,-22.3720,-42.9177
-4.6592,0.3591,-9.3455,-8.0884,-8.4130,-22.8436
-3.9468,0.3756,-8.9569,4.2382,2.1989,-6.6796
-3.3579,0.3217,-9.6293,13.1890,2.8808,4.6409
-2.6308,0.2801,-10.1158,11.6926,-4.6031,13.9501
-1.6039,0.3384,-9.8887,4.3536,-18.1600,19.5929
-0.9417,0.3443,-9.4093,0.0847,-30.2977,21.4167
-0.5313,0.4159,-8.8757,1.2523,-29.9430,21.5522
-0.3565,0.7325,-8.8305,2.8548,-25.2499,20.3839
-0.1428,0.9478,-8.7347,6.5692,-20.6430,17.7695
-0.2797,1.0911,-8.8176,8.4265,-14.8480,13.9053
-0.5272,1.2086,-8.8131,11.4836,-33.9534,16.7933
-0.4298,1.1891,-8.7912,12.1942,-46.2336,15.0342
-0.5005,0.9767,-8.9409,10.0324,-36.7052,14.9665
-0.3528,0.8692,-9.0898,10.1838,-18.2465,11.4413
-0.5477,0.7457,-8.9791,11.2977,-16.3391,9.1114
-1.0718,0.6707,-8.8370,13.0475,-13.8099,9.9968
-1.3236,0.5803,-8.6710,15.8933,-1.2551,14.2266
-0.8331,0.4780,-8.4609,21.1139,9.5989,11.8634
-0.9894,0.3769,-9.1524,26.2679,20.3662,11.9347
-0.3169,0.2905,-9.4420,25.7476,29.6659,7.8747
-0.2164,0.2965,-9.4390,23.8125,30.2473,2.5503
-0.4646,0.2585,-9.2765,24.8971,26.8960,1.3169
-0.3731,0.1944,-9.2868,27.3517,24.1717,-0.3540
-0.2964,0.1055,-9.3052,27.7805,20.5588,-0.4288
-0.1132,0.1076,-9.2579,27.6560,10.9868,-1.1751
-0.4004,-0.1048,-9.2159,29.5032,0.7717,-0.5026
-0.1603,-0.2095,-9.7035,28.8894,-2.2812,-0.9515
-0.1570,-0.3808,-9.6094,26.2849,-0.7141,-4.2070
-0.4236,-0.5268,-9.3731,26.7659,4.4613,-2.5519
0.0293,-0.5359,-9.2474,29.6969,6.2256,-1.1347
-0.3236,-0.6835,-9.2233,28.4186,3.0078,0.9465
-0.5274,-0.7682,-9.4817,30.6917,0.2101,3.9241
-0.5537,-0.8077,-10.0657,30.5003,4.7870,4.9403
-0.6391,-0.9560,-10.2261,27.8531,8.3782,6.9462
-0.5838,-1.0466,-10.2294,23.0908,6.1824,9.8518
-0.3197,-1.1634,-9.6428,19.5100,0.6303,12.6095
-0.0706,-1.2704,-9.6457,23.4802,-0.6515,12.5266
0.4032,-1.3533,-9.7881,23.3319,1.6202,8.3210
-0.2152,-1.5188,-9.4586,16.4027,-0.1734,13.0962
0.0575,-1.5732,-9.6675,17.3547,-5.0175,11.8773
0.1026,-1.7100,-9.6873,16.0476,-4.2896,7.5990
-0.1561,-1.7789,-9.7787,12.1978,-5.3066,9.4371
-0.1524,-1.8150,-9.8986,9.4859,-6.9335,8.2718
-0.2316,-1.6564,-9.4017,5.0350,-2.8603,6.6280
-0.1566,-1.6855,-8.9995,5.8351,-9.1212,4.4145
-0.5791,-1.8729,-9.3437,9.1881,-7.5240,4.5032
