ax,ay,az,gx,gy,gz
1.5211,2.9187,-9.5073,8.7659,-6.7225,-7.3389
1.5350,2.8578,-9.3844,8.6683,-8.5927,-10.2045
1.4771,2.8308,-9.0358,15.5839,-2.8039,-16.5289
1.1198,2.6846,-9.4128,20.6958,-2.3973,-9.0563
1.1909,2.7388,-9.5398,20.2851,4.1288,-6.3780
1.2653,2.5874,-9.6048,17.4243,6.9362,-4.0480
1.4735,2.5474,-9.5816,8.8258,-0.7978,-1.6035
1.5506,2.5228,-9.4802,4.4352,-3.7065,-2.0218
1.4084,2.5217,-9.5061,5.0907,-1.2391,-1.7667
1.2971,2.4348,-9.5135,4.1292,-2.0697,-0.4851
1.2614,2.3945,-9.7240,3.0301,-6.0671,0.9942
1.4230,2.4043,-9.7991,0.2746,-11.2823,0.9085
1.4498,2.3968,-9.6791,-2.0861,-10.1963,-0.0951
1.3107,2.4312,-9.5305,-2.4776,-6.3923,0.0114
1.2639,2.4910,-9.4310,-2.1275,1.7384,-0.1991
1.2886,2.5206,-9.2301,-0.9345,0.9695,0.1808
1.1255,2.5467,-9.2020,0.1302,-3.1719,1.0484
1.1499,2.5744,-9.1822,0.8910,-3.4710,1.7308
1.2547,2.6171,-9.0936,1.8260,-0.2181,1.7495
1.2935,2.6197,-8.8999,-0.1623,11.4024,1.4619
1.3320,2.5113,-8.6730,-0.9113,14.6773,2.2747
1.7796,2.4393,-7.9113,2.3311,8.0144,5.0848
1.9432,2.4337,-6.7294,15.2541,2.5394,5.1914
2.1207,2.3739,-6.0084,35.3163,4.7022,3.3793
2.0531,2.1253,-5.4104,50.8011,6.9536,-1.3458
1.7178,1.9255,-5.4807,67.2886,19.7773,-7.4828
1.8697,1.6818,-5.6413,83.7113,12.0245,-14.0129
1.8350,1.1411,-6.2181,99.9819,-8.9309,-20.1516
1.5907,0.5744,-7.7558,110.0383,-17.9010,-18.8430
1.8335,-0.1553,-9.0015,108.6869,-23.9989,-19.2917
1.1175,-0.8722,-9.8747,101.4898,-13.1487,-20.7768
0.3342,-1.2870,-10.5016,94.3692,-8.3257,-14.2869
0.1925,-1.5962,-10.6732,88.0799,-7.8397,-10.0608
-0.3393,-2.1284,-10.6263,81.6577,-8.7844,-2.5629
-0.1274,-2.2854,-10.6479,72.8224,-16.0725,8.4706
0.2970,-2.4372,-10.0255,68.9697,-5.4429,4.5576
0.2324,-2.5955,-9.8700,73.0846,-1.0027,-1.2984
0.4258,-2.7479,-9.8284,79.4003,-4.4624,3.0730
0.3961,-2.9843,-9.7023,77.8670,-4.3638,-9.4336
-0.0941,-3.4068,-9.8250,78.0999,-7.0220,-8.1719
0.3707,-3.5836,-10.2138,78.2769,-11.2408,-2.9494
0.6133,-3.5790,-10.0948,68.8640,3.1811,-2.4308
0.0586,-4.0152,-9.6815,59.3866,6.2641,2.3696
0.2125,-4.1945,-10.0703,53.3397,-0.0958,5.2912
0.8068,-4.2629,-10.1270,50.0065,-4.2701,0.0471
0.5304,-4.7800,-10.1899,45.5191,-3.8236,-3.8096
0.4550,-5.1212,-11.0535,34.3347,-13.8879,-5.4284
0.6584,-5.2397,-11.2732,19.8533,-17.9767,-9.0229
0.1111,-5.2436,-11.1013,4.6081,-10.3732,-7.4606
-0.1585,-5.2163,-10.7649,-4.5345,-2.9644,1.0005
-0.0698,-4.9461,-10.2824,-6.4442,2.0908,7.9075
0.1153,-4.9625,-9.4939,6.1146,-4.1166,18.9589
1.1860,-4.9460,-9.7248,31.1741,1.0001,31.7013
2.0788,-4.9769,-10.0443,40.4284,13.4466,28.4261
1.2094,-5.0814,-9.7046,42.5511,6.0074,32.7286
0.2641,-5.2353,-9.4254,27.2952,0.0970,66.8101
0.8014,-5.0286,-9.3028,22.9953,-0.1893,79.3592
1.9056,-4.7475,-9.9801,28.1966,-11.2617,62.3932
1.6678,-4.8950,-10.3620,19.8978,-4.0766,41.6496
0.8297,-5.2649,-9.7734,0.5796,9.4456,29.1812
1.0149,-5.3631,-9.5104,-4.9573,23.2555,25.6953
1.2961,-5.5117,-9.8697,-8.5512,30.7313,16.4267
1.4224,-5.6083,-10.3152,-14.4911,35.3917,9.2827
1.5764,-5.7936,-10.1467,-22.8394,35.3072,5.5129
1.4215,-6.0144,-9.8779,-25.1496,27.4341,5.6568
1.6337,-5.9696,-10.1168,-29.1456,20.5503,1.0777
1.9716,-5.6089,-10.5201,-35.2454,23.4592,5.0300
1.8583,-5.4337,-10.5999,-45.8069,29.8008,-0.0568
1.2542,-5.0470,-10.1188,-46.3424,28.4464,3.3564
1.9446,-4.8961,-10.1089,-43.1414,19.4779,1.5954
1.5306,-4.5450,-9.4479,-47.3892,12.0740,-1.8870
1.2160,-4.4744,-8.4905,-46.9719,1.7944,-6.0543
1.4626,-4.3426,-8.3170,-40.2730,-9.8402,-13.6553
1.7537,-4.0712,-9.6657,-36.0902,-13.8794,-25.0249
1.5497,-3.8364,-10.2398,-50.5265,-5.2446,-16.9466
1.5521,-3.8640,-10.1484,-60.4010,-0.2073,-16.5562
1.1324,-3.5177,-10.3483,-60.4523,-3.2187,-11.5960
1.5215,-3.1234,-10.4163,-65.6147,-7.9994,-18.7685
1.3478,-2.7850,-9.8584,-70.9142,-9.1851,-23.2661
1.2730,-2.6994,-9.3800,-75.6781,-5.1470,-28.8068
0.9810,-2.3714,-8.7804,-77.1943,-7.3758,-25.8272
0.8417,-2.0046,-8.0607,-75.3108,-9.0212,-18.5302
0.7460,-1.4495,-7.7657,-68.8293,-5.1240,-15.1632
0.7626,-0.9145,-7.6915,-66.4190,-0.7494,-12.7698
0.4091,-0.5201,-6.9935,-49.5280,7.8613,-9.7523
