ax,ay,az,gx,gy,gz
-1.9847,3.8194,-8.6509,1.2627,-0.8307,-1.5906
-2.0701,3.7378,-8.7756,2.9011,0.5374,-1.6795
-2.0723,3.6506,-8.9636,2.9208,2.1354,-2.1785
-2.3729,3.4055,-8.8626,3.3923,6.7753,0.6998
-2.3657,3.2216,-8.7878,3.5798,5.7554,3.4466
-2.4868,3.0360,-8.2797,4.6660,8.0049,5.8040
-2.4197,2.9103,-7.6684,8.0486,7.0033,8.8494
-2.3325,2.7249,-7.1831,13.3142,1.4627,8.3752
-2.4649,2.1785,-6.3705,18.9076,5.7490,5.3626
-2.8893,1.7853,-5.7072,21.6389,5.0520,6.3134
-2.9919,1.6347,-5.4029,24.9595,1.4450,7.5769
-3.0759,1.5084,-5.3827,29.3575,-2.8984,8.3746
-3.1583,1.1874,-5.3746,35.1958,-0.4539,9.3243
-2.7820,0.9876,-5.6567,38.1510,4.6492,10.5451
-2.4997,0.9599,-5.7891,40.9706,11.5266,11.0308
-2.8484,0.8740,-5.7928,42.7668,17.5506,18.8528
-2.3762,0.6439,-7.1716,49.7194,18.2194,20.1528
-1.9031,0.4630,-7.0344,57.0377,18.2748,29.8161
-1.1587,0.0914,-6.9222,65.5974,12.6912,27.2967
-1.7068,-0.3418,-7.4913,73.3444,13.1670,19.7192
-2.6655,-0.5631,-8.0491,79.4615,22.6710,27.4097
-2.1594,-0.8039,-8.8215,84.3400,33.1540,37.0869
-0.7737,-1.1907,-9.6301,80.8862,39.0110,42.4547
-0.3175,-1.5924,-10.1882,75.2128,47.4950,41.6401
-0.2829,-1.6543,-10.4592,70.7217,59.4689,45.2779
-0.1885,-1.6444,-10.5209,66.5322,75.7816,55.8714
1.4973,-1.1563,-10.8798,58.1638,83.1574,65.6500
2.8193,-0.9938,-10.9505,52.4317,84.5326,61.2797
2.3656,-0.7534,-10.8662,51.2889,94.6052,63.7557
3.5682,0.0338,-11.3428,57.5358,95.2833,66.3424
4.8304,0.5776,-12.4516,58.2511,83.5410,55.9496
5.1022,0.7853,-13.4834,56.6812,65.7187,42.7105
4.7780,0.6518,-14.0784,51.8418,50.9144,33.1858
4.2111,0.2097,-14.3584,47.3874,39.5025,28.2160
4.3111,0.0626,-14.8213,38.8292,31.9694,25.2691
4.3365,-0.1486,-14.6626,27.6267,18.6880,18.6595
4.1536,-0.4891,-14.0808,17.9430,9.2309,11.3934
3.6168,-0.7917,-13.5756,10.5917,4.2457,6.2685
3.3255,-1.0620,-13.2535,-0.4679,-5.2823,1.2790
2.6650,-1.2531,-12.3531,-9.7153,-7.4296,0.2210
2.3820,-1.3608,-11.5425,-14.4485,-9.1270,0.4322
2.3904,-1.4123,-10.9059,-15.9945,-7.9478,-1.8440
2.2266,-1.3953,-10.5776,-15.8510,6.8938,-2.8762
1.9828,-1.2935,-10.5998,-14.2766,7.5306,-1.9802
1.9319,-1.2386,-10.7814,-14.5353,9.9757,-2.2138
2.0817,-1.1879,-10.8278,-15.6076,9.7262,-5.6786
2.0606,-1.0813,-10.8520,-15.4863,7.8146,-8.8274
2.1847,-1.0677,-11.2190,-14.8480,3.0500,-11.5976
2.0958,-1.0853,-11.9816,-18.8088,-0.9954,-13.1635
2.0604,-1.0722,-12.1179,-26.6648,-6.9040,-14.6294
2.0896,-0.9431,-11.8926,-30.9286,-13.4698,-13.9483
2.0666,-0.7591,-11.9096,-32.7094,-18.9483,-16.1640
1.8125,-0.6197,-12.1210,-37.1270,-21.9289,-17.5935
1.4290,-0.3913,-11.9371,-40.7392,-21.5976,-18.6260
0.8471,-0.0613,-11.9244,-45.0003,-22.8566,-19.0789
0.1488,0.0701,-11.5794,-50.5734,-27.4459,-12.1361
0.4270,0.1886,-10.8456,-57.1742,-25.5629,0.6154
1.0910,0.5008,-9.9370,-59.7163,-23.2542,4.2982
0.7645,0.4983,-8.8667,-53.0147,-21.6613,3.9933
0.3291,0.4454,-8.8644,-42.1294,-20.3952,9.5198
0.4556,0.5857,-9.7596,-38.5148,-14.7494,11.9294
0.1111,0.6214,-9.8824,-40.5327,-7.5296,14.0684
-0.0922,0.4512,-9.7641,-38.3010,2.1710,18.9656
0.2735,0.4411,-9.6162,-36.6543,12.4373,24.5810
0.9089,0.4054,-9.7101,-30.6042,20.3997,23.0642
0.3664,0.6217,-10.5629,-32.7911,27.5297,26.7597
