ax,ay,az,gx,gy,gz
0.1431,0.8439,-10.4141,-5.9333,-4.0979,-1.8373
-0.0910,0.7846,-10.4050,-8.7289,-3.9659,-1.4826
-0.2245,0.7467,-10.1363,-12.4543,-4.3348,-1.0886
-0.1479,0.7373,-9.7585,-12.6301,-5.7039,-4.8937
-0.2241,0.7826,-9.7753,-12.9107,-6.6280,-8.0515
-0.5714,0.8035,-9.4103,-15.6356,-7.1221,-8.3385
-0.6116,0.8838,-8.4122,-12.5893,-8.4145,-3.0157
-0.9993,0.7314,-7.9804,-6.9095,-17.8641,-3.4688
-1.7932,0.5497,-7.3966,-1.3621,-17.1563,-3.7334
-2.6681,0.3074,-6.7119,3.5848,-12.6599,0.5026
-2.6359,0.0900,-6.0735,12.6761,-9.0163,4.5905
-2.2802,-0.2674,-5.3671,23.2057,-2.9725,7.5657
-1.7698,-0.6200,-4.5818,36.9628,-6.1312,11.8263
-1.2498,-0.9216,-3.6123,50.8662,-11.3921,14.9546
-1.1754,-1.1540,-2.7339,77.6407,-10.7036,15.6092
-1.2870,-1.3675,-2.4535,115.1843,-3.9389,16.1226
-0.9194,-1.7838,-4.2235,146.9816,4.3163,12.3649
-1.2514,-2.1973,-7.7402,142.2262,18.6858,11.0805
-1.2106,-2.2609,-10.3986,126.7625,25.7941,19.4627
-0.6959,-2.0010,-12.2401,99.8729,37.7685,22.7979
0.5030,-2.3240,-12.4311,89.3847,45.6519,27.8339
2.5821,-2.7292,-13.5416,84.5793,48.0299,18.8371
2.7496,-3.0604,-15.8622,74.5327,52.0108,12.7285
3.1446,-3.1576,-16.9757,54.0134,50.2650,8.9071
3.3681,-3.1213,-17.1190,38.4731,41.7309,2.4553
2.8087,-3.2251,-17.5247,25.5462,35.3428,-1.5448
2.4536,-3.2519,-17.5219,3.2485,28.8391,-4.5273
2.1653,-3.1329,-16.6592,-11.5241,18.7491,-6.6413
2.6269,-2.9963,-15.7080,-23.8928,5.5883,-12.2451
2.3899,-3.0312,-14.7964,-35.6421,-6.6869,-17.1722
1.9873,-2.8953,-13.7191,-42.8458,-15.4908,-19.0063
1.0980,-2.7692,-13.8408,-47.1030,-16.0856,-24.7937
-0.5669,-2.6614,-14.2610,-60.6404,-10.9273,-18.1611
-1.0449,-2.4427,-14.3388,-76.6059,-11.5723,-4.9430
-0.8259,-2.3499,-14.0471,-88.8169,-4.3267,0.5271
-1.8366,-2.2323,-14.2278,-100.6721,13.8560,6.2440
-1.6596,-1.9579,-13.2710,-115.9261,28.0872,15.4730
-0.4135,-1.4626,-9.6572,-122.0376,40.8726,20.0303
1.5173,-1.1330,-5.1996,-99.6863,51.9447,13.2454
2.3028,-0.7569,-3.1003,-60.7416,55.8444,5.2773
3.0418,-0.6332,-4.1294,-38.4602,26.9653,6.3638
3.7479,-0.7050,-4.7117,-33.9781,3.4203,-1.6335
3.3085,-0.8085,-4.1568,-30.0451,-9.9941,-7.1336
2.4997,-0.7488,-4.1348,-16.1310,-19.0827,-9.3642
2.1923,-0.4398,-5.0481,-5.1997,-23.5419,-10.3360
1.7876,-0.1555,-6.3595,0.0769,-25.2318,-13.5887
0.9898,0.0527,-7.1666,-0.0153,-24.0919,-14.6301
0.6867,0.2681,-7.4186,-0.6842,-22.4582,-14.1171
0.2924,0.4605,-7.3719,3.7281,-16.7926,-16.3155
-0.8182,0.6033,-8.1860,6.3688,-8.8062,-11.3316
-1.0585,0.6889,-8.4696,4.4270,-4.4062,-5.7660
-0.7103,0.8209,-8.0523,2.5585,-1.3911,-2.8772
-0.7994,0.7640,-7.6211,4.9762,0.5251,0.2110
-1.0365,0.4272,-6.7609,8.6777,1.0768,3.6315
-1.0012,0.1924,-6.0383,14.8711,-3.2978,9.8816
-0.6040,-0.1316,-5.1571,23.9104,-6.3028,12.5370
-0.7225,-0.5054,-4.6942,38.8449,-7.4142,14.3101
-1.4670,-0.7925,-4.6857,54.5654,-7.3506,21.5907
-1.0428,-1.1026,-5.0800,69.5450,-9.8120,28.9130
-0.4015,-1.7274,-6.8160,92.1958,-8.9369,27.7382
-0.0887,-2.0077,-9.6678,95.6025,3.8449,28.8302
0.7821,-2.0011,-11.1800,79.9303,15.6743,34.7860
2.5232,-1.9754,-12.7297,69.3111,35.7229,31.3816
3.3975,-1.9364,-13.5192,58.6373,37.7150,28.5518
4.0537,-1.9929,-13.9601,45.5814,27.1277,24.8548
4.2658,-2.2545,-13.9252,35.9611,14.1905,12.6783
3.9496,-2.5632,-13.9660,27.4127,4.3646,4.5880
3.6884,-2.8243,-13.6221,12.9265,1.2136,-0.4434
3.1494,-3.0435,-13.2893,-0.5925,-2.9483,-3.8362
2.5891,-3.0731,-12.7420,-9.5963,-6.3324,-6.2820
2.0204,-2.9091,-12.3859,-17.7729,-6.4565,-6.0328
1.8604,-2.7257,-11.8264,-22.1643,-8.0233,-8.6733
1.9754,-2.6095,-11.5490,-22.0992,-2.2823,-15.7932
1.1365,-2.5690,-12.0783,-23.8014,-0.3774,-16.7716
0.5089,-2.5327,-12.7673,-41.2535,-2.6963,-11.7660
0.6049,-2.4319,-12.8051,-46.6802,-4.3776,-6.3182
1.0407,-2.3312,-12.6358,-47.4485,-0.4524,-3.7713
1.1565,-2.2883,-12.8594,-51.3368,4.8184,-4.6545
0.3295,-2.0061,-12.7380,-63.2522,1.8999,6.0368
0.7324,-1.6633,-12.1135,-75.2848,-7.3536,16.1914
1.0454,-1.4232,-10.9515,-78.5973,-6.6100,20.1475
1.1526,-0.9502,-10.0080,-72.3708,1.8204,19.2349
-0.0121,-0.4046,-9.4568,-64.6249,5.3434,25.1939
0.4754,0.0141,-9.5746,-56.3587,-4.1712,33.4235
0.9316,0.2470,-9.4659,-51.5523,0.8098,32.9047
