ax,ay,az,gx,gy,gz
-0.4154,1.6564,-10.0366,0.2722,5.1921,-6.4117
-0.6821,1.4940,-9.7304,-1.4970,3.7767,-6.4638
-0.4366,1.5130,-9.7642,-1.3581,3.2978,-9.6034
-0.4024,1.5811,-9.8640,-1.6821,6.7320,-12.7915
-0.3196,1.6139,-10.1631,-3.6655,10.5852,-13.5963
-0.5488,1.6443,-10.2562,-8.9645,21.5594,-10.9241
-0.8158,1.5814,-10.0627,-12.3374,20.2360,-8.6807
-0.7117,1.4959,-9.6428,-10.3075,21.5217,-5.0484
-0.3245,1.5512,-9.6976,-7.2661,18.4086,-5.4156
-0.2655,1.6078,-9.8577,-6.8146,12.2386,-9.3971
-0.3890,1.7023,-9.8868,-8.0679,4.6416,-10.9392
0.0056,1.7803,-9.7111,-7.1336,-1.0786,-15.9783
-0.4771,1.9093,-9.7882,-6.5933,-3.6496,-16.6345
-0.3003,2.2689,-9.9629,-5.7882,-7.3701,-16.5585
0.7152,2.5763,-10.6174,-8.7133,-6.0265,-23.8619
1.0212,2.5343,-10.9844,-13.3332,-4.7332,-34.3967
1.0566,2.5090,-11.5569,-22.8424,-5.3988,-45.5427
-0.1972,2.4758,-11.0672,-31.0936,-8.4454,-48.4602
-1.4107,2.3993,-10.2038,-32.0586,-16.2748,-41.6551
-1.8676,2.5936,-10.3242,-38.6382,-18.2099,-38.2310
-2.9744,2.4115,-8.6836,-44.1223,-22.8153,-26.8373
-3.3139,2.1143,-6.5670,-37.4111,-25.5749,-13.3264
-3.4115,1.7425,-5.1572,-22.6865,-26.9259,-6.6862
-3.8019,1.2056,-4.1121,-7.2602,-29.8658,2.3623
-3.7209,0.6404,-2.7541,15.9898,-36.3462,9.1659
-3.8991,0.1447,-2.2397,36.0305,-26.8283,6.6466
-4.7134,-0.3235,-1.6460,51.2960,-21.2710,10.4491
-6.5041,-1.0745,-0.5194,74.6928,-9.0707,27.2195
-6.3118,-1.6240,0.0067,116.5824,-0.1702,56.1464
