ax,ay,az,gx,gy,gz
0.2354,0.2309,-10.0356,-4.8835,2.5923,-1.8583
-0.0485,0.2411,-9.9634,-6.2880,2.4051,-2.0810
0.1295,0.2509,-9.7618,-7.0155,-0.0718,-1.6639
0.2206,0.2980,-9.6124,-6.8835,1.3029,-2.7202
0.1156,0.2764,-9.3599,-4.8500,2.5664,-3.4355
0.1689,0.2880,-9.4467,-4.8838,5.0080,-4.7738
0.1728,0.2897,-9.2075,-6.0353,2.6076,-5.0956
0.0361,0.3970,-9.0173,-4.9761,2.0319,-6.8252
0.0479,0.4512,-9.1923,-2.6159,-1.8641,-6.8812
-0.4977,0.4382,-9.1639,-0.9603,0.0840,-7.5778
-0.7897,0.5425,-9.3918,2.8174,0.2691,-5.3262
-0.8656,0.6157,-9.5603,5.5428,1.3964,-3.0815
-1.6738,0.6449,-9.4948,4.3512,1.6764,1.7314
-1.4767,0.5815,-8.8059,5.3101,3.0101,5.9645
-1.3838,0.4987,-8.3763,7.8834,5.9432,9.1240
-1.5745,0.3332,-7.8480,9.1601,7.8689,12.5306
-1.6331,-0.0611,-6.8540,13.2507,10.1102,16.4571
-2.3739,-0.4457,-6.2252,21.7062,8.5153,25.2688
-2.1241,-0.8580,-6.1795,28.1474,4.4668,33.0740
-1.5982,-1.1633,-5.7061,37.2010,5.3426,36.1374
-1.9163,-1.2213,-5.7742,49.2329,8.6415,38.9158
-2.2244,-1.1839,-6.4928,58.8672,5.5707,46.3435
-1.7851,-1.0307,-7.2369,62.9114,1.6935,52.7128
-1.3452,-0.8343,-7.8413,67.4287,7.4846,56.8909
0.0747,-0.7072,-8.8050,74.4524,10.9267,61.1243
1.8585,-1.1523,-9.8656,79.4387,14.3194,58.6361
4.0119,-2.0267,-11.0397,79.7368,20.2635,43.2736
4.4912,-3.1727,-13.0514,72.7746,22.9657,25.9497
5.2553,-4.5451,-14.5145,61.4905,13.7568,12.0181
6.5391,-5.8000,-15.7133,50.1728,14.9819,-3.0506
5.7676,-6.1033,-16.7897,33.7839,28.2401,-23.6715
3.9911,-5.4028,-16.7252,8.2543,26.3924,-32.9722
2.5120,-4.4152,-15.9273,-23.2726,9.4303,-34.3968
0.9927,-3.8551,-14.2325,-37.1234,4.1564,-35.8487
-1.0006,-3.1424,-14.4542,-43.4352,14.7867,-37.4380
-3.1106,-2.4382,-15.0151,-57.7902,30.4806,-22.2649
-3.5208,-1.8957,-15.3708,-75.9355,42.7521,-9.3154
-3.5861,-1.3629,-15.3452,-92.2170,53.8727,6.0368
-3.4766,-0.9147,-14.2429,-109.7802,63.1445,21.6285
-2.2574,-0.4827,-12.7381,-121.4467,65.0212,37.9477
-1.0432,-0.0832,-11.4392,-128.4911,65.8944,51.0582
1.3503,0.1708,-9.5422,-136.5203,48.6661,65.1257
3.6252,0.3295,-7.0095,-129.9789,36.0791,66.5504
4.8992,0.6664,-4.9154,-109.2526,33.2626,56.1166
5.6251,0.9618,-3.3849,-80.1426,10.6044,48.8462
5.9111,1.0102,-3.5049,-64.3032,-0.0970,34.1099
5.5552,0.9862,-3.2040,-48.5598,-5.7879,24.2846
4.8056,0.9594,-3.0209,-31.6744,-16.5661,19.8694
4.9655,0.8594,-3.5244,-19.1395,-22.7935,13.0971
4.6747,0.8600,-3.7045,-11.0331,-18.4854,5.9348
3.8184,0.8458,-2.8080,2.5607,-17.6143,2.7057
3.5930,0.6874,-2.2899,26.2617,-21.6510,-2.7940
2.8117,0.4688,-3.2105,46.1869,-17.5251,-9.1548
2.4894,0.3818,-4.3807,56.9809,-18.0751,-9.9998
2.9662,0.0389,-4.3420,61.0650,-26.0913,-11.6426
3.8619,-0.8986,-3.6581,84.0168,-35.2659,-29.2397
4.5180,-1.8278,-5.8353,103.3067,-35.1652,-51.0353
3.3296,-2.5634,-7.5401,100.6978,-25.6418,-76.5245
1.7503,-2.9570,-8.8926,103.3688,-39.0489,-76.2136
2.5309,-3.1683,-9.4222,98.6573,-43.6248,-79.7146
2.1068,-3.4051,-9.1920,100.3230,-34.6135,-93.9628
0.5059,-3.3149,-10.5095,106.6758,-23.1463,-87.1140
1.9955,-3.3770,-12.1603,98.4136,-22.2505,-85.4427
1.2108,-4.0760,-10.8607,102.5442,1.0343,-82.4174
0.1379,-4.4002,-11.4472,128.1699,-25.8638,-48.6755
-0.0988,-3.9644,-14.9049,77.7995,-59.6211,-63.9527
-0.8385,-3.6470,-14.1080,57.6735,-55.7721,-65.7744
-2.0808,-3.5783,-13.3962,47.1788,-43.4508,-64.8555
-3.0505,-3.5913,-12.0180,49.4939,-23.0378,-58.6734
-2.2636,-3.4293,-13.7662,45.5681,-10.4060,-49.2593
-2.8351,-3.7395,-13.9518,29.5493,-10.1005,-24.5238
-1.9388,-3.8946,-13.4637,11.3742,-11.0326,-19.0653
-1.9164,-4.2128,-12.4541,8.6524,-12.5837,-15.7976
-1.6366,-4.1319,-11.8823,-2.1667,-11.8521,-16.9420
-0.9922,-3.7539,-10.6578,-6.2608,-10.6759,-8.8834
-0.2632,-3.4796,-10.2513,-12.9475,-14.8863,-7.1944
0.3063,-3.3388,-9.6228,-13.8800,-16.8566,-4.6678
0.6569,-3.2655,-9.7991,-13.7874,-10.6861,0.2994
0.6753,-2.9914,-9.4255,-16.2794,-4.1427,-0.2953
0.3714,-2.9054,-9.1098,-11.3703,0.2311,2.1235
0.4811,-2.8827,-9.0936,-6.0451,5.6804,3.6759
0.4872,-2.9486,-9.3004,-1.9032,6.4999,4.8415
0.8095,-3.1362,-9.4000,-4.5543,2.9483,3.1558
0.8311,-3.3232,-9.0564,-3.7546,0.5658,2.2743
0.8311,-3.3774,-8.9888,-2.4671,-1.6044,0.9963
0.7734,-3.3759,-8.9187,-1.1961,1.4518,-1.0295
0.5488,-3.2803,-8.9571,-1.7441,3.8058,0.9884
