ax,ay,az,gx,gy,gz
0.3717,1.6762,-9.6944,-0.2275,-3.5976,-1.7374
0.1267,1.6345,-9.7671,-1.3587,-4.2304,-1.4850
0.0638,1.6063,-9.7096,-2.1460,-4.5665,0.1328
0.0215,1.6153,-9.5484,-1.8270,-3.5201,0.0178
-0.0789,1.7111,-9.5765,-2.6273,-4.1153,-0.1544
0.1204,1.7694,-9.5444,-2.4821,-3.7199,0.0300
0.0815,1.7839,-9.5518,-2.6773,-3.1411,-0.5289
-0.0665,1.7724,-9.5058,-1.7012,-4.4281,-0.0347
-0.0851,1.7621,-9.6690,-2.0715,-5.1931,1.2156
-0.1011,1.7119,-9.6850,-2.3453,-4.9917,0.5751
-0.1478,1.7063,-9.7374,-3.0443,-3.2678,-1.0707
-0.4719,1.7646,-9.6200,-3.4910,-3.8885,-2.3156
-0.7074,1.7503,-9.4926,-3.1630,-1.8594,-2.2208
-1.3573,1.5833,-9.2258,-1.4308,0.9289,1.2730
-2.1287,1.4102,-9.1801,3.0517,1.7432,6.6672
-2.5337,1.1483,-9.3118,5.9311,0.5499,13.7448
-3.0348,1.0008,-9.6408,7.4561,3.6999,19.5534
-3.8624,0.9018,-9.7487,7.2620,4.1945,30.5892
-4.2060,0.8884,-9.7513,6.8055,2.5368,42.3560
-4.1440,0.8340,-10.0375,7.7618,2.8045,53.9502
-4.1740,0.7548,-10.5088,7.4680,3.4589,62.6095
-3.9497,0.6944,-11.2063,2.2090,-1.3384,72.7986
-3.3562,0.6041,-11.4492,-3.5082,-5.1017,81.9948
-2.8837,0.5942,-11.5488,-8.2697,-8.6222,90.0794
-2.7217,0.4807,-11.4242,-11.9766,-9.0536,98.2696
-2.6082,0.3318,-11.0547,-14.6738,-12.3441,110.0001
-2.2634,0.1083,-10.7406,-18.0651,-16.3509,117.7864
-2.2213,-0.2515,-9.8318,-18.3608,-15.8377,125.8158
-1.5850,-0.5128,-9.3464,-14.1372,-15.5492,135.1221
-0.0092,-0.8011,-9.1734,-12.1195,-11.0932,137.8555
0.8022,-0.7805,-9.0469,-12.8762,-3.7567,139.1117
2.2228,-0.6195,-8.4088,-13.0930,-3.4086,138.0099
4.5660,-0.5526,-7.6765,-6.6463,-9.2130,129.6477
6.1207,-0.3444,-7.7742,0.5129,-10.9324,109.7142
6.9958,0.0208,-8.1847,4.3730,-8.8769,88.2535
6.8858,0.2698,-8.5239,5.9932,-18.3853,73.4345
7.2022,0.5447,-8.9959,5.7106,-24.1073,57.2962
7.0976,0.6569,-9.1636,5.3874,-24.4874,41.3496
6.7333,0.7881,-9.3600,6.1860,-25.9874,24.9735
6.1705,0.9036,-9.4900,5.9137,-26.9635,12.2619
5.6987,0.9438,-9.5705,5.6790,-26.9305,1.8092
4.6754,1.0981,-9.5478,5.2062,-24.0934,-10.7373
3.7351,1.2229,-9.5878,5.3553,-21.5737,-19.4384
2.9144,1.2207,-9.3760,5.8782,-17.7894,-21.5095
2.7290,1.0815,-8.9633,6.0020,-17.3795,-23.1344
3.0356,0.7755,-8.6752,7.1050,-21.3890,-24.2446
3.4832,0.6306,-8.4164,4.1298,-29.8966,-33.3688
3.3069,0.4001,-7.7862,6.3600,-33.5767,-41.7197
2.9284,0.1874,-7.9907,9.6920,-35.4203,-47.6135
2.8873,0.0364,-7.7176,10.0483,-38.6406,-55.6064
3.3090,-0.2858,-7.3439,14.3206,-48.7729,-65.2774
2.9350,-0.6388,-7.7657,16.1469,-51.4136,-78.4401
1.8296,-0.8916,-7.7463,17.5058,-49.3453,-90.8425
0.6204,-1.1133,-7.6290,17.2457,-48.1009,-98.0111
0.6896,-1.2792,-7.1675,24.5602,-49.8818,-101.4113
1.0543,-1.6133,-6.8109,33.2027,-52.1498,-121.3935
-0.6073,-2.0919,-6.7987,42.9636,-49.5540,-130.7351
-0.9861,-2.6800,-7.2088,44.6557,-49.5327,-137.1495
-1.8773,-3.2166,-6.7755,47.2256,-48.9763,-137.6364
-2.0244,-3.4589,-7.1246,54.5281,-38.9344,-143.4780
-3.5410,-3.6735,-7.4105,76.7796,-28.1110,-147.5303
-1.6865,-3.5139,-6.6540,85.9704,-9.0105,-144.0428
-4.6456,-4.2889,-8.8686,70.8293,-12.8328,-134.3520
-5.3706,-4.5541,-11.1761,55.6588,-19.3271,-127.0401
-7.0652,-4.4377,-12.5754,40.0129,-27.6853,-122.1498
-8.5982,-4.1666,-12.8988,25.6952,-27.0069,-104.8200
-8.7586,-4.0674,-12.6471,21.0942,-4.5250,-85.4911
-9.6927,-3.8464,-12.5124,18.4206,17.3596,-70.0452
-8.8685,-3.7383,-13.1330,11.9619,29.9870,-55.1748
-8.5175,-3.7472,-13.0601,1.1732,39.6897,-43.4417
-8.5738,-3.5807,-12.6566,-7.4186,38.4504,-27.9412
-8.0545,-3.3070,-12.0292,-22.8072,37.4515,-13.6392
-7.3061,-3.1030,-10.5232,-28.6772,48.6447,-3.0595
-6.5848,-2.8922,-10.3937,-28.1046,56.3859,7.3879
-6.0298,-2.8169,-9.6218,-26.5702,63.8072,18.4571
-5.5180,-2.7178,-8.9170,-25.9175,64.2734,25.9803
-4.9080,-2.7158,-8.8412,-25.1520,63.3630,30.5753
-4.1668,-2.9283,-8.8139,-23.8359,63.8016,36.9556
-4.1572,-3.2722,-8.8722,-20.9098,62.7959,49.2304
-3.9113,-3.4378,-9.2181,-24.4240,62.3115,58.6663
-3.4014,-3.6708,-8.0101,-21.9025,62.5402,67.2256
-2.5848,-3.5273,-8.1893,-16.8530,64.4436,72.3172
-2.4961,-3.4183,-8.3355,-14.6753,59.7217,77.6728
-1.9623,-3.3317,-8.3505,-19.2037,52.7009,82.6276
-1.7183,-3.2742,-8.2123,-18.6031,46.3248,86.5800
-1.9064,-3.2974,-8.5781,-19.0806,36.9599,95.5285
-0.6616,-3.2836,-8.9022,-21.5888,28.8925,98.4146
0.0873,-3.2781,-8.5471,-21.9967,31.9205,99.0150
0.4228,-3.2010,-8.4001,-21.4846,33.2095,98.8324
