ax,ay,az,gx,gy,gz
0.0552,0.9531,-9.7123,0.2890,2.3026,0.3606
0.1996,0.9088,-9.8751,0.0691,-0.8291,-0.5238
0.1678,0.9084,-9.8102,-0.1448,-0.6421,-1.0021
0.1464,0.9256,-9.7469,-0.3142,-1.2421,-1.7404
0.0515,0.8892,-9.6583,0.2506,0.5001,-1.4440
-0.6663,0.8689,-9.7095,-0.0726,2.5842,-1.6633
-0.3785,0.9012,-9.6752,-0.0326,2.6126,-0.9076
-0.1631,0.9054,-9.7047,-0.1010,1.5702,-0.3119
-0.0918,0.9330,-9.6733,-0.0439,-0.3618,-0.7913
0.0921,0.9123,-9.8307,0.9903,4.4329,-0.5185
0.1019,0.9041,-9.8358,1.4862,4.4019,-0.9157
0.0309,0.9325,-9.8781,0.7562,2.9987,-0.0201
0.1784,0.8775,-9.8661,-0.4194,-3.2496,-0.6331
0.1420,0.8960,-9.7116,0.0401,0.1228,-1.5935
0.0584,0.9350,-9.7077,-0.1564,-0.5163,-0.3741
0.1231,0.8843,-9.8156,-0.2345,0.0724,-0.9847
0.0422,0.9073,-9.6972,-0.4764,3.3413,-0.8062
0.0533,0.9453,-9.7682,-0.5305,-0.5423,-0.5665
0.0260,0.9085,-9.7187,0.0802,-0.1487,-0.2605
0.0007,0.9227,-9.8142,-0.6462,-0.7086,-1.2345
0.1145,0.9169,-9.8350,-0.8931,-3.8817,-1.2428
0.1282,0.9203,-9.8403,0.4417,0.5878,-0.9510
0.0846,0.9361,-9.7820,-0.0809,-1.4692,-1.8886
0.0557,0.9308,-9.8250,-0.4995,-3.7629,-1.7559
0.0558,0.9489,-9.7701,-0.9190,-4.3805,-1.4502
0.1105,0.9474,-9.8174,0.2207,0.7266,-1.2864
0.0315,0.9209,-9.8247,-0.0845,0.9041,-1.4320
-0.0202,0.9133,-9.7469,-1.0068,1.3962,-1.2792
-0.0119,0.9361,-9.6756,-1.0787,0.3276,-1.2605
-0.0028,0.8991,-9.7222,-0.4329,-0.0555,-0.7052
-0.0165,0.9132,-9.6600,0.3298,1.1408,-0.3156
0.0645,0.9188,-9.7650,0.0432,-1.4599,-0.2871
0.0765,0.9297,-9.7088,-0.9981,-0.5138,-1.2451
0.0986,0.9600,-9.8276,-0.2323,0.6213,-0.4040
0.1737,0.9173,-9.8288,-0.7284,0.0192,-1.2073
0.0018,0.9493,-9.7111,-0.5886,0.9177,-1.4427
-0.0521,0.9591,-9.7421,0.1836,1.0223,-0.4826
-0.0275,0.9313,-9.7400,0.4486,1.1060,-0.3114
0.0255,0.9606,-9.7219,-0.1203,-1.7688,-0.2432
0.0956,0.9233,-9.6887,0.2013,-1.6483,-0.0475
0.0688,0.9430,-9.7735,-0.2187,-2.2747,-1.4448
-0.0255,0.9220,-9.6891,-0.2593,0.7636,-1.3264
-0.0371,0.9252,-9.8659,-0.1069,1.9304,-0.0570
0.1456,0.9150,-9.8238,-0.1727,-0.0078,-0.7321
0.0080,0.9483,-9.8532,-0.2410,-0.1468,-1.0850
0.0454,0.9616,-9.7957,-0.1418,-0.4549,-1.0568
0.1064,0.9525,-9.8218,1.2043,0.6447,-0.7927
0.0500,0.9604,-9.8668,0.5176,0.7872,-1.1091
0.0362,0.9434,-9.7983,0.8344,0.5067,-1.4457
0.0566,0.9452,-9.8113,0.0332,-0.5321,-1.3690
0.0446,0.9662,-9.8021,-0.2012,-0.5661,-1.3384
0.0139,0.9543,-9.7581,-0.7582,-3.3614,-0.7783
0.0189,0.9352,-9.6887,0.9590,0.7106,-0.1761
0.0671,0.9362,-9.7677,0.4622,0.9820,-0.8216
0.0055,0.9568,-9.8770,-0.1149,-1.3967,-0.6570
0.0444,0.9419,-9.7648,-0.5131,-1.4159,-0.6336
0.0369,0.9504,-9.7779,-0.1236,-0.6227,-0.4136
0.0454,0.9538,-9.7600,-0.1372,0.1986,-0.6632
0.0632,0.9407,-9.7500,0.0681,1.4948,-1.7320
-0.0738,0.9442,-8.9853,-0.2717,3.1064,-1.6936
-0.0563,0.9629,-9.4590,-0.4069,-0.5093,-0.6667
0.0112,0.9530,-9.7196,0.5509,-1.0207,0.0369
0.1158,0.9145,-9.7224,0.4262,0.3775,-0.5683
0.0883,0.9337,-9.7264,-0.0449,-0.6257,-1.4413
-0.0004,0.9414,-9.6531,0.1891,0.4082,-0.0606
0.0709,0.9214,-9.7997,-0.5185,-0.1498,-0.1856
0.0589,0.9653,-9.8032,-0.6315,-0.0347,-0.6147
0.1147,0.9511,-9.8219,-0.3815,-1.5483,-0.6589
0.0475,0.9570,-9.8582,-0.2820,-0.5068,-1.2666
-0.0570,0.9766,-9.7545,0.1370,-0.3032,-0.6655
-0.0093,0.9671,-9.6758,0.4722,-0.8965,-0.6370
0.0213,0.9720,-9.6704,0.3949,-0.9219,-0.3728
0.0219,0.9797,-9.6970,-0.1416,-1.4377,-0.8156
0.0279,0.9597,-9.7826,0.9515,-1.5587,-1.2447
-0.1080,0.9604,-9.7849,1.0071,-1.4804,-1.1203
