ax,ay,az,gx,gy,gz
3.1589,-2.4700,-9.8954,8.8291,16.2393,-6.9338
3.3421,-2.2974,-9.8039,12.9925,30.2156,-3.0889
3.4669,-2.1567,-11.0151,9.2120,37.8840,-1.0112
3.5943,-2.4839,-12.7563,23.3868,5.3623,7.0228
3.7977,-2.6602,-12.5501,25.9922,-18.6625,16.4573
4.4204,-2.5373,-12.9118,3.8474,-25.2714,17.8930
4.0947,-2.4366,-12.4044,-23.1715,-18.3334,18.0428
3.2995,-2.4166,-10.6610,-39.9071,-3.0549,24.5932
3.4182,-2.6450,-8.6533,-42.3511,10.4422,30.8242
3.9409,-2.6869,-6.9670,-35.3998,12.9887,32.8398
3.8405,-2.8591,-5.9243,-26.6068,12.3581,28.7948
3.8669,-3.3023,-4.9966,-14.5100,-1.5909,30.5993
3.8975,-3.8128,-4.2413,1.3881,-7.2674,31.2752
4.3910,-4.0535,-3.1858,15.6375,-5.8170,30.9962
4.9244,-4.2472,-2.2991,34.2466,-3.1326,26.9654
5.7043,-4.4741,-1.5947,48.6474,-8.3866,18.4494
6.0434,-4.7747,-0.3232,63.6920,-9.5920,8.5702
6.5155,-4.9030,1.5082,89.9091,-15.4244,-9.7331
6.5535,-5.0779,2.0381,125.9664,-24.9102,-30.5873
5.8483,-5.5769,1.3873,154.9385,-18.7797,-54.7747
4.6427,-6.4180,0.8057,183.6625,-12.8422,-67.3911
4.3589,-7.1359,-0.1058,210.7704,-18.4457,-72.2845
5.7876,-7.8624,-0.8085,231.5875,-17.2613,-89.3627
5.6703,-9.1888,-2.3703,247.4569,7.8665,-116.2624
4.6093,-10.6357,-5.2912,253.9819,22.8801,-125.4059
3.5590,-11.6206,-8.3379,238.2438,34.7124,-111.2577
3.8500,-11.9549,-11.3943,201.2982,33.8147,-93.9954
2.3694,-12.4308,-13.1089,145.3773,28.3997,-62.3019
2.2298,-12.8679,-14.0994,85.6998,-3.8063,-12.3484
3.5487,-13.0966,-16.3924,35.9075,-40.4342,15.5356
3.7479,-13.5622,-18.2989,-37.3478,-67.9895,47.9149
6.7000,-13.2057,-19.1814,-103.5431,-85.3178,54.8975
7.6210,-12.5683,-18.2099,-167.0137,-95.0364,40.5638
7.7800,-11.5770,-15.6593,-206.0923,-105.3519,16.2734
6.8549,-10.3210,-13.5034,-229.6071,-120.2462,10.4440
5.6656,-9.1009,-10.7410,-231.4189,-120.5668,4.4155
4.5009,-7.6789,-8.4892,-214.3113,-114.7093,3.0284
3.6916,-6.3236,-7.2187,-196.2930,-104.2020,2.6030
2.3121,-5.1648,-5.9265,-181.6636,-87.6720,4.8782
0.3801,-4.5453,-3.0524,-150.3854,-65.4159,20.5353
-0.3367,-3.9818,-1.0012,-115.9812,-51.1234,35.3632
0.1359,-3.1928,-0.0496,-76.1605,-31.0220,42.9068
0.5429,-2.6686,-0.1493,-38.2308,-25.6792,41.5250
0.4801,-2.7395,-0.8200,-19.9780,-17.3155,38.1934
1.0314,-3.0241,-1.2742,-6.6461,-18.6239,33.2009
-0.2072,-3.6474,-0.9967,6.1186,-15.7727,40.0234
-0.5877,-4.4343,0.1856,27.6774,-19.6117,53.3171
0.6757,-5.3179,0.7396,61.7548,-29.6952,58.3114
1.5818,-6.3725,-0.0514,95.3340,-33.7073,54.1872
1.8617,-7.2849,-1.4899,117.0822,-30.7517,52.4619
1.2930,-7.8785,-1.7453,131.0040,-18.3644,55.8216
0.6316,-8.5901,-0.8326,149.0612,-7.2820,65.5459
1.1177,-9.1873,-0.5358,175.7183,7.4537,66.0432
0.0057,-9.7361,-1.8152,200.0229,49.3112,90.0124
3.3870,-8.9027,-4.3153,205.0149,68.0731,76.6632
3.5798,-9.1590,-7.0707,208.2235,68.2889,50.6993
2.0688,-9.7681,-9.2880,199.3004,98.2997,48.8824
2.3292,-10.4657,-12.3803,183.3585,97.1326,56.5469
4.4527,-11.1150,-15.8237,151.5160,96.4154,46.2778
5.0354,-11.8430,-18.8535,99.2693,99.6704,26.1335
6.6763,-12.6254,-19.8371,26.8499,60.9672,9.0566
8.9429,-13.2220,-19.4131,-47.3581,21.1219,-15.9882
10.2625,-12.7419,-17.4924,-105.7559,0.0416,-45.6784
11.3610,-11.4703,-15.2413,-147.0309,-20.2738,-80.7152
11.0950,-10.1114,-12.6139,-185.4127,-49.6839,-117.0364
9.4735,-9.1846,-8.3354,-199.5464,-82.7547,-138.7376
8.4249,-8.2655,-4.5295,-183.0002,-101.2239,-151.9664
6.9761,-7.4474,-1.6753,-159.0518,-94.3686,-155.9234
5.4257,-6.2776,-0.3178,-99.2827,-81.2727,-169.1728
3.3796,-5.5730,-0.0572,-63.1099,-67.5059,-177.7321
-0.7252,-5.5318,0.0897,-23.2599,-41.5866,-159.5158
-3.4505,-6.0888,-0.7076,20.4979,-39.4503,-122.8486
-3.0221,-6.4084,-3.1773,42.7134,-46.0605,-92.0744
-1.8777,-6.6307,-5.1051,37.0116,-40.3874,-72.9175
-2.4309,-6.8862,-4.6850,32.3405,-33.7890,-56.6548
-3.8180,-6.8467,-4.7023,32.8423,-32.0065,-39.9844
-4.2460,-7.3756,-5.4583,38.3947,-28.3048,-6.1239
-3.0073,-7.6725,-6.5314,35.7147,-17.0957,0.4366
-3.1281,-7.6927,-7.2551,29.8436,1.4416,6.5030
-4.1300,-7.4874,-7.9177,21.3961,16.7412,22.2355
-4.8399,-7.2127,-8.5819,12.5978,28.6872,40.0438
-4.9004,-7.0775,-8.4658,2.9435,35.5478,59.6474
-4.8121,-7.1534,-8.7481,-4.0167,45.6113,78.9959
-4.3188,-7.3420,-8.7105,-10.0737,59.4780,98.1165
-3.5664,-7.6822,-9.0212,-19.8174,63.5624,112.2152
-1.4661,-8.0711,-9.2082,-34.1048,62.2793,123.6412
0.0784,-8.4737,-7.7583,-44.0465,67.3744,138.2187
2.4276,-8.4840,-6.5994,-43.4924,70.0339,141.1529
5.5090,-8.0530,-6.1238,-40.4480,75.2226,132.4577
8.2623,-7.6683,-4.9924,-33.5046,79.3102,111.4224
9.9888,-7.2703,-4.7295,-20.5842,77.5648,87.5001
10.5519,-6.7172,-5.3913,-8.5311,72.8241,55.0533
9.7472,-6.1887,-6.1561,-2.7659,59.3051,29.9202
8.4070,-5.7653,-6.7255,-1.0200,35.8867,15.3260
6.9834,-5.4354,-6.9952,-1.3790,19.6987,6.6109
5.9069,-5.1687,-7.0017,-0.5103,4.5331,1.1623
4.8677,-5.0857,-6.9899,1.7320,-3.2713,-5.9791
