ax,ay,az,gx,gy,gz
1.3513,1.8016,-9.9595,-0.2258,1.2379,-1.1215
1.1620,1.8198,-10.0052,-5.1092,0.5596,-2.2093
1.0837,1.7406,-9.6228,-7.1787,-1.3119,1.6569
1.4762,1.8128,-9.4591,-6.5690,-1.2136,1.2986
1.5546,1.7724,-9.4660,-4.3877,-2.0174,0.4395
1.6981,1.7880,-9.5062,-3.2669,-5.0347,-1.3775
1.8676,1.8403,-9.5482,-2.1465,-7.5840,-3.4070
1.8342,1.9159,-9.8559,-3.3867,-7.1231,-5.5212
1.4060,1.8739,-9.7132,-4.6388,-5.8861,-4.2971
1.3595,1.8140,-9.6017,-3.2825,-8.4707,-2.4613
1.5369,1.8910,-9.9204,-4.6395,-9.5412,-3.3325
1.3885,1.9418,-9.8254,-7.5397,-11.6109,-3.7213
1.3698,1.9620,-9.8509,-9.3680,-11.9708,-4.0867
1.0973,1.9730,-9.6911,-11.6971,-15.8230,-3.4735
1.2684,2.0349,-9.3970,-12.3288,-19.9268,-4.1988
1.0973,1.9933,-9.0609,-10.8520,-23.7513,-4.2767
0.6632,1.9595,-8.6823,-8.9579,-24.5986,-1.7367
0.7239,1.9374,-8.2406,-3.3151,-24.3879,-2.4963
0.3735,1.6289,-7.2811,4.1986,-21.6066,-0.1853
0.6778,1.0826,-5.7439,15.9971,-17.7603,3.4738
1.2657,0.3091,-4.1093,31.0600,-16.7357,2.9909
1.0328,-0.4828,-3.0324,60.3611,-5.6646,-0.0673
-0.0165,-1.2157,-2.8403,86.3077,5.4420,3.2257
-0.2381,-1.6341,-3.0491,101.9844,9.5661,8.4557
-0.3176,-2.0023,-2.9621,113.3640,17.4449,23.9397
0.4489,-2.1170,-3.2935,123.1602,20.2426,17.4562
0.5033,-2.5517,-5.9380,149.2700,32.4828,13.9914
-0.1091,-3.4047,-5.5120,146.8879,43.5910,22.3068
1.1716,-3.7844,-7.6477,157.7837,47.9264,30.9682
3.4994,-3.7396,-8.8116,158.4942,49.5672,21.4329
3.5727,-4.1684,-9.5974,160.2943,44.2350,12.7498
3.9678,-4.5839,-12.7195,157.8494,41.1018,4.6165
3.0531,-5.1239,-15.2671,141.9141,37.9585,10.7371
4.1904,-5.4770,-17.8771,114.4154,25.8759,5.9230
4.3403,-6.1419,-20.5840,85.3505,11.4586,-5.8550
4.1147,-7.0837,-23.0758,50.8996,2.9404,-9.4877
5.3764,-7.1241,-26.3869,2.5043,-9.7636,-18.3089
5.3597,-6.8751,-25.5345,-51.7765,-18.7802,-26.2443
