ax,ay,az,gx,gy,gz
-1.4407,-8.0293,-5.5187,6.8283,-0.6036,2.2292
-0.9920,-8.0680,-5.3048,8.4453,-4.0929,6.3733
-0.2804,-8.0344,-5.5223,10.4795,-2.3622,-0.2809
-0.8185,-8.0470,-5.1824,15.0822,1.5718,-3.5608
-1.5859,-8.0607,-5.0846,21.3391,3.0949,0.8663
-1.4532,-8.1554,-4.8324,22.2270,6.6513,5.7046
-0.0807,-7.9568,-4.5246,35.6883,11.5646,5.5223
0.3444,-8.1112,-5.2378,45.8493,14.8683,-6.3095
-1.2961,-8.3859,-6.5560,47.0683,13.5696,-5.9595
-2.0064,-8.5470,-7.3543,39.7138,0.7035,12.3877
-1.2949,-8.6918,-7.8333,34.5958,-5.4694,20.5729
-0.5133,-8.7322,-8.4330,28.9348,0.7991,12.8291
-1.7757,-8.6099,-8.1530,22.2146,11.3435,7.8934
-3.1741,-8.5353,-7.4393,15.4102,19.9223,20.8077
-2.7796,-8.8860,-6.1901,6.9286,19.9218,36.2303
-1.5421,-9.6335,-3.7912,7.8530,18.8257,43.6733
-0.2486,-9.7696,-3.2142,11.5926,15.9029,38.2052
0.0211,-9.5298,-2.4746,11.0153,15.8358,27.4314
-0.4479,-8.9474,-2.1227,5.6014,15.1768,20.7843
-0.7353,-8.6293,-0.9799,6.9877,10.6577,19.6990
-0.1927,-8.5142,-1.1303,13.8193,7.2580,12.4814
-0.3255,-8.2581,-1.4120,17.8020,5.2309,2.3601
-0.6895,-7.9228,-2.1004,17.3214,0.5046,-1.1612
-0.7623,-7.8643,-2.5559,16.3294,-6.6865,1.6946
0.4996,-8.3712,-2.9417,11.8884,-12.5403,1.6929
2.5693,-9.1348,-3.1009,5.6959,-15.8389,-14.8297
4.8595,-9.6230,-3.4121,-2.5844,-23.3470,-39.9911
6.4450,-9.9815,-2.8300,-17.9333,-43.7837,-74.4061
7.3870,-10.2510,-2.3217,-26.2743,-67.0884,-109.0891
5.1426,-11.0440,-1.6844,-24.9990,-72.2306,-161.7915
-0.6951,-11.0166,-2.7419,-17.0735,-55.0150,-172.2663
-7.3833,-10.1643,-5.5572,-26.2272,-61.6524,-111.7370
-8.6700,-9.4218,-6.0953,-39.3527,-66.7801,-48.6243
-5.5743,-9.1004,-5.1568,-46.7668,-60.5594,-12.0905
-4.0516,-8.7045,-3.5414,-41.3294,-39.0755,-8.0068
-3.7857,-8.4375,-2.7172,-25.8050,-22.2664,-5.7919
-3.9335,-8.1671,-2.9540,-7.5316,-10.3941,-2.6346
-3.2863,-8.1401,-4.0884,-1.6939,-6.0074,8.0628
-2.5419,-8.2591,-3.9232,-0.5091,-3.7984,15.7753
-1.6838,-8.3122,-3.3042,6.1159,-3.1302,20.9935
-0.6536,-8.4341,-3.2192,11.1965,-1.5156,21.0045
-0.1372,-8.5576,-2.9463,11.6585,-3.1491,16.5834
