ax,ay,az,gx,gy,gz
-0.4272,-1.4928,-9.7757,2.0751,5.6397,-5.6439
-0.5830,-1.4620,-9.8024,2.5921,10.0241,-7.2120
-0.3511,-1.4871,-9.7380,-2.2599,-0.2014,2.1110
0.3290,-1.5778,-9.4214,-1.7459,1.1249,1.2685
0.0089,-1.5995,-9.3703,0.2710,3.8022,-1.7642
-0.3173,-1.5822,-9.4134,-0.6967,-1.5390,-0.2312
-0.3578,-1.5724,-9.2173,-0.9975,-5.2658,1.8118
-0.0944,-1.5945,-8.9491,0.6109,-6.3694,1.0230
0.0105,-1.6033,-8.7589,4.8335,-5.7548,-3.0420
-0.6164,-1.5981,-9.1269,6.6400,-5.9317,-3.5635
-1.1049,-1.6479,-9.1091,3.8605,-12.6614,2.2561
-0.6423,-1.6418,-8.7966,3.7240,-11.2929,3.2229
-0.2277,-1.7316,-8.2602,8.8117,-4.2998,0.2358
-0.4950,-1.9027,-7.7182,11.8476,1.0116,-0.6999
-1.0451,-2.1092,-7.4997,13.8985,-1.5114,4.3649
-0.8174,-2.3037,-6.9633,14.3774,-3.1896,7.0123
-0.5711,-2.4646,-6.3119,19.8364,-0.7805,9.1616
-0.9054,-2.5142,-6.0843,29.1736,4.8564,8.7944
-1.0413,-2.5513,-5.9593,38.9159,3.6431,9.6177
-1.2682,-2.7447,-6.3388,45.6583,0.9266,13.6543
-1.2000,-3.0204,-7.6511,42.5246,-5.2121,20.1918
-2.2102,-3.4587,-7.4673,35.7564,5.7063,30.4638
-1.5316,-3.7224,-7.9330,41.6194,1.3681,30.0833
-0.1033,-3.8964,-7.7696,44.6266,-8.1553,20.4486
0.1596,-4.2164,-7.3156,50.4594,-12.5347,9.4078
0.2671,-4.6289,-7.0773,65.0452,-14.7408,3.2867
0.0188,-4.7989,-7.9103,74.4734,-7.6947,-2.6049
-1.2671,-4.8348,-8.2187,81.6388,-4.9755,3.6912
-1.1016,-4.7482,-9.0762,91.5706,-1.8705,7.8823
-0.9580,-4.8262,-10.9907,92.0241,-6.0299,2.8062
-2.1946,-4.9868,-12.9252,87.9476,-3.1330,2.6831
-2.1075,-5.3072,-12.6144,121.0976,8.1773,-11.5275
-1.5397,-5.8295,-15.4875,76.9243,14.7850,9.6664
-1.4752,-6.3600,-16.9879,53.8691,24.8321,9.9647
-1.0634,-6.5739,-18.0489,38.9636,35.6155,10.4627
-0.7036,-6.7657,-17.1830,0.6633,34.9326,6.3196
-0.3213,-6.4415,-16.2823,-18.4535,34.7031,-3.1684
-0.7253,-6.2606,-15.5638,-38.1984,16.3196,-4.6254
-0.4077,-6.3961,-14.7016,-59.8370,3.1886,-3.8142
0.3266,-6.5019,-12.8486,-69.5847,4.8341,-10.6566
1.3075,-6.4633,-11.4861,-66.8460,12.9068,-26.5293
0.9861,-6.2750,-10.5088,-66.8100,21.3030,-41.7380
-0.6056,-5.8572,-9.9413,-73.1179,0.3244,-30.9723
0.1297,-5.6046,-9.3208,-91.6860,-10.5937,-24.2864
0.3417,-5.2908,-7.8002,-102.1930,-7.4356,-24.3236
-0.2713,-4.6040,-5.6392,-95.8788,-6.7690,-21.9360
-0.3971,-3.8467,-4.4105,-78.3618,-4.3543,-14.8745
-0.1849,-3.3379,-3.3367,-58.7055,4.0245,-12.6549
0.2971,-3.1931,-3.2985,-29.4733,9.3814,-14.9329
-0.4879,-3.0231,-4.6491,-11.3515,17.0343,-18.1574
-1.0221,-2.9583,-5.3046,-6.2906,12.0290,-12.6546
-0.6497,-2.9009,-5.4415,-2.5488,3.6310,-7.0089
-0.0175,-2.9500,-5.8908,3.5762,3.7878,-6.9543
0.1160,-2.9005,-6.3231,8.5844,5.2832,-9.7986
-0.2833,-2.7395,-6.9879,12.4737,5.9625,-10.3824
-0.3298,-2.6726,-7.7825,12.0402,1.2593,-4.2925
0.2366,-2.7468,-8.4099,9.9290,-2.2136,-4.6512
