ax,ay,az,gx,gy,gz
-0.3099,1.8507,-9.4590,-1.5707,-2.9119,0.0688
-0.2021,1.9056,-9.6850,0.5936,-3.4097,0.0345
-0.2053,1.9361,-9.7691,0.1903,-6.0944,-1.3700
-0.2786,1.9338,-9.8602,-0.7288,-6.9098,-2.1818
-0.4259,1.9358,-9.9512,-2.5276,-7.5293,-1.6197
-0.4903,1.9308,-9.7512,-2.8218,-6.0055,-0.8059
-0.4785,1.9346,-9.6024,-2.3488,-4.4720,-0.4400
-0.5573,1.9217,-9.3905,-2.7085,-1.4594,0.3378
-0.5339,1.9828,-9.1362,-0.1963,-1.1037,2.2911
-0.1961,2.0072,-8.9601,2.0256,0.5552,1.5088
-0.1914,1.9016,-8.9620,4.6377,2.6483,1.7033
-0.3999,1.7789,-9.1530,3.8225,4.2397,1.5278
-0.4684,1.6926,-9.0446,3.8353,-0.1426,2.6802
-0.5792,1.5056,-8.3041,5.6528,0.6004,5.2040
-0.4303,1.2035,-7.0038,9.2420,2.8348,4.3959
-0.3653,0.7030,-4.9420,16.8237,5.6627,5.5916
0.1995,0.1523,-3.0987,34.3392,3.7954,7.5004
0.5653,-0.3925,-1.9301,53.5734,4.3590,5.0567
0.9962,-0.9550,-1.8571,74.7981,6.5642,-1.6056
0.0352,-1.5303,-2.0470,92.2207,11.6142,-3.4557
-0.4740,-1.8774,-3.6843,109.5212,7.9758,1.9618
-0.1435,-2.3382,-4.6384,120.7040,3.0719,5.5083
-0.2915,-2.9798,-5.7355,135.1847,-3.6419,6.7507
0.6726,-3.5606,-7.5954,140.9464,-4.2481,4.1683
-0.3817,-4.5150,-9.7042,147.7065,-10.4321,-3.4764
0.7462,-5.0474,-13.1251,157.2243,-1.3020,-7.6140
0.0683,-5.2420,-15.6964,143.5199,-2.3476,-6.9000
-0.5559,-5.3828,-16.9501,126.9401,-18.1476,-9.1870
-1.4151,-5.8739,-19.2440,113.3466,-5.7206,-8.1159
-0.9271,-6.3172,-22.5023,84.9674,14.8608,-1.1147
0.0854,-6.6549,-23.1389,40.1259,30.4258,1.5445
1.2432,-6.4579,-24.2451,-9.3690,23.8059,3.0241
3.0035,-6.2729,-22.4751,-56.9222,16.8307,-10.6754
4.0352,-5.8794,-21.7046,-96.9169,9.4191,-37.7481
4.5495,-5.2503,-19.3954,-131.7547,-14.3509,-63.9461
4.7570,-4.4640,-15.4827,-157.3334,-34.2192,-90.6390
1.9984,-3.4827,-10.1483,-171.1776,-41.2816,-115.7587
-0.3268,-2.3776,-5.9799,-165.5169,-55.8931,-121.1593
-2.8454,-1.4279,-3.6182,-144.0030,-67.6075,-109.8209
-5.4813,-0.7129,-3.3298,-122.3770,-74.0387,-86.8065
-9.8352,-0.7367,-3.2842,-95.3116,-79.2529,-28.9686
-12.9535,-1.4233,-5.4819,-68.3578,-72.9823,60.8066
-14.9838,-2.1345,-6.0163,-52.0275,-17.2546,150.4342
-13.0312,-2.2849,-5.6325,-42.6639,25.0234,220.5307
-7.2865,-3.0162,-3.8431,-30.3400,52.0028,250.2336
-0.7852,-3.9555,-2.4396,-13.5930,75.5506,249.0704
9.6220,-4.7931,-3.9558,19.2443,58.7461,191.5394
13.5237,-5.3944,-7.8526,23.7538,41.4386,104.7945
14.3385,-4.1468,-8.7923,13.6624,15.7120,36.8986
12.5217,-2.2096,-6.0743,20.9428,-1.2679,-30.8311
9.9345,-0.8683,-5.9812,39.3078,-17.9709,-81.3827
5.7729,0.2186,-6.8086,49.8604,-22.8045,-122.8234
2.0741,1.1467,-6.5586,56.5038,-28.0152,-133.6222
1.0317,1.7350,-5.7244,69.3890,-40.7098,-137.6238
-0.0112,1.8365,-6.4528,87.5817,-48.9219,-154.7265
-3.0137,1.6983,-8.9787,87.7395,-36.1310,-146.4424
-3.4506,1.6865,-8.4738,78.8248,-40.9465,-140.9546
-6.1918,0.4629,-8.9213,86.3205,-34.9387,-126.2110
-6.8243,-0.3755,-12.6292,84.0345,-19.1874,-99.3551
-10.0123,-0.9367,-14.7643,50.2074,-10.1384,-68.5228
-13.4389,-1.5115,-13.8562,24.1879,-6.8329,-9.3865
-15.6294,-1.6798,-13.5323,9.9154,11.2150,42.3400
-17.5526,-3.3171,-14.4869,-5.2468,64.0843,125.3001
-15.6035,-4.9569,-14.0253,-42.6798,91.9483,206.7790
-8.6558,-6.1079,-10.1130,-62.3787,87.2296,246.1950
-3.4364,-7.1883,-7.3403,-47.7519,95.1304,257.6212
5.4349,-7.6066,-6.8336,-28.8662,102.2781,240.2506
12.1661,-7.5051,-7.2515,-12.0372,85.8605,162.1091
15.9306,-6.0412,-9.0919,-18.3226,33.2605,79.4708
17.0971,-4.1851,-7.1473,-21.3293,-3.1367,6.0438
16.3885,-2.8185,-5.6157,-7.7739,-27.1862,-62.2852
11.9370,-1.9837,-5.7526,4.9955,-51.2541,-132.4632
7.4630,-1.4440,-6.0549,18.8431,-75.7929,-174.0842
3.8069,-1.2034,-6.4374,31.8973,-82.9856,-202.9098
-2.4425,-0.9866,-9.2607,23.9413,-54.4051,-192.7993
-4.8830,-0.7707,-9.6983,11.1660,-37.1747,-169.4307
-5.4391,-0.6560,-8.0254,8.5274,-31.9206,-148.9634
-5.8016,-0.5469,-7.4807,15.0220,-20.9369,-131.1257
-7.0033,-0.7888,-7.3418,21.3995,-12.0146,-102.7858
-5.2570,-1.4671,-7.9810,36.7499,-10.1083,-86.5362
-5.9942,-2.3882,-11.0996,51.1608,21.0809,-77.2890
-7.5352,-2.6625,-14.4784,42.1851,37.7477,-23.0321
