ax,ay,az,gx,gy,gz
-5.0291,0.7838,-8.7536,0.8832,-13.9827,-0.2642
-5.1227,0.7896,-8.8741,-4.1200,-11.2707,-1.8261
-5.3991,0.8178,-8.6109,-4.0455,-16.5138,-1.1831
-5.4946,0.8549,-8.6473,-4.6480,-15.2703,-0.3793
-5.4923,0.8034,-8.7483,-6.3208,-17.1358,-2.8413
-5.8573,0.8002,-8.5723,-7.6607,-17.1194,-1.5449
-5.9680,0.8047,-8.3611,-7.5617,-17.7030,0.9519
-5.6288,0.7690,-8.2050,-6.0471,-22.1078,3.0833
-5.3440,0.7030,-7.9643,-2.9999,-24.6191,2.0347
-5.2220,0.5960,-8.0385,-3.5576,-22.8365,-0.3213
-5.1793,0.4036,-7.5234,-3.2316,-23.5603,-1.8067
-5.1190,0.1859,-7.1226,-2.7647,-25.4078,-2.3977
-4.8588,-0.0304,-6.4934,-1.0616,-23.9933,-4.1923
-4.2423,-0.7331,-5.4708,7.2869,-28.6990,-4.8642
-3.3141,-1.3960,-4.6576,15.4136,-28.6325,-9.8942
-1.9046,-2.2936,-3.8154,29.3105,-19.7972,-19.3558
-0.7559,-2.9908,-3.5005,38.1695,-12.1512,-33.4045
0.1218,-3.6889,-2.5654,52.4422,-15.6840,-57.4551
0.6901,-4.4738,-2.3980,71.1869,-24.7185,-88.0985
-0.3604,-4.8121,-3.0575,91.8797,-28.9875,-115.5486
-3.9796,-4.2090,-5.5761,101.9254,-31.8241,-122.2981
-7.0766,-4.6462,-7.5637,125.9849,-24.3125,-135.9420
-12.0259,-4.6732,-13.0255,96.1917,-33.1251,-120.8869
-14.7127,-4.1941,-14.1037,54.2859,-48.0957,-82.3585
-15.6204,-3.7700,-13.3974,43.8922,-43.0517,-66.9442
-17.0189,-3.2901,-12.3988,15.0158,1.4402,-23.2152
-16.2153,-2.9205,-11.7681,4.7907,20.0282,9.7788
-15.2039,-2.8801,-11.6209,-13.1022,35.1793,53.9696
-12.7298,-2.9331,-11.9312,-16.8076,36.7822,77.7062
-10.4458,-2.4759,-13.2303,-30.5470,19.8021,76.6559
-9.7358,-1.7523,-13.0816,-52.6621,7.1031,77.7553
-8.9606,-1.1877,-12.6824,-81.8610,-15.1038,84.5992
-7.8972,-0.7844,-11.6850,-110.9703,-54.1597,84.4563
-7.5605,-0.4712,-9.4872,-124.4070,-86.6852,85.1159
-7.5620,-0.4072,-7.2325,-125.3277,-95.7490,92.0799
-7.2053,-0.5228,-5.7188,-121.9008,-85.6574,100.4143
-5.8963,-0.9809,-4.4595,-114.4258,-88.8493,99.1785
-4.2027,-0.9903,-2.9125,-90.6306,-117.0518,84.1457
-2.1861,-1.0603,-0.9109,-72.0588,-97.2524,50.6840
-1.9543,-1.3821,-0.0454,-31.9204,-60.3346,15.0316
-4.1009,-1.4381,-1.2195,-18.8580,-42.3158,-5.7291
-5.8339,-1.7139,-1.4245,-23.5233,-17.3178,-7.4566
-6.7367,-1.9015,-0.6675,-6.3709,-1.0913,-19.1024
-9.9198,-2.0193,0.8641,10.6958,-0.0300,-21.2916
-13.4194,-1.9077,1.8048,48.2965,3.0055,12.8201
-13.9042,-1.4340,2.5739,90.4428,19.8923,62.5135
-14.0222,-1.1533,2.8799,134.1026,33.7765,90.6311
-13.5649,-1.4219,1.0768,177.9853,53.0410,115.3904
-11.6194,-1.9438,-3.7438,191.1044,84.1825,133.0813
-8.5690,-2.6326,-6.5782,184.1015,93.4965,130.1734
-3.9580,-3.1804,-11.9159,149.1984,51.1770,103.0533
-1.1753,-3.2227,-14.7226,96.4084,22.3685,73.4646
-0.2410,-2.6689,-14.7559,47.6706,4.3731,43.9895
0.7359,-2.1316,-13.6713,9.5227,-13.8298,13.2530
1.3407,-1.8890,-12.7067,-23.9481,-34.5598,-18.9969
0.3221,-1.7666,-12.0260,-61.7957,-50.0153,-45.6532
-1.6882,-1.6487,-10.5565,-95.9900,-61.0119,-66.4171
-3.3035,-1.2762,-9.5598,-104.7063,-66.9046,-78.9357
-4.0384,-0.5430,-9.0883,-115.2131,-57.2792,-81.8936
-3.7286,-0.3032,-7.9642,-130.6893,-47.9280,-96.3892
-4.3171,-0.2942,-5.9033,-141.3990,-39.9082,-112.9467
-6.5683,-0.2733,-3.7866,-143.2157,-42.5337,-123.5388
-9.1093,-0.1843,-0.7689,-139.8080,-43.1147,-124.6343
-10.5670,-0.3132,0.3771,-108.7379,-28.3412,-109.5176
-11.6426,-0.7217,0.7063,-89.4211,-17.1945,-104.3880
-13.3125,-1.0485,1.2349,-71.1982,-13.1387,-94.8446
-14.2622,-0.9855,0.8689,-43.2108,-9.1647,-63.8199
-13.3348,-0.9086,0.6138,-22.8024,-11.2504,-40.0113
-12.4644,-1.1027,1.3566,-6.6320,-22.4907,-32.4770
-12.4840,-1.4767,0.5197,28.2519,-27.1317,-18.1836
-12.7022,-1.7581,2.3450,42.0053,-20.0008,-2.8445
-13.6159,-1.8787,4.2699,81.6174,-11.8108,16.6196
-13.8499,-2.2955,4.8918,121.4450,-7.0769,39.7902
-12.3466,-2.9599,5.6204,164.1822,9.9378,57.8184
-11.1894,-3.6881,4.1872,198.2567,54.4722,68.4056
-10.2305,-4.7501,1.4731,224.2060,102.7070,74.6412
-9.1401,-5.1900,-3.3009,233.9408,159.1577,95.9624
-4.8220,-5.2411,-8.9233,213.7478,153.1268,83.6669
-3.1644,-4.6217,-13.1544,148.3499,111.7403,58.6701
-3.0956,-4.1333,-13.9677,98.5154,101.8904,42.1913
-3.0855,-3.3626,-13.0148,51.8387,88.0665,19.7870
-3.8854,-2.7678,-11.0537,31.7914,42.8207,-0.1701
-4.6446,-2.3352,-10.2561,5.9020,24.1857,-7.9844
-4.9841,-2.0046,-8.8265,-8.6138,20.2694,-12.1051
