ax,ay,az,gx,gy,gz
-0.3071,-1.0247,-9.7234,3.2127,-9.8348,-4.3020
-0.3364,-1.1086,-9.5856,4.3092,-6.9229,-2.0839
-0.3337,-1.1679,-9.5365,6.1785,-2.2660,1.4961
-0.4507,-1.1281,-9.6006,7.5124,1.4415,3.3841
-0.2552,-1.0978,-9.6837,9.3918,3.2538,4.5990
-0.5031,-1.0945,-9.3825,11.8255,5.4079,7.5270
-0.1954,-1.0268,-9.5537,17.9781,8.7517,9.1977
-0.1623,-0.9394,-9.6333,21.0583,10.7987,6.7436
-0.4488,-0.9479,-10.3998,19.4600,10.8545,4.6291
-0.8337,-1.0953,-11.0448,11.7011,13.5320,9.3513
-0.2924,-1.1626,-11.5175,2.6289,13.4594,13.4640
0.2515,-1.1750,-12.0716,-8.4832,11.1545,13.4567
0.8886,-1.2260,-12.3871,-21.9241,11.3754,10.8827
1.6982,-1.1858,-13.8727,-54.4154,12.2220,1.1761
1.4095,-1.6712,-11.9742,-83.9916,10.0299,-7.7859
1.7816,-1.5358,-10.6771,-87.8359,-2.8122,-10.5088
2.5031,-1.2197,-11.5326,-103.4428,-20.9035,-24.4895
3.0005,-1.1660,-10.6570,-112.8980,-36.9107,-39.6198
3.8554,-0.9861,-9.8533,-115.6486,-48.0425,-66.7139
3.6855,-0.8627,-8.4818,-112.2332,-44.1686,-89.0428
2.0158,-0.5687,-6.7403,-90.3061,-30.7836,-97.2529
1.9018,-0.0511,-6.7072,-68.5157,-19.9366,-108.9491
1.1591,0.3305,-6.3512,-52.7226,-16.5057,-116.3425
1.1748,0.4536,-6.2988,-31.8977,-22.0951,-122.4032
1.7660,0.1827,-6.2059,-17.0367,-19.2191,-134.0872
1.7131,-0.2824,-5.5841,-1.1346,-7.7907,-159.3043
-1.7859,-0.8536,-5.8668,17.9213,-17.4895,-161.2876
-2.1379,-0.9454,-7.3163,22.2159,-44.1505,-144.6275
-0.9179,-0.9935,-7.4119,21.6908,-41.9456,-142.7614
-1.8761,-1.1250,-5.8449,33.2411,-23.3241,-142.6511
-3.2688,-1.2003,-6.1147,53.6845,-13.0909,-138.3924
-4.0794,-1.5300,-7.7665,61.8186,-4.0036,-124.3065
-4.4105,-1.9897,-7.8964,58.5222,11.6664,-115.7936
-4.3435,-2.1351,-7.5994,67.1153,23.3805,-104.6513
