ax,ay,az,gx,gy,gz
0.4472,-6.7135,-7.4175,2.7515,8.7936,-0.1611
0.2691,-6.7117,-7.5155,1.9340,16.0417,3.0619
0.6248,-6.6620,-8.0674,3.6740,21.4967,4.3022
0.7259,-6.6250,-7.6329,4.1556,24.3836,2.9412
0.3714,-6.5612,-7.7741,2.1555,14.4474,4.0013
0.6799,-6.5935,-7.7986,-1.1692,6.6163,5.5611
0.8775,-6.7043,-7.5461,-3.2507,3.4583,2.9363
0.6853,-6.7340,-7.4485,-2.4351,-1.5494,1.8919
0.5483,-6.7775,-7.3492,-2.4478,-2.8254,2.0243
0.4765,-6.7026,-7.3760,-1.5678,-3.2910,2.6671
0.5718,-6.6354,-7.4990,-5.1373,-4.1084,4.8195
1.0305,-6.4905,-6.7670,-7.2320,-7.7212,6.2238
1.2158,-6.4443,-5.5739,-1.3218,-7.9785,3.7479
1.1196,-6.4433,-4.8197,9.6701,-8.8396,1.4141
1.2023,-6.6878,-5.5454,14.2123,-18.8341,-0.0625
0.8837,-7.0329,-4.9841,13.3221,-21.6306,-1.1979
0.4399,-7.2883,-3.3402,18.3628,-22.0268,-0.3009
0.3498,-7.4706,-2.5737,32.5492,-23.3646,2.0369
0.6021,-7.8313,-2.1823,42.4507,-24.2340,3.3043
0.7832,-8.0843,-1.6606,49.1300,-19.9437,2.7127
0.4950,-8.5596,-0.5511,67.2137,4.9447,4.6269
0.9826,-8.6853,-0.7090,81.0684,1.7816,-4.6427
0.8626,-8.7555,-1.4346,87.3396,-5.0826,-11.4920
0.9877,-8.7690,-1.8616,88.4862,-13.7566,-15.6082
0.3978,-8.8436,-2.2793,99.9429,-9.0312,-20.2384
-0.6784,-8.6456,-4.2551,98.3900,-12.2088,-12.4289
0.5619,-8.9068,-5.7270,103.5042,-10.2699,-21.1230
-0.7370,-9.5871,-8.4767,101.9565,-4.2721,-33.4755
-1.3690,-10.3418,-11.2075,84.1023,0.3061,-34.1334
-2.0412,-10.9389,-12.8299,49.5178,4.2772,-27.3565
-1.9571,-11.5770,-12.4209,7.1809,5.3936,-5.8200
-0.6500,-11.6177,-12.0795,-28.2095,7.5238,1.6533
-0.0550,-11.4581,-10.0966,-31.4589,6.8540,-1.2739
0.6427,-10.8702,-11.4630,-72.0337,8.6528,0.5961
1.2921,-9.8899,-9.5343,-111.1906,4.9851,-2.2424
2.2305,-8.9236,-7.8449,-126.4756,-4.7774,-3.9619
4.2319,-7.7323,-7.2476,-131.0400,-5.6692,-29.6819
2.3686,-6.8289,-4.6269,-128.1355,1.3518,-55.8475
0.4430,-6.1958,-2.8753,-105.4844,-13.9361,-48.9357
0.9504,-6.1772,-2.4666,-88.1266,-27.5634,-46.4806
1.4375,-6.4407,-1.7276,-57.4066,-26.7477,-46.4731
0.4529,-6.5801,-3.0213,-37.8076,-16.3919,-44.8685
-0.8351,-6.4915,-3.1614,-27.1855,-8.8153,-36.4749
-2.7969,-7.1017,-2.3383,-4.4140,-13.5559,-5.8233
-3.2663,-7.7422,-3.4545,11.4744,-23.3238,23.0631
-4.5337,-8.1036,-4.1694,17.2483,2.2932,46.6531
-6.1415,-8.4578,-4.4078,27.5538,26.9426,92.1178
-4.5481,-8.4489,-5.5976,24.1097,52.1764,107.8896
-1.8106,-8.0909,-5.4746,12.6660,68.9182,110.9195
0.2324,-8.1674,-3.4057,17.9332,86.0321,104.3278
2.9672,-8.4572,-3.9858,33.1369,90.8606,85.1409
5.1964,-8.7973,-6.1616,37.3318,83.9308,60.0574
7.0775,-9.5838,-7.8716,21.8888,64.5672,23.5239
5.2269,-9.7325,-8.9324,5.1651,37.8961,19.5246
5.6547,-8.8811,-10.5502,-25.8083,3.0490,6.4691
5.3235,-7.9517,-10.3526,-49.0908,-10.6476,-30.5472
1.8348,-6.8644,-10.0953,-55.8678,-21.4501,-37.5202
1.0143,-5.7142,-10.2263,-66.3617,-33.8828,-15.0482
1.0538,-5.2278,-8.4285,-68.1346,-26.6489,-11.1224
0.7266,-5.3426,-7.6700,-58.1345,-24.0657,-14.3653
0.8558,-5.4315,-7.4949,-56.6001,-26.3254,-12.0730
-0.6805,-5.1211,-5.1287,-47.3915,-11.1240,-4.6280
-0.4562,-4.9025,-3.4784,-27.6270,-7.5201,2.2962
-0.3554,-5.1786,-2.3607,0.6788,-3.0094,-1.3131
-0.5458,-5.9339,-2.7372,13.8801,-4.5443,-0.8104
-0.1836,-6.8193,-2.2099,24.5277,-8.4847,7.0605
0.6809,-7.5780,-2.0433,39.2590,-8.8724,4.4602
0.9644,-7.8510,-2.9135,46.8064,-2.6202,-4.9619
0.0139,-7.9106,-3.9571,47.1541,-2.7878,-6.6877
-0.6035,-8.1649,-3.8334,49.4841,-7.7437,-1.3894
0.4591,-8.1421,-4.8014,46.9972,-13.8039,0.2551
1.0231,-8.0207,-4.4259,43.2259,-16.1309,-3.3897
1.0688,-8.2951,-4.7231,55.1284,-14.9072,-8.8018
0.6490,-8.4677,-5.1381,50.0017,-16.3170,-6.6561
0.5454,-8.4355,-5.8709,51.0386,-14.2648,-5.6759
0.2794,-8.5005,-6.7849,42.9373,-11.2144,-10.9759
-0.4690,-8.2901,-6.7134,59.6920,3.4024,-13.1690
-0.7725,-7.8808,-8.2641,50.3423,14.5710,-5.7806
-0.7781,-7.5767,-8.3681,38.9512,21.8387,2.0062
0.3378,-7.7871,-8.9369,38.1279,26.7536,3.6292
