ax,ay,az,gx,gy,gz
-4.1288,-3.3541,-8.1380,-0.8983,2.3924,-1.7424
-4.1219,-3.3119,-8.2027,1.0719,1.6091,-0.5176
-4.0096,-3.3182,-8.0988,4.8061,-2.2009,1.0656
-3.9477,-3.2890,-8.1698,5.7862,-5.8664,3.4657
-3.8596,-3.2716,-8.3306,3.5629,-7.7042,4.5472
-3.6402,-3.2964,-8.3111,0.3181,-8.2668,-9.3950
-3.9592,-3.3523,-8.4099,-2.0267,-7.6899,-5.3327
-4.4664,-3.4351,-8.1726,-2.1589,-11.5065,-1.9882
-4.9968,-3.5084,-7.8707,-4.6560,-18.1250,0.1433
-5.7322,-3.5635,-7.4538,-5.4389,-20.3791,4.7847
-7.7537,-3.9686,-4.8185,-1.4513,-36.0698,13.2908
-9.6329,-3.8014,-5.5103,31.4512,-81.5105,47.6118
-9.4383,-3.6455,-7.4396,19.3383,-73.5434,63.9652
-8.6117,-4.2433,-5.6628,30.9564,-9.2590,74.2231
-9.8244,-4.1008,-3.8292,52.1010,37.3086,86.1863
-10.8025,-3.6119,-3.9382,76.3618,43.4458,113.6219
-7.3017,-4.2184,-5.4770,79.8613,31.4310,129.6380
-3.8860,-4.9698,-6.3054,78.8934,46.7972,120.6267
-1.6048,-5.6347,-8.8797,73.7456,66.3563,91.5838
-0.1525,-6.0318,-11.5032,51.1713,77.1733,63.2954
0.9987,-5.9622,-12.7920,19.4294,83.2896,31.5980
1.6441,-5.4532,-12.5441,-2.8943,86.0604,-3.9846
1.8576,-4.8445,-11.7395,-19.4054,86.4885,-34.3272
1.5334,-4.4178,-11.3243,-33.3929,71.0641,-59.9296
0.5025,-4.0694,-10.9112,-54.3424,24.3807,-73.3619
-0.7491,-3.4208,-9.7528,-69.3373,-13.2028,-78.9593
-2.6302,-2.6411,-8.7905,-69.9086,-43.7514,-84.5583
-6.1650,-1.5356,-8.8542,-68.2393,-48.5727,-72.7087
-6.9923,-0.6952,-8.2773,-61.0000,-46.0654,-40.9349
-7.3619,-0.4069,-7.4830,-49.4372,-46.8802,-16.7440
-6.6704,-0.2605,-7.4004,-41.0431,-38.2269,-0.4594
-5.8074,-0.7757,-6.6414,-29.9059,-25.0477,6.2308
-5.0405,-1.4907,-6.2039,-16.3284,-22.3748,10.1993
-4.0524,-2.3342,-5.9636,-3.5503,-25.3154,10.5561
-3.2385,-2.9263,-5.5222,5.5381,-22.2285,5.3874
-2.6957,-3.6085,-4.2747,14.0012,-11.2641,-6.2368
-2.6411,-4.2574,-2.5940,33.1740,-16.9748,-14.4023
-2.5762,-4.6049,-2.6543,58.7155,-25.9907,-24.3527
-2.6569,-5.1092,-3.3324,68.8781,-36.8275,-33.4540
-2.7035,-5.7737,-4.2102,71.8680,-33.5948,-38.6347
-2.6644,-6.1419,-4.6805,72.2569,-24.5534,-44.4050
-2.4327,-6.5477,-5.3863,75.6991,-24.7070,-51.7166
-2.7065,-6.7437,-6.8370,67.1218,-29.3202,-60.9479
-3.5012,-6.7238,-7.2989,51.2754,-21.0402,-70.6481
-4.5551,-6.2807,-6.4512,54.2850,-15.4275,-69.0285
-6.2912,-5.8941,-7.2347,80.9398,-7.2515,-83.0515
-7.2558,-5.3282,-9.2725,66.2145,1.7338,-65.3233
-8.3081,-4.4518,-10.0747,48.6806,15.5087,-45.5830
-9.5192,-3.9475,-10.5985,42.8420,38.6074,-32.0386
-10.4477,-3.9860,-11.7981,33.7753,49.0625,-15.8596
-11.0707,-4.4825,-13.5548,3.9517,45.1722,15.1500
-10.3908,-4.8760,-13.5075,-11.4551,44.0036,38.9526
-8.6247,-5.2833,-13.1371,-21.2100,41.2627,53.6918
-7.1527,-5.4828,-13.0531,-34.8275,23.6080,66.0893
-4.6248,-5.7236,-12.6912,-52.1736,27.1203,69.3362
-1.6596,-5.4793,-11.8729,-68.8537,38.5491,45.2551
-0.8746,-5.1315,-9.8819,-74.0574,51.5260,10.6376
-0.1761,-4.5752,-8.6142,-74.3156,50.7044,-14.0525
0.4188,-3.8036,-6.8708,-66.9160,18.8930,-44.6131
1.2693,-3.1853,-6.1684,-65.1519,-41.3072,-80.0806
1.0285,-3.0114,-5.5201,-63.6071,-67.0724,-114.0022
1.1142,-3.3830,-4.5966,-57.1338,-58.2311,-137.8675
-0.4164,-4.8708,-5.1224,-44.9485,-51.9315,-160.4291
-4.0048,-5.1573,-7.7347,-52.7866,-45.7581,-151.5354
-5.6545,-5.3318,-7.0107,-58.5185,-28.2128,-123.2980
-5.9219,-5.7672,-5.0369,-41.1161,-34.8877,-96.3415
-6.8783,-6.0384,-4.6463,-18.1756,-39.6931,-74.8682
-8.3164,-5.8697,-5.3612,3.0485,-23.2286,-43.7751
-8.1394,-5.6268,-5.1557,16.1296,-13.7694,-19.2228
-7.5848,-5.9192,-3.8666,34.4424,-10.6801,5.5087
-6.6438,-6.5196,-3.9473,62.4656,-14.7194,30.3116
