ax,ay,az,gx,gy,gz
-0.5215,-2.3891,-9.6099,3.7002,8.9713,-7.3744
-0.6033,-2.3171,-9.7796,-0.5967,3.0887,-1.5784
-0.2986,-2.3345,-9.4380,-2.2221,1.8018,-2.0961
-0.3014,-2.3616,-9.3251,0.0815,0.1939,-1.5013
-0.3918,-2.3494,-9.3551,0.2816,0.6079,-1.8125
-0.5920,-2.2869,-9.4592,1.4992,0.8990,-1.8521
-0.6342,-2.2764,-9.7110,-1.0510,0.4248,-0.5612
-0.4896,-2.3760,-9.4539,-1.4756,0.5311,-0.4691
-0.2477,-2.4473,-9.3400,0.3785,1.9643,-1.5704
-0.2465,-2.4151,-9.7068,0.9477,2.0709,-2.6830
-0.4564,-2.3851,-9.7663,-1.9448,0.3853,-1.0604
-0.2834,-2.4048,-9.4010,-2.8006,-2.0135,0.2174
0.0764,-2.3550,-9.5092,-1.1602,-0.5233,-3.3625
0.2801,-2.3496,-9.6300,-0.7604,-0.2254,-6.9786
0.5398,-2.4051,-9.7905,-1.4021,-1.0342,-12.1264
0.0495,-2.3868,-10.4422,-12.3209,-4.4328,-17.0407
-0.2954,-2.4602,-9.9551,-23.5354,-13.3716,-20.0498
-0.4585,-2.3800,-8.8508,-17.7135,-16.8018,-23.6495
-1.6674,-2.1175,-9.1721,-13.9639,-19.2204,-23.9016
-3.7073,-1.8690,-9.1501,-9.2688,-19.5505,-11.5261
-5.7061,-1.7615,-9.6312,-5.9677,-17.7009,6.9695
-6.6080,-1.8253,-9.8717,-8.9533,-18.1872,29.0383
-6.7854,-1.9890,-9.4458,-7.5702,-13.9973,46.7967
-6.8617,-1.9821,-9.1149,0.8618,-1.0768,61.5756
-6.8287,-2.0024,-9.3118,5.3126,10.2599,76.0541
-5.8934,-2.3246,-9.2288,5.1026,15.0657,93.9957
-3.8529,-2.6977,-9.0084,8.8966,20.5604,102.3567
-2.2458,-2.8865,-8.9438,10.9120,24.6012,108.5916
-0.5718,-3.1604,-8.7222,13.8213,24.4809,107.0684
0.5149,-3.3761,-9.0230,16.9598,27.4255,100.1823
1.3133,-3.5396,-9.2694,14.7525,27.5013,96.5573
2.7259,-3.7690,-9.5490,11.9775,29.0909,89.7621
4.0170,-3.7709,-9.3952,7.4594,32.0416,74.9620
4.9139,-3.5642,-9.1496,5.5353,34.3957,55.7966
